Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Yann Sommer","G","Borussia M'gladbach",90,8.4,0,0,0,0,0,0,0,35,0,0,0,50,0,0,0,0,0,0,0,0,0,8
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Stefan Lainer","D","Borussia M'gladbach",90,6.5,0,0,0,0,1,0,0,31,1,1,0,56,0,1,1,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Matthias Ginter","D","Borussia M'gladbach",90,7,0,0,0,0,0,0,0,20,0,0,0,37,0,1,3,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Nico Elvedi","D","Borussia M'gladbach",90,6.9,0,0,0,0,1,0,0,32,1,0,0,42,0,0,2,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Joe Scally","D","Borussia M'gladbach",90,7,0,0,0,0,0,0,0,26,0,0,0,60,0,2,3,0,0,2,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Christoph Kramer","M","Borussia M'gladbach",90,6.9,0,0,0,0,0,0,0,35,0,0,0,50,0,4,0,0,1,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Florian Neuhaus","M","Borussia M'gladbach",89,7.6,0,0,0,0,1,1,0,29,0,0,0,51,0,4,4,0,1,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Patrick Herrmann","M","Borussia M'gladbach",64,6.8,0,0,0,0,1,0,0,21,2,0,0,36,0,4,2,0,1,1,0,0,2,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Lars Stindl","M","Borussia M'gladbach",90,6.9,0,1,0,0,3,1,0,34,1,1,1,48,0,2,1,0,1,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Hannes Wolf","M","Borussia M'gladbach",72,6.8,0,0,0,0,1,1,0,21,0,0,0,45,0,11,0,0,2,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Alassane Pléa","F","Borussia M'gladbach",64,7.3,1,0,0,0,1,1,0,24,1,0,0,33,0,0,1,0,0,1,0,0,1,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Marcus Thuram","F","Borussia M'gladbach",26,6.7,0,0,0,0,1,0,0,4,1,0,1,14,0,2,0,0,1,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Jonas Hofmann","M","Borussia M'gladbach",26,6.5,0,0,0,0,0,0,0,13,1,1,0,19,0,0,1,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Keanan Bennetts","F","Borussia M'gladbach",18,6.9,0,0,0,0,1,0,0,7,0,0,0,15,0,1,0,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"László Bénes","M","Borussia M'gladbach",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Manuel Neuer","G","FC Bayern München",90,6.9,0,0,0,0,0,0,0,44,0,0,0,57,0,0,0,0,0,0,0,0,0,3
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Josip Stanišić","D","FC Bayern München",82,6.4,0,0,0,0,3,2,0,47,1,0,1,75,0,2,2,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Dayot Upamecano","D","FC Bayern München",90,6.7,0,0,0,0,2,0,0,79,0,0,0,96,0,3,1,0,1,1,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Niklas Süle","D","FC Bayern München",90,7.1,0,0,0,0,0,0,0,93,1,0,0,103,0,1,0,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Alphonso Davies","D","FC Bayern München",90,7.5,0,0,0,0,1,1,0,69,2,1,1,113,0,3,1,0,1,1,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Joshua Kimmich","M","FC Bayern München",90,8.3,0,1,0,0,1,0,0,84,5,1,0,105,0,1,1,0,0,1,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Leon Goretzka","M","FC Bayern München",90,7.1,0,0,0,0,3,0,0,45,1,0,0,55,0,4,1,0,0,1,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Leroy Sané","M","FC Bayern München",75,6.7,0,0,0,0,3,1,0,25,1,1,0,48,0,1,1,0,2,0,0,0,2,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Thomas Müller","M","FC Bayern München",82,6.5,0,0,0,0,0,0,0,33,0,0,0,50,0,1,1,0,0,0,0,0,1,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Serge Gnabry","M","FC Bayern München",75,6.8,0,0,0,0,1,0,0,41,1,1,0,60,0,1,1,0,0,0,0,0,1,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Robert Lewandowski","F","FC Bayern München",90,7.3,1,0,0,0,6,5,0,27,2,1,2,43,0,0,0,0,0,1,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Kingsley Coman","F","FC Bayern München",15,6.6,0,0,0,0,1,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Jamal Musiala","M","FC Bayern München",15,7.1,0,0,0,0,0,0,0,9,1,0,0,14,0,1,0,0,0,1,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Bouna Sarr","D","FC Bayern München",8,6.8,0,0,0,0,0,0,0,4,0,0,0,9,0,0,1,0,0,0,0,0,0,0
"Bundesliga","21_22","Borussia M'gladbach vs FC Bayern München",13/08/2021,"Eric Maxim Choupo-Moting","F","FC Bayern München",8,6.5,0,0,0,0,0,0,0,6,0,0,0,9,0,0,1,0,0,0,0,0,0,0
"Bundesliga","21_22","VfB Stuttgart vs SpVgg Greuther Fürth",14/08/2021,"Florian Müller","G","VfB Stuttgart",90,6.6,0,0,0,0,0,0,0,22,0,0,0,31,0,0,0,0,0,0,0,0,0,3
