Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Tiago Volpi","G","Grêmio",90,8.5,0,0,0,0.00239286,0,0,0,38,0,0,0,54,0,0,0,0,0,0,0,0,0,6
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Igor Serrote","D","Grêmio",45,7,0,0,0,0.00232979,0,0,0,14,0,0,0,31,0,1,2,0,2,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Jemerson","D","Grêmio",77,6.5,0,0,0,0.0113689,0,0,0,20,0,0,0,25,0,0,1,0,2,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Wagner Leonardo","D","Grêmio",90,7.1,0,0,0,0.00282751,0,0,0,30,1,0,0,47,0,3,1,0,2,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Lucas Esteves","D","Grêmio",61,7.2,0,0,0.0209,0.00867077,1,0,0,23,1,0,0,41,0,1,0,0,0,1,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Camilo","M","Grêmio",90,6.5,0,0,0.0385,0.0070405,2,0,0,21,0,0,0,47,0,3,1,0,4,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Mathias Villasanti","M","Grêmio",90,6.8,0,0,0,0.0153584,0,0,0,26,1,0,0,41,0,3,1,0,2,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Cristian Olivera","M","Grêmio",90,6.3,0,0,0,0.0123408,0,0,0,17,0,0,0,38,0,2,1,0,4,1,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Edenilson","M","Grêmio",90,7.4,1,0,0.1151,0.0656964,1,1,0,23,4,0,0,37,0,0,0,0,1,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Francis Amuzu","M","Grêmio",77,7.3,0,0,0.2192,0.0243281,3,2,0,11,0,0,0,33,0,1,0,0,0,1,0,0,1,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Matías Arezo","F","Grêmio",77,7.3,1,0,0.3261,0.00265372,3,2,0,10,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"João Lucas","D","Grêmio",45,6.4,0,0,0,0.00362171,0,0,0,8,0,0,0,21,0,1,0,0,0,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Viery","D","Grêmio",29,6.5,0,0,0,0.00017935,0,0,0,7,0,0,0,16,0,0,0,0,1,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Rodrigo Ely","D","Grêmio",13,6.9,0,0,0,0.00001921,0,0,0,3,0,0,0,6,0,1,1,0,1,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Cristian Pavón","F","Grêmio",13,6.8,0,0,0.0667,0.00087109,1,0,0,9,0,0,0,14,0,0,0,0,0,1,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"André Henrique","F","Grêmio",13,6.8,0,0,0.0592,0.00649334,1,0,0,8,0,0,0,15,0,0,0,0,0,1,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Everson","G","Atlético Mineiro",90,6.7,0,0,0,0.00011705,0,0,0,38,0,0,0,47,0,0,0,0,0,0,0,0,0,3
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Natanael","D","Atlético Mineiro",84,6.5,0,0,0,0.603035,0,0,0,26,1,1,0,40,0,1,0,0,1,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Lyanco","D","Atlético Mineiro",90,7.4,0,0,0,0.0353229,0,0,0,63,0,0,0,83,0,2,4,0,1,0,0,0,2,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Junior Alonso","D","Atlético Mineiro",73,6.9,0,0,0,0.012524,0,0,0,57,0,0,0,71,0,1,2,0,0,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Guilherme Arana","D","Atlético Mineiro",90,7.3,0,0,0.5047,0.668562,4,1,0,65,1,1,1,102,0,2,2,0,1,1,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Gustavo Scarpa","M","Atlético Mineiro",90,7.6,0,1,0.0607,0.300802,2,0,0,60,4,1,0,83,0,0,0,0,1,2,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Alan Franco","M","Atlético Mineiro",90,7,0,0,0,0.0251771,0,0,0,61,0,0,0,75,0,4,1,0,0,2,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Gabriel Menino","M","Atlético Mineiro",65,6.8,0,0,0.0439,0.0310568,1,0,0,48,0,0,0,58,0,0,1,0,0,2,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Tomás Cuello","M","Atlético Mineiro",90,7,0,0,0.7575,0.416875,5,2,0,52,3,0,2,77,0,2,0,0,1,4,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Rony","F","Atlético Mineiro",90,6.7,1,0,0.7782,0.0481727,2,2,0,21,2,0,2,42,0,1,0,0,0,2,0,0,2,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Hulk","F","Atlético Mineiro",73,6.9,0,0,0.1038,0.0241487,4,1,0,21,0,0,0,41,0,0,0,0,0,3,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Júnior Santos","F","Atlético Mineiro",25,6.6,0,0,0.4974,0.0617579,2,1,0,11,1,0,1,18,0,0,0,0,0,1,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Rubens","D","Atlético Mineiro",17,6.7,0,0,0.0254,0.00974176,1,0,0,18,0,0,0,24,0,2,0,0,0,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"João Marcelo","F","Atlético Mineiro",17,6.8,0,0,0.0651,0.0327278,1,0,0,7,1,0,0,9,0,0,0,0,0,0,0,0,0,0
"Brasileirao-serie-a","2025","Grêmio vs Atlético Mineiro",29/03/2025,"Bernard","M","Atlético Mineiro",14,6.6,0,0,0,0.0286517,0,0,0,15,0,0,0,18,0,0,0,0,0,0,0,0,0,0
