Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Alex Padilla","G","Athletic Club",90,6.6,0,0,0,0.00066354,0,0,0,36,0,0,0,47,0,0,0,0,0,0,0,0,0,1
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Andoni Gorosabel","D","Athletic Club",81,6.3,0,0,0,0.0509136,0,0,0,20,0,0,0,36,0,1,0,0,3,0,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Yeray Álvarez","D","Athletic Club",90,6.8,0,0,0,0.00519094,0,0,0,59,0,0,0,75,0,1,2,0,1,1,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Aitor Paredes","D","Athletic Club",81,6.7,0,0,0,0.00374531,0,0,0,56,1,0,0,69,0,0,0,0,1,2,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Yuri Berchiche","D","Athletic Club",90,7.1,0,0,0.0217,0.0124397,1,1,0,46,0,0,0,71,0,1,1,0,0,0,0,0,1,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Beñat Prados","M","Athletic Club",57,6.5,0,0,0,0.0149092,0,0,0,28,1,0,0,35,0,1,0,0,1,1,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Mikel Vesga","M","Athletic Club",57,6.4,0,0,0,0.0177223,0,0,0,38,0,0,0,46,0,2,1,0,1,0,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Iñaki Williams","M","Athletic Club",90,6.6,0,0,0.1155,0.0256862,2,0,0,22,0,0,0,41,0,1,0,0,0,1,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Oihan Sancet","M","Athletic Club",90,7.1,1,0,0.0475,0.0100871,1,1,0,23,0,0,0,29,0,1,0,0,1,1,0,0,0,0
"Laliga","24_25","Athletic Club vs Getafe",15/08/2024,"Álex Berenguer","M","Athletic Club",72,6.4,0,0,0,0.0141736,0,0,0,17,0,0,0,36,0,1,0,0,1,1,0,0,0,0
