Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Hugo Lloris","G","Los Angeles FC",90,6.9,0,0,0,0.00300532,0,0,0,15,0,0,0,23,0,0,0,0,0,0,0,0,0,1
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Sergi Palencia","D","Los Angeles FC",90,7.2,0,0,0,0.0471034,0,0,0,61,1,0,0,90,0,2,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Marlon","D","Los Angeles FC",80,8.1,0,0,0,0.0179431,0,0,0,65,1,0,0,83,0,2,0,0,1,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Aaron Long","D","Los Angeles FC",90,7.5,0,0,0,0.0103383,0,0,0,72,0,0,0,85,0,1,1,0,1,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Ryan Hollingshead","D","Los Angeles FC",89,7.5,0,0,0.2567,0.0407554,1,0,0,80,1,0,1,109,0,2,1,0,1,4,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Mark Delgado","M","Los Angeles FC",90,7.5,0,0,0,0.260933,0,0,0,73,1,0,0,90,0,1,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Igor Jesus","M","Los Angeles FC",90,7.1,0,0,0.0146,0.0580373,1,0,0,65,1,0,0,77,0,2,1,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Timothy Tillman","M","Los Angeles FC",89,6.7,0,0,0.0343,0.0793265,1,0,0,58,1,0,0,73,0,1,1,0,3,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"David Martínez Morales","F","Los Angeles FC",71,7.1,0,0,0.0544,0.0743005,2,1,0,17,1,0,0,32,0,0,0,0,0,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Jeremy Ebobisse","F","Los Angeles FC",80,7.7,1,0,0.2877,0.0274183,3,2,0,10,0,0,0,26,0,0,0,0,3,1,0,0,1,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Denis Bouanga","F","Los Angeles FC",90,7.3,0,0,0.295,0.138997,4,2,0,29,2,1,0,62,0,1,0,0,3,2,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Nathan Ordaz","F","Los Angeles FC",19,6.8,0,1,0,0.0390031,0,0,0,7,1,0,0,11,0,0,0,0,0,2,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Eddie Segura","D","Los Angeles FC",10,6.8,0,0,0,0.00016015,0,0,0,13,0,0,0,17,0,0,0,0,0,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Olivier Giroud","F","Los Angeles FC",10,6.2,0,0,0.3336,0.00000434,1,1,0,2,0,0,1,5,0,0,0,0,0,0,0,0,1,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Nkosi Tafari","D","Los Angeles FC",1,0,0,0,0,0.00000403,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Yaw Yeboah","M","Los Angeles FC",1,0,0,0,0,0.00090631,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Dayne St. Clair","G","Minnesota United",90,7,0,0,0,0.0026665,0,0,0,36,0,0,0,44,0,0,0,0,0,0,0,0,0,5
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Bongokuhle Hlongwane","D","Minnesota United",90,6.9,0,0,0,0.00682094,0,0,0,21,0,0,0,41,0,4,1,0,2,3,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Carlos Harvey","D","Minnesota United",85,6.9,0,0,0,0.0053884,0,0,0,20,0,0,0,39,0,4,2,0,0,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Michael Boxall","D","Minnesota United",90,6.6,0,0,0,0.00103817,0,0,0,24,0,0,0,41,0,0,0,0,1,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Morris Duggan","D","Minnesota United",90,6.9,0,0,0,0.00607381,0,0,0,27,0,0,0,40,0,1,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Joseph Rosales","D","Minnesota United",45,6.7,0,0,0,0.0317959,0,0,0,12,0,0,0,23,0,3,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Hassani Dotson","M","Minnesota United",79,6.7,0,0,0,0.0049548,0,0,0,20,0,0,0,30,0,2,0,0,2,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Wil Trapp","M","Minnesota United",90,7,0,0,0,0.0879851,0,0,0,48,1,0,0,59,0,4,1,0,1,2,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Joaquín Pereyra","M","Minnesota United",67,6.6,0,0,0.0342,0.0238152,2,0,0,19,1,0,0,34,0,2,0,0,1,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Kelvin Yeboah","F","Minnesota United",90,7.1,0,0,0.3512,0.0232026,6,1,1,15,0,0,0,41,0,2,1,0,4,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Tani Oluwaseyi","F","Minnesota United",66,7.3,0,0,0.1713,0.0490796,3,0,0,10,1,0,0,20,0,0,0,0,2,2,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Anthony Markanich","D","Minnesota United",45,6.7,0,0,0,0.00814331,0,0,0,17,1,0,0,29,0,1,1,0,1,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Jeong Sang-bin","F","Minnesota United",24,6.7,0,0,0.0477,0.0135987,1,0,1,14,1,0,0,18,0,0,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Robin Lod","M","Minnesota United",23,6.6,0,0,0,0.0137995,0,0,0,11,0,0,0,14,0,1,0,0,0,1,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Samuel Shashoua","F","Minnesota United",11,6.6,0,0,0,0.016526,0,0,0,13,0,0,0,16,0,1,0,0,0,0,0,0,0,0
"Mls","2025","Los Angeles FC vs Minnesota United",22/02/2025,"Loïc Mesanvi","F","Minnesota United",8,6.5,0,0,0,0.00851152,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Brad Guzan","G","Atlanta United",90,7.4,0,0,0,0.00140227,0,0,0,24,0,0,0,35,0,0,0,0,0,0,0,0,0,5
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Matthew Edwards","D","Atlanta United",90,6.7,0,0,0,0.0139713,0,0,0,55,1,0,0,79,0,2,1,0,1,4,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Stian Gregersen","D","Atlanta United",83,6.7,0,0,0,0.0014685,0,0,0,28,0,0,0,44,0,3,2,0,3,1,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Luis Abram","D","Atlanta United",90,6.2,0,0,0,0.00199682,0,0,0,33,0,0,0,37,0,0,1,0,1,0,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Ronald Hernández","D","Atlanta United",90,6.8,0,0,0,0.249539,0,0,0,49,0,0,0,72,0,1,3,0,1,2,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Bartosz Slisz","M","Atlanta United",90,7.4,0,0,0.1799,0.0238734,2,1,0,58,0,0,0,72,0,0,2,0,2,0,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Mateusz Klich","M","Atlanta United",82,6.5,0,0,0,0.0369753,0,0,0,55,0,0,0,60,0,0,1,0,0,1,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Miguel Almirón","M","Atlanta United",89,7.6,0,1,0.0257,0.236653,1,0,0,50,2,0,0,63,0,1,0,0,0,2,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Aleksey Miranchuk","M","Atlanta United",90,7,0,0,0.109,0.290874,3,1,0,37,1,0,0,55,0,1,0,0,0,2,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Saba Lobzhanidze","M","Atlanta United",83,7.3,0,1,0.2459,0.450723,3,1,0,27,4,2,1,43,0,0,0,0,0,1,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Emmanuel Latte Lath","F","Atlanta United",89,8.4,2,0,0.8237,0.098349,4,4,0,27,1,0,1,39,0,0,0,0,1,1,0,0,1,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Ajani Fortune","M","Atlanta United",8,6.5,0,0,0,0.00007203,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Derrick Williams","D","Atlanta United",18,6.5,0,0,0,0.00054259,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Edwin Mosquera","M","Atlanta United",18,7,1,0,0.0539,0.00012709,1,1,0,3,0,0,0,8,0,1,0,0,2,0,0,0,0,0
"Mls","2025","Atlanta United vs CF Montréal",22/02/2025,"Noah Cobb","D","Atlanta United",11,6.5,0,0,0,0.00003037,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
