Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Arthur Desmas","G","Le Havre",90,7,0,0,0,0.00137547,0,0,0,25,0,0,0,31,0,0,0,0,0,0,0,0,0,5
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Loic Négo","D","Le Havre",90,6.4,0,0,0,0.00364508,0,0,0,16,0,0,0,40,0,5,2,0,1,1,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Étienne Youte Kinkoue","D","Le Havre",90,5.7,0,0,0,0.00302804,0,0,0,27,0,0,0,33,0,1,1,0,2,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Gautier Lloris","D","Le Havre",90,6,1,0,0.0366,0.00366256,1,1,0,25,0,0,0,30,0,1,0,0,2,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Christopher Operi","D","Le Havre",90,7.3,0,1,0,0.0187391,0,0,0,23,1,0,0,45,0,0,1,0,0,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Daler Kuzyaev","M","Le Havre",90,6.3,0,0,0,0.135394,0,0,0,24,0,0,0,35,0,3,1,0,0,1,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Abdoulaye Touré","M","Le Havre",90,6.6,0,0,0.0936,0.00726793,2,1,0,29,0,0,0,44,0,2,2,0,1,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Rassoul Ndiaye","M","Le Havre",75,6.9,0,0,0,0.0266703,0,0,0,18,0,0,0,29,0,5,1,0,0,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Yassine Kechta","F","Le Havre",87,7.5,0,0,0,0.0347937,0,0,0,22,2,0,0,41,0,5,1,0,0,5,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Josué Casimir","F","Le Havre",90,6.8,0,0,0.0391,0.0247631,1,0,0,19,1,0,0,31,0,1,0,0,2,2,0,0,1,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Antoine Joujou","F","Le Havre",76,6.1,0,0,0.0391,0.00472846,1,0,0,14,0,0,0,30,0,1,0,0,1,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Samuel Grandsir","F","Le Havre",15,6.4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0
"Ligue-1","24_25","Le Havre vs Paris Saint-Germain",16/08/2024,"Steve Ngoura","F","Le Havre",14,6.4,0,0,0,0.00265664,0,0,0,8,0,0,0,10,0,0,0,0,1,0,0,0,0,0
