Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Warner Hahn","G","Go Ahead Eagles",90,7,0,0,0,0,0,0,0,28,0,0,0,36,0,0,0,0,0,0,0,0,0,4
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Mats Deijl","D","Go Ahead Eagles",90,6.8,0,0,0,0,0,0,0,31,1,0,0,64,0,3,4,0,0,3,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Gerrit Nauber","D","Go Ahead Eagles",90,7.3,0,0,0,0,0,0,0,59,1,0,0,77,0,1,4,0,1,1,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Justin Bakker","D","Go Ahead Eagles",90,7.8,0,0,0,0,0,0,0,67,2,0,0,79,0,2,0,0,0,0,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Bas Kuipers","D","Go Ahead Eagles",90,7.5,0,0,0,0,0,0,0,34,1,0,0,65,0,3,2,0,0,0,0,0,1,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Boyd Lucassen","M","Go Ahead Eagles",90,6.8,0,0,0,0,1,1,0,33,1,0,0,46,0,3,2,0,2,1,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Luuk Brouwers","M","Go Ahead Eagles",67,6.7,0,0,0,0,0,0,0,51,0,0,0,65,0,2,1,0,0,1,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Martijn Berden","M","Go Ahead Eagles",67,6.6,0,0,0,0,1,1,0,18,1,0,0,22,0,0,0,0,2,0,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Philippe Rommens","M","Go Ahead Eagles",90,7.2,0,0,0,0,1,0,0,49,1,0,0,68,0,2,0,0,0,0,0,0,0,0
"Eredivisie","21_22","Go Ahead Eagles vs SC Heerenveen",13/08/2021,"Ragnar Oratmangoen","M","Go Ahead Eagles",74,6.1,0,0,0,0,1,0,0,22,0,0,0,39,0,1,0,0,2,0,0,0,1,0
