Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Elia Caprile","G","Empoli",90,6.2,0,0,0,0.00053325,0,0,0,32,0,0,0,48,0,0,0,0,0,0,0,0,0,3
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Tyronne Ebuehi","D","Empoli",90,6.1,0,0,0,0.00128014,0,0,0,28,0,0,0,44,0,0,0,0,1,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Ardian Ismajli","D","Empoli",90,6.6,0,0,0,0.00216214,0,0,0,43,0,0,0,53,0,0,0,0,1,2,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Sebastiano Luperto","D","Empoli",90,6.5,0,0,0,0.00053698,0,0,0,36,0,0,0,42,0,1,0,0,2,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Liberato Cacace","D","Empoli",79,6.3,0,0,0,0.0142642,0,0,0,34,1,0,0,75,0,2,2,0,1,1,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Răzvan Marin","M","Empoli",90,6.5,0,0,0.1823,0.00786552,3,1,1,34,0,0,0,45,0,1,0,0,3,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Alberto Grassi","M","Empoli",85,6.9,0,0,0,0.00455745,0,0,0,27,1,0,0,38,0,3,2,0,3,3,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Matteo Cancellieri","M","Empoli",70,6.6,0,0,0.0779,0.00225543,2,0,0,15,0,0,0,25,0,0,0,0,1,2,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Tommaso Baldanzi","M","Empoli",90,7.3,0,0,0.0389,0.175381,2,1,0,20,1,1,0,30,0,1,0,0,0,3,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Emmanuel Gyasi","M","Empoli",86,6,0,0,0.3455,0.0196876,1,0,0,11,0,0,1,26,0,2,1,0,3,3,0,0,1,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Francesco Caputo","F","Empoli",70,6.5,0,0,0.0424,0.00476221,1,1,0,14,0,0,0,22,0,0,0,0,1,1,0,0,1,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Stiven Shpendi","F","Empoli",20,6.8,0,0,0.0161,0.00281874,1,1,0,4,1,0,0,9,0,0,0,0,1,2,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Roberto Piccoli","F","Empoli",20,6.3,0,0,0,0.00061721,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Giuseppe Pezzella","D","Empoli",11,6.9,0,0,0,0.00008914,0,0,0,7,0,0,0,15,0,2,0,0,0,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Liam Henderson","M","Empoli",11,6.5,0,0,0,0.00021382,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Emmanuel Ekong","F","Empoli",11,6.4,0,0,0,0.00462069,0,0,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Lorenzo Montipò","G","Hellas Verona",90,7.7,0,0,0,0.00272515,0,0,0,37,0,0,0,47,0,0,0,0,0,1,0,0,0,4
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Diego Coppola","D","Hellas Verona",90,7.4,0,0,0,0.00195008,0,0,0,41,0,0,0,57,0,6,1,0,3,0,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Giangiacomo Magnani","D","Hellas Verona",90,7.3,0,0,0,0.00147192,0,0,0,27,1,0,0,39,0,0,2,0,2,1,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Paweł Dawidowicz","D","Hellas Verona",90,7.7,0,0,0.0311,0.0148052,1,0,0,64,1,0,0,78,0,1,2,0,2,2,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Filippo Terracciano","M","Hellas Verona",90,7.8,0,0,0,0.077005,0,0,0,38,2,1,0,74,0,7,2,0,0,2,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Martin Hongla","M","Hellas Verona",90,6.9,0,0,0,0.01287,0,0,0,28,0,0,0,35,0,2,1,0,1,1,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Ondrej Duda","M","Hellas Verona",88,7.4,0,0,0,0.410476,0,0,0,24,2,0,0,43,0,1,2,0,1,1,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Josh Doig","M","Hellas Verona",88,6.7,0,0,0.1077,0.0883598,2,1,0,19,0,0,1,42,0,1,0,0,0,1,0,0,0,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Cyril Ngonge","F","Hellas Verona",69,6.9,0,0,0.1796,0.0423981,2,1,0,14,0,0,0,23,0,1,0,0,4,2,0,0,1,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Jordi Mboula","F","Hellas Verona",69,6.7,0,0,0.0147,0.00208763,1,0,0,12,0,0,0,19,0,1,0,0,0,1,0,0,1,0
"Serie-a","23_24","Empoli vs Hellas Verona",19/08/2023,"Michael Folorunsho","F","Hellas Verona",69,6.5,0,0,0,0.00248748,0,0,0,11,0,0,0,27,0,0,0,0,3,4,0,0,0,0
