Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Matheus","G","Sporting Braga",90,6.3,0,0,0,0.0010736,0,0,0,28,0,0,0,33,0,0,0,0,0,0,0,0,0,2
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Victor Gómez","D","Sporting Braga",59,6.6,0,0,0,0.101228,0,0,0,56,1,0,0,66,0,1,0,0,0,1,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Paulo Oliveira","D","Sporting Braga",90,6.7,0,0,0,0.0425298,0,0,0,88,0,0,0,103,0,3,4,0,2,0,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Serdar Saatçı","D","Sporting Braga",90,7.1,0,0,0.048,0.0087166,1,0,0,90,0,0,0,103,0,3,2,0,3,0,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Cristián Borja","D","Sporting Braga",90,6.6,0,0,0,0.189427,0,0,0,72,1,0,0,108,0,4,1,0,1,1,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Moatasem Al-Musrati","M","Sporting Braga",74,6.7,0,0,0,0.0279859,0,0,0,59,0,0,0,64,0,2,1,0,1,0,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Vítor Carvalho","M","Sporting Braga",67,6.8,0,0,0,0.00938269,0,0,0,29,0,0,0,33,0,1,0,0,0,0,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Ricardo Horta","M","Sporting Braga",90,7.8,1,0,0.5637,0.193595,4,1,0,48,1,0,2,71,0,2,1,0,0,2,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"André Horta","M","Sporting Braga",59,7.3,0,0,0,0.344366,0,0,0,46,4,1,0,56,0,0,0,0,1,1,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Bruma","M","Sporting Braga",67,6.8,0,0,0.2921,0.115038,3,2,1,17,0,0,1,36,0,1,0,0,0,0,0,0,1,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Abel Ruíz","F","Sporting Braga",90,6.9,0,0,0.1078,0.24161,2,0,0,15,2,1,0,25,0,0,0,0,2,1,0,0,0,0
"Liga-portugal-betclic","23_24","Sporting Braga vs Famalicão",11/08/2023,"Josafat Mendes","D","Sporting Braga",31,6.4,0,0,0,0.0594644,0,0,0,21,0,0,0,35,0,2,0,0,1,0,0,0,0,0
