Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - AS Monaco vs Nantes","ALL","06/08/2021","1","1","75%","0","3","15","0","5","6","737","20","14","0","0","3","0","9","3","10","5","1","2","0","0","4","1","650","34","89","0","25/48 (52%)","5/20 (25%)","55%","8","45/80 (56%)","15/29 (52%)","11/22 (50%)","70%","20","11","0","5","0","0","0","0","0","0","5"
"Visita - AS Monaco vs Nantes","ALL","06/08/2021","1","1","25%","0","0","5","1","2","14","243","19","6","0","0","1","0","3","1","3","2","0","0","0","0","2","0","149","23","27","0","17/57 (30%)","3/7 (43%)","45%","10","35/80 (44%)","14/29 (48%)","10/20 (50%)","63%","19","14","0","26","0","1","0","0","0","0","15"
"Local - AS Monaco vs Nantes","1ST","06/08/2021","1","1","73%","0","2","6","0","2","0","368","10","7","0","0","1","0","4","1","3","3","1","1","0","0","0","1","335","14","42","0","11/19 (58%)","2/8 (25%)","57%","2","24/40 (60%)","4/9 (44%)","7/11 (64%)","70%","10","8","0","3","0","0","0","0","0","0","4"
"Visita - AS Monaco vs Nantes","1ST","06/08/2021","1","1","27%","0","0","4","0","2","0","135","6","3","0","0","1","0","2","1","3","1","0","0","0","0","1","0","90","13","12","0","7/20 (35%)","3/5 (60%)","43%","4","16/40 (40%)","5/9 (56%)","7/13 (54%)","67%","6","8","0","11","0","0","0","0","0","0","5"
"Local - AS Monaco vs Nantes","2ND","06/08/2021","1","0","78%","0","1","9","0","3","0","369","10","7","0","0","2","0","5","2","7","2","0","1","0","0","4","0","315","20","47","0","14/29 (48%)","3/12 (25%)","53%","6","21/40 (53%)","11/20 (55%)","4/11 (36%)","70%","10","3","0","2","0","0","0","0","0","0","1"
"Visita - AS Monaco vs Nantes","2ND","06/08/2021","1","0","22%","0","0","1","1","0","0","108","13","3","0","0","0","0","1","0","0","1","0","0","0","0","1","0","59","10","15","0","10/37 (27%)","0/2 (0%)","47%","6","19/40 (48%)","9/20 (45%)","3/7 (43%)","62%","13","6","0","15","0","1","0","0","0","0","10"
"Local - Olympique Lyonnais vs Stade Brestois","ALL","07/08/2021","1","1","69%","0","1","17","6","9","10","681","16","12","1","0","4","0","9","4","13","4","0","1","1","0","2","1","604","25","58","0","19/38 (50%)","6/23 (26%)","52%","9","32/59 (54%)","16/34 (47%)","4/11 (36%)","69%","16","7","0","11","0","6","0","0","0","0","5"
"Visita - Olympique Lyonnais vs Stade Brestois","ALL","07/08/2021","1","1","31%","0","2","13","3","4","12","298","16","9","1","0","8","0","4","1","9","4","0","2","0","0","2","1","225","26","44","0","32/61 (52%)","6/14 (43%)","48%","9","27/59 (46%)","18/34 (53%)","2/9 (22%)","75%","16","15","0","24","0","3","0","0","0","0","10"
"Local - Olympique Lyonnais vs Stade Brestois","1ST","07/08/2021","1","0","76%","0","0","7","2","3","0","412","7","6","0","0","1","0","4","2","5","2","0","0","1","0","1","0","366","15","29","0","10/19 (53%)","1/8 (13%)","53%","4","16/32 (50%)","8/13 (62%)","3/9 (33%)","71%","7","4","0","2","0","2","0","0","0","0","2"
"Visita - Olympique Lyonnais vs Stade Brestois","1ST","07/08/2021","1","1","24%","0","0","5","1","1","0","131","10","5","0","0","3","0","1","1","3","2","0","0","0","0","1","0","90","12","15","0","12/28 (43%)","3/5 (60%)","47%","5","16/32 (50%)","5/13 (38%)","1/3 (33%)","80%","10","7","0","14","0","1","0","0","0","0","4"
"Local - Olympique Lyonnais vs Stade Brestois","2ND","07/08/2021","1","0","61%","0","1","10","4","6","0","269","9","6","1","0","3","0","5","2","8","2","0","1","0","0","1","1","238","10","29","0","9/19 (47%)","5/15 (33%)","50%","5","16/27 (59%)","8/21 (38%)","1/2 (50%)","67%","9","3","0","9","0","4","0","0","0","0","3"
"Visita - Olympique Lyonnais vs Stade Brestois","2ND","07/08/2021","1","0","39%","0","2","8","2","3","0","167","6","4","1","0","5","0","3","0","6","2","0","2","0","0","1","1","135","14","29","0","20/33 (61%)","3/9 (33%)","50%","4","11/27 (41%)","13/21 (62%)","1/6 (17%)","67%","6","8","0","10","0","2","0","0","0","0","6"
"Local - Troyes vs Paris Saint-Germain","ALL","07/08/2021","1","1","43%","0","0","15","0","9","3","443","17","14","1","0","7","0","4","4","8","7","0","0","2","23","1","1","379","23","37","57/78 (73%)","31/53 (58%)","5/26 (19%)","53%","7","35/58 (60%)","2/12 (17%)","4/7 (57%)","59%","17","8","0","14","0","0","0","0","0","0","8"
"Visita - Troyes vs Paris Saint-Germain","ALL","07/08/2021","1","2","57%","0","2","12","6","1","15","605","10","3","4","0","3","0","6","3","8","4","1","1","2","35","2","1","560","11","95","152/187 (81%)","28/35 (80%)","5/12 (42%)","47%","5","23/58 (40%)","10/12 (83%)","10/22 (45%)","60%","10","14","0","18","0","6","0","2","0","1","6"
"Local - Troyes vs Paris Saint-Germain","1ST","07/08/2021","1","1","43%","0","0","5","0","2","0","215","6","6","0","0","4","0","1","0","2","3","0","0","1","0","0","1","183","9","12","0","15/27 (56%)","2/9 (22%)","43%","3","13/24 (54%)","0/6 (0%)","1/2 (50%)","67%","6","4","0","10","0","0","0","0","0","0","5"
"Visita - Troyes vs Paris Saint-Germain","1ST","07/08/2021","1","2","57%","0","1","7","3","1","0","288","4","2","2","0","3","0","2","2","6","1","1","0","2","0","1","1","264","6","43","0","12/16 (75%)","2/7 (29%)","57%","1","11/24 (46%)","6/6 (100%)","5/10 (50%)","50%","4","5","0","4","0","3","0","0","0","0","2"
"Local - Troyes vs Paris Saint-Germain","2ND","07/08/2021","1","0","43%","0","0","10","0","7","0","228","11","8","1","0","3","0","3","4","6","4","0","0","1","0","1","0","196","14","25","0","16/26 (62%)","3/17 (18%)","60%","4","22/34 (65%)","2/6 (33%)","3/5 (60%)","55%","11","4","0","4","0","0","0","0","0","0","3"
"Visita - Troyes vs Paris Saint-Germain","2ND","07/08/2021","1","0","57%","0","1","5","3","0","0","317","6","1","2","0","0","0","4","1","2","3","0","1","0","0","1","0","296","5","52","0","16/19 (84%)","3/5 (60%)","40%","4","12/34 (35%)","4/6 (67%)","5/12 (42%)","67%","6","9","0","14","0","3","0","0","0","0","4"
"Local - Stade Rennais vs RC Lens","ALL","08/08/2021","1","1","60%","0","0","10","5","3","10","526","15","13","0","0","2","0","3","5","5","5","0","0","0","0","2","0","470","17","46","0","41/64 (64%)","2/13 (15%)","49%","10","36/72 (50%)","10/22 (45%)","9/17 (53%)","60%","15","7","0","14","0","5","0","0","0","0","7"
"Visita - Stade Rennais vs RC Lens","ALL","08/08/2021","1","1","40%","0","4","11","1","9","14","343","18","10","2","0","6","0","4","1","6","5","1","3","0","0","1","0","288","20","38","0","29/56 (52%)","6/22 (27%)","51%","6","36/72 (50%)","12/22 (55%)","9/18 (50%)","50%","18","5","0","14","0","1","0","0","0","0","7"
"Local - Stade Rennais vs RC Lens","1ST","08/08/2021","1","1","62%","0","0","7","0","1","0","281","6","7","0","0","1","0","1","5","4","3","0","0","0","0","0","0","256","11","25","0","26/36 (72%)","1/7 (14%)","47%","3","17/34 (50%)","6/15 (40%)","5/8 (63%)","50%","6","4","0","8","0","0","0","0","0","0","3"
"Visita - Stade Rennais vs RC Lens","1ST","08/08/2021","1","1","38%","0","1","3","0","3","0","164","6","6","1","0","1","0","2","0","2","1","1","0","0","0","0","0","138","9","16","0","16/30 (53%)","4/8 (50%)","53%","2","17/34 (50%)","9/15 (60%)","5/9 (56%)","50%","6","1","0","7","0","0","0","0","0","0","4"
"Local - Stade Rennais vs RC Lens","2ND","08/08/2021","1","0","57%","0","0","3","5","2","0","245","9","6","0","0","1","0","2","0","1","2","0","0","0","0","2","0","214","6","21","0","15/28 (54%)","1/6 (17%)","51%","7","19/38 (50%)","4/7 (57%)","4/9 (44%)","67%","9","3","0","6","0","5","0","0","0","0","4"
"Visita - Stade Rennais vs RC Lens","2ND","08/08/2021","1","0","43%","0","3","8","1","6","0","179","12","4","1","0","5","0","2","1","4","4","0","3","0","0","1","0","150","11","22","0","13/26 (50%)","2/14 (14%)","49%","4","19/38 (50%)","3/7 (43%)","4/9 (44%)","50%","12","4","0","7","0","1","0","0","0","0","3"
"Local - Bordeaux vs Clermont Foot","ALL","08/08/2021","1","0","44%","0","1","10","8","5","13","439","19","9","1","0","6","0","3","1","5","5","0","1","1","0","1","0","366","19","44","0","30/56 (54%)","8/18 (44%)","43%","9","34/74 (46%)","10/28 (36%)","6/15 (40%)","63%","19","11","0","23","0","8","0","0","0","0","6"
"Visita - Bordeaux vs Clermont Foot","ALL","08/08/2021","1","2","56%","0","6","19","6","10","9","552","18","13","0","0","10","0","4","5","16","3","2","4","0","0","0","2","475","23","55","0","37/57 (65%)","6/20 (30%)","57%","12","40/74 (54%)","18/28 (64%)","9/16 (56%)","72%","18","9","0","12","0","6","0","0","0","0","5"
"Local - Bordeaux vs Clermont Foot","1ST","08/08/2021","1","0","43%","0","0","4","4","1","0","231","8","4","1","0","3","0","1","0","1","3","0","0","1","0","0","0","197","8","21","0","15/31 (48%)","1/4 (25%)","31%","6","14/38 (37%)","2/14 (14%)","2/10 (20%)","75%","8","6","0","13","0","4","0","0","0","0","3"
"Visita - Bordeaux vs Clermont Foot","1ST","08/08/2021","1","0","57%","0","2","11","3","5","0","299","14","7","0","0","4","0","4","3","9","2","0","2","0","0","0","2","257","14","28","0","21/29 (72%)","2/12 (17%)","69%","6","24/38 (63%)","12/14 (86%)","3/5 (60%)","71%","14","3","0","4","0","3","0","0","0","0","1"
