Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9764103,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,267459,NPS Volos,Local,ALL,12/09/2021,1,2,45%,,,13,1,4,15,,,17,1,0,6,,3,4,,,,,,,,2,,25,,,,,,,,,,,,,,,,1,,,,,9
9764103,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,267459,NPS Volos,Local,1ST,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764103,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,267459,NPS Volos,Local,2ND,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764103,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,120154,PAS Lamia 1964,Visita,ALL,12/09/2021,1,1,55%,,,14,3,8,16,,,17,2,0,4,,7,3,,,,,,,,1,,22,,,,,,,,,,,,,,,,3,,,,,7
9764103,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,120154,PAS Lamia 1964,Visita,1ST,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764103,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,120154,PAS Lamia 1964,Visita,2ND,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790035,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,120154,PAS Lamia 1964,Local,ALL,19/09/2021,2,1,55%,,,13,0,7,11,,,17,2,0,4,,8,1,,,,,,,,2,,26,,,,,,,,,,,,,,,,0,,,,,8
9790035,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,120154,PAS Lamia 1964,Local,1ST,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790035,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,120154,PAS Lamia 1964,Local,2ND,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790035,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,3245,Olympiacos FC,Visita,ALL,19/09/2021,2,2,45%,,,7,2,3,15,,,13,0,0,2,,4,1,,,,,,,,2,,24,,,,,,,,,,,,,,,,2,,,,,9
9790035,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,3245,Olympiacos FC,Visita,1ST,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790035,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,3245,Olympiacos FC,Visita,2ND,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712379,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3250,AEK Athens,Local,ALL,22/09/2021,3,1,55%,,,15,1,6,20,,,26,1,0,9,,5,1,,,,,,,,0,,31,,,,,,,,,,,,,,,,1,,,,,5
9712379,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3250,AEK Athens,Local,1ST,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712379,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3250,AEK Athens,Local,2ND,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712379,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,120154,PAS Lamia 1964,Visita,ALL,22/09/2021,3,0,45%,,,3,7,2,22,,,20,3,0,1,,2,0,,,,,,,,4,,25,,,,,,,,,,,,,,,,7,,,,,8
9712379,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,120154,PAS Lamia 1964,Visita,1ST,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712379,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,120154,PAS Lamia 1964,Visita,2ND,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712404,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,120154,PAS Lamia 1964,Local,ALL,26/09/2021,4,2,47%,,,6,2,3,18,,,11,4,0,5,,0,1,,,,,,,,1,,14,,,,,,,,,,,,,,,,2,,,,,14
9712404,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,120154,PAS Lamia 1964,Local,1ST,26/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712404,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,120154,PAS Lamia 1964,Local,2ND,26/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712404,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,7004,GFS Panetolikos,Visita,ALL,26/09/2021,4,2,53%,,,14,2,3,11,,,19,1,0,4,,8,2,,,,,,,,0,,30,,,,,,,,,,,,,,,,2,,,,,1
9712404,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,7004,GFS Panetolikos,Visita,1ST,26/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712404,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,7004,GFS Panetolikos,Visita,2ND,26/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712411,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,3249,AO Ionikos Nikeas,Local,ALL,03/10/2021,5,1,49%,,,14,3,6,13,,,23,0,1,5,,6,3,,,,,,,,1,,23,,,,,,,,,,,,,,,,3,,,,,4
9712411,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,3249,AO Ionikos Nikeas,Local,1ST,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712411,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,3249,AO Ionikos Nikeas,Local,2ND,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712411,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,120154,PAS Lamia 1964,Visita,ALL,03/10/2021,5,2,51%,,,7,4,7,21,,,14,3,0,5,,2,0,,,,,,,,2,,23,,,,,,,,,,,,,,,,4,,,,,8
9712411,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,120154,PAS Lamia 1964,Visita,1ST,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712411,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,120154,PAS Lamia 1964,Visita,2ND,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712175,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,120154,PAS Lamia 1964,Local,ALL,18/10/2021,6,0,50%,,,9,5,3,15,,,20,2,1,3,,2,4,,,,,,,,3,,17,,,,,,,,,,,,,,,,5,,,,,9
9712175,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,120154,PAS Lamia 1964,Local,1ST,18/10/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
