Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9555045,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1291,AGF,Local,ALL,18/07/2021,1,1,43%,0.00,0,10,4,5,10,353,10,15,1,,2,1,6,2,6,4,0,,,,4,2,254,25,63,,31/68 (46%),6/17 (35%),42%,10,29/69 (42%),14/34 (41%),4/10 (40%),50%,10,9,,24,,4,,,,,8
9555045,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1291,AGF,Local,1ST,18/07/2021,1,1,39%,0.00,0,7,2,3,,174,4,7,0,,1,0,4,2,4,3,0,,,,2,0,127,15,29,,15/38 (39%),4/9 (44%),32%,3,11/27 (41%),1/11 (9%),0/5 (0%),25%,4,4,,13,,2,,,,,1
9555045,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1291,AGF,Local,2ND,18/07/2021,1,0,47%,0.00,0,3,2,2,,179,6,8,1,,1,1,2,0,2,1,0,,,,2,2,127,10,34,,16/30 (53%),2/8 (25%),48%,7,18/42 (43%),13/23 (57%),4/5 (80%),67%,6,5,,11,,2,,,,,7
9555045,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1281,Brøndby IF,Visita,ALL,18/07/2021,1,1,57%,0.00,1,14,1,5,15,483,16,10,2,,5,1,8,1,3,11,1,,,,2,2,363,22,54,,37/77 (48%),4/15 (27%),58%,7,40/69 (58%),20/34 (59%),14/17 (82%),69%,16,8,,26,,1,,,,,10
9555045,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1281,Brøndby IF,Visita,1ST,18/07/2021,1,1,61%,0.00,1,5,0,0,,282,8,3,1,,3,1,2,0,2,3,1,,,,1,0,221,15,28,,24/44 (55%),1/6 (17%),68%,3,16/27 (59%),10/11 (91%),5/6 (83%),50%,8,5,,14,,0,,,,,6
9555045,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1281,Brøndby IF,Visita,2ND,18/07/2021,1,0,53%,0.00,0,9,1,5,,201,8,7,1,,2,0,6,1,1,8,0,,,,1,2,142,7,26,,13/33 (39%),3/9 (33%),52%,4,24/42 (57%),10/23 (43%),9/11 (82%),88%,8,3,,12,,1,,,,,4
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1281,Brøndby IF,Local,ALL,25/07/2021,2,1,53%,0.00,3,16,3,5,9,495,15,9,3,,4,0,6,6,10,6,,3,,,3,1,384,27,77,,45/94 (48%),6/15 (40%),44%,7,33/66 (50%),15/43 (35%),9/19 (47%),67%,15,13,,17,,3,,,,,8
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1281,Brøndby IF,Local,1ST,25/07/2021,2,1,51%,0.00,3,7,2,1,,253,9,5,0,,2,0,3,2,5,2,,3,,,2,1,202,14,32,,24/44 (55%),0/2 (0%),50%,5,21/39 (54%),10/23 (43%),7/13 (54%),44%,9,8,,9,,2,,,,,4
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1281,Brøndby IF,Local,2ND,25/07/2021,2,0,56%,0.00,0,9,1,4,,242,6,4,3,,2,0,3,4,5,4,,0,,,1,0,182,13,45,,21/50 (42%),6/13 (46%),36%,2,12/27 (44%),5/20 (25%),2/6 (33%),100%,6,5,,8,,1,,,,,4
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1288,Viborg FF,Visita,ALL,25/07/2021,2,1,47%,0.00,0,15,2,6,9,434,17,9,5,,4,0,6,5,9,6,,0,,,1,1,337,24,60,,27/59 (46%),3/16 (19%),56%,6,33/66 (50%),28/43 (65%),7/16 (44%),59%,17,8,,12,,2,,,,,9
