Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1292,FC Nordsjælland,Local,ALL,18/07/2021,1,1,56%,0.00,4,20,4,7,12,473,14,21,3,,7,1,7,6,14,6,1,3,1,,6,2,380,13,61,,33/65 (51%),5/14 (36%),46%,9,41/84 (49%),11/28 (39%),7/21 (33%),57%,14,13,,13,,4,,,,,8
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1292,FC Nordsjælland,Local,1ST,18/07/2021,1,1,58%,0.00,2,5,3,1,,246,9,11,0,,3,1,2,0,4,1,1,1,0,,2,2,201,6,26,,15/31 (48%),0/4 (0%),50%,3,22/43 (51%),5/11 (45%),3/11 (27%),44%,9,8,,7,,3,,,,,3
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1292,FC Nordsjælland,Local,2ND,18/07/2021,1,0,55%,0.00,2,15,1,6,,227,5,10,3,,4,0,5,6,10,5,0,2,1,,4,0,179,7,35,,18/34 (53%),5/10 (50%),43%,6,19/41 (46%),6/17 (35%),4/10 (40%),80%,5,5,,6,,1,,,,,5
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1288,Viborg FF,Visita,ALL,18/07/2021,1,2,44%,0.00,4,13,6,10,21,358,23,11,5,,6,0,4,3,11,2,1,3,1,,2,1,270,15,42,,30/65 (46%),5/23 (22%),54%,9,43/84 (51%),17/28 (61%),9/14 (64%),39%,23,5,,21,,6,,,,,10
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1288,Viborg FF,Visita,1ST,18/07/2021,1,1,42%,0.00,2,7,2,7,,174,11,5,1,,4,0,2,1,5,2,0,2,1,,1,1,136,4,20,,12/26 (46%),3/14 (21%),50%,7,21/43 (49%),6/11 (55%),5/7 (71%),36%,11,2,,4,,2,,,,,4
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1288,Viborg FF,Visita,2ND,18/07/2021,1,1,45%,0.00,2,6,4,3,,184,12,6,4,,2,0,2,2,6,0,1,1,0,,1,0,134,11,22,,18/39 (46%),2/9 (22%),57%,2,22/41 (54%),11/17 (65%),4/7 (57%),42%,12,3,,17,,4,,,,,6
9555057,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1292,FC Nordsjælland,Local,ALL,25/07/2021,2,0,69%,0.00,,14,0,5,15,506,10,14,4,,5,0,5,4,7,7,,,,,1,2,410,29,51,,27/56 (48%),3/16 (19%),52%,7,38/69 (55%),20/42 (48%),14/19 (74%),50%,10,3,,9,,0,,,,,7
9555057,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1292,FC Nordsjælland,Local,1ST,25/07/2021,2,0,67%,0.00,,7,0,2,,256,5,10,1,,3,0,1,3,3,4,,,,,1,2,199,14,25,,16/34 (47%),1/4 (25%),54%,4,20/33 (61%),9/21 (43%),5/6 (83%),60%,5,2,,4,,0,,,,,5
9555057,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1292,FC Nordsjælland,Local,2ND,25/07/2021,2,0,71%,0.00,,7,0,3,,250,5,4,3,,2,0,4,1,4,3,,,,,0,0,211,15,26,,11/22 (50%),2/12 (17%),51%,3,18/36 (50%),11/21 (52%),9/13 (69%),40%,5,1,,5,,0,,,,,2
9555057,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1291,AGF,Visita,ALL,25/07/2021,2,0,31%,0.00,,5,5,5,14,224,12,15,2,,1,0,1,3,3,2,,,,,1,4,136,19,60,,27/74 (36%),3/8 (38%),48%,4,31/69 (45%),22/42 (52%),6/12 (50%),50%,12,17,,21,,5,,,,,15
9555057,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1291,AGF,Visita,1ST,25/07/2021,2,0,33%,0.00,,3,3,2,,122,5,6,1,,1,0,0,2,2,1,,,,,0,1,73,11,34,,12/35 (34%),2/5 (40%),46%,2,13/33 (39%),12/21 (57%),2/5 (40%),60%,5,10,,9,,3,,,,,7
9555057,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1291,AGF,Visita,2ND,25/07/2021,2,0,29%,0.00,,2,2,3,,102,7,9,1,,0,0,1,1,1,1,,,,,1,3,63,8,26,,15/39 (38%),1/3 (33%),49%,2,18/36 (50%),10/21 (48%),4/7 (57%),43%,7,7,,12,,2,,,,,8
9555050,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1295,Sønderjyske Fodbold,Local,ALL,02/08/2021,3,0,46%,0.00,1,8,5,3,8,393,17,14,1,0,2,0,4,2,3,5,0,1,,,0,2,290,26,49,,30/76 (39%),4/9 (44%),64%,8,43/73 (59%),25/34 (74%),12/17 (71%),53%,17,9,,13,,5,,,,,15
9555050,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1295,Sønderjyske Fodbold,Local,1ST,02/08/2021,3,0,47%,0.00,1,4,2,1,,209,8,6,0,0,1,0,3,0,2,2,0,1,,,0,0,156,11,19,,15/38 (39%),2/5 (40%),63%,2,19/33 (58%),14/19 (74%),5/8 (63%),63%,8,1,,7,,2,,,,,10
9555050,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1295,Sønderjyske Fodbold,Local,2ND,02/08/2021,3,0,44%,0.00,0,4,3,2,,184,9,8,1,0,1,0,1,2,1,3,0,0,,,0,2,134,15,30,,15/38 (39%),2/4 (50%),64%,6,24/40 (60%),11/15 (73%),7/9 (78%),44%,9,8,,6,,3,,,,,5
9555050,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1292,FC Nordsjælland,Visita,ALL,02/08/2021,3,2,54%,0.00,4,18,2,7,14,448,13,7,2,1,7,2,8,3,12,6,2,2,,,1,2,352,20,59,,39/67 (58%),8/25 (32%),36%,7,30/73 (41%),9/34 (26%),10/20 (50%),69%,13,10,,10,,2,,,,,10
9555050,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1292,FC Nordsjælland,Visita,1ST,02/08/2021,3,1,53%,0.00,2,8,1,4,,224,5,5,0,0,3,0,3,2,3,5,1,1,,,1,2,180,8,31,,21/30 (70%),4/13 (31%),37%,3,14/33 (42%),5/19 (26%),4/9 (44%),80%,5,3,,5,,1,,,,,5
9555050,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1292,FC Nordsjælland,Visita,2ND,02/08/2021,3,1,56%,0.00,2,10,1,3,,224,8,2,2,1,4,2,5,1,9,1,1,1,,,0,0,172,12,28,,18/37 (49%),4/12 (33%),36%,4,16/40 (40%),4/15 (27%),6/11 (55%),63%,8,7,,5,,1,,,,,5
9555049,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1292,FC Nordsjælland,Local,ALL,09/08/2021,4,3,47%,0.00,6,15,1,4,11,375,18,9,1,,5,1,8,2,11,4,2,4,0,,2,2,274,20,49,,30/70 (43%),6/17 (35%),53%,10,45/90 (50%),19/31 (61%),18/30 (60%),67%,18,12,,20,,1,,,,,7
9555049,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1292,FC Nordsjælland,Local,1ST,09/08/2021,4,1,58%,0.00,4,8,0,1,,246,7,5,1,,2,1,5,1,7,1,0,4,0,,0,2,196,10,23,,19/35 (54%),3/10 (30%),53%,4,20/43 (47%),8/10 (80%),8/14 (57%),57%,7,6,,6,,0,,,,,2
9555049,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1292,FC Nordsjælland,Local,2ND,09/08/2021,4,2,35%,0.00,2,7,1,3,,129,11,4,0,,3,0,3,1,4,3,2,0,0,,2,0,78,10,26,,11/35 (31%),3/7 (43%),53%,6,25/47 (53%),11/21 (52%),10/16 (63%),73%,11,6,,14,,1,,,,,5
9555049,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1286,Odense Boldklub,Visita,ALL,09/08/2021,4,1,53%,0.00,1,5,2,7,10,426,22,11,2,,2,0,3,0,3,2,1,0,2,,0,3,317,30,57,,22/61 (36%),4/15 (27%),47%,10,45/90 (50%),12/31 (39%),12/20 (60%),55%,22,11,,8,,2,,,,,9
9555049,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1286,Odense Boldklub,Visita,1ST,09/08/2021,4,0,42%,0.00,0,0,1,3,,179,10,5,1,,0,0,0,0,0,0,0,0,0,,0,2,131,17,26,,7/29 (24%),0/4 (0%),47%,5,23/43 (53%),2/10 (20%),8/10 (80%),60%,10,8,,5,,1,,,,,3
9555049,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1286,Odense Boldklub,Visita,2ND,09/08/2021,4,1,65%,0.00,1,5,1,4,,247,12,6,1,,2,0,3,0,3,2,1,0,2,,0,1,186,13,31,,15/32 (47%),4/11 (36%),47%,5,22/47 (47%),10/21 (48%),4/10 (40%),50%,12,3,,3,,1,,,,,6
9554986,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1281,Brøndby IF,Local,ALL,13/08/2021,5,0,58%,0.00,2,8,0,7,7,479,13,13,1,,2,0,4,2,6,2,,2,3,,2,7,377,34,75,,37/68 (54%),5/24 (21%),53%,9,35/66 (53%),11/21 (52%),10/20 (50%),69%,13,7,,13,,0,,,,,10
9554986,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1281,Brøndby IF,Local,1ST,13/08/2021,5,0,52%,0.00,0,1,0,0,,232,7,5,1,,1,0,0,0,0,1,,0,1,,0,4,189,14,36,,22/39 (56%),1/7 (14%),52%,7,18/35 (51%),6/11 (55%),6/11 (55%),57%,7,2,,7,,0,,,,,9
9554986,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1281,Brøndby IF,Local,2ND,13/08/2021,5,0,65%,0.00,2,7,0,7,,247,6,8,0,,1,0,4,2,6,1,,2,2,,2,3,188,20,39,,15/29 (52%),4/17 (24%),54%,2,17/31 (55%),5/10 (50%),4/9 (44%),83%,6,5,,6,,0,,,,,1
9554986,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1292,FC Nordsjælland,Visita,ALL,13/08/2021,5,1,42%,0.00,0,9,2,5,15,352,19,6,4,,1,0,7,1,7,2,,0,0,,2,3,261,30,40,,20/68 (29%),3/17 (18%),47%,7,31/66 (47%),10/21 (48%),6/12 (50%),58%,19,20,,23,,2,,,,,3
9554986,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1292,FC Nordsjælland,Visita,1ST,13/08/2021,5,0,48%,0.00,0,7,1,3,,216,12,2,2,,0,0,6,1,5,2,,0,0,,0,0,175,14,20,,11/33 (33%),2/11 (18%),48%,4,17/35 (49%),5/11 (45%),3/6 (50%),42%,12,8,,9,,1,,,,,1
9554986,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1292,FC Nordsjælland,Visita,2ND,13/08/2021,5,1,35%,0.00,0,2,1,2,,136,7,4,2,,1,0,1,0,2,0,,0,0,,2,3,86,16,20,,9/35 (26%),1/6 (17%),46%,3,14/31 (45%),5/10 (50%),3/6 (50%),86%,7,12,,14,,1,,,,,2
9555097,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1292,FC Nordsjælland,Local,ALL,23/08/2021,6,3,58%,0.00,5,11,6,4,11,591,14,12,0,,5,2,4,2,8,3,2,3,0,,3,3,513,20,64,,32/62 (52%),3/13 (23%),52%,5,38/69 (55%),6/15 (40%),12/15 (80%),71%,14,9,,13,,6,,,,,6
9555097,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1292,FC Nordsjælland,Local,1ST,23/08/2021,6,2,64%,0.00,3,4,3,3,,345,6,9,0,,2,2,1,1,4,0,2,1,0,,2,1,313,9,35,,16/26 (62%),1/8 (13%),50%,3,17/30 (57%),3/10 (30%),2/3 (67%),100%,6,1,,6,,3,,,,,2
9555097,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1292,FC Nordsjælland,Local,2ND,23/08/2021,6,1,51%,0.00,2,7,3,1,,246,8,3,0,,3,0,3,1,4,3,0,2,0,,1,2,200,11,29,,16/36 (44%),2/5 (40%),55%,2,21/39 (54%),3/5 (60%),10/12 (83%),50%,8,8,,7,,3,,,,,4
9555097,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,4872,Vejle,Visita,ALL,23/08/2021,6,1,42%,0.00,1,11,2,2,12,426,8,11,2,,7,0,3,1,6,5,0,1,1,,1,3,349,14,45,,37/65 (57%),2/12 (17%),48%,7,31/69 (45%),9/15 (60%),12/19 (63%),50%,8,17,,18,,2,,,,,9
9555097,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,4872,Vejle,Visita,1ST,23/08/2021,6,0,36%,0.00,1,4,0,2,,190,4,5,1,,3,0,1,0,3,1,0,1,1,,0,2,167,3,17,,15/24 (63%),2/6 (33%),50%,3,13/30 (43%),7/10 (70%),4/7 (57%),50%,4,11,,9,,0,,,,,4
9555097,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,4872,Vejle,Visita,2ND,23/08/2021,6,1,49%,0.00,0,7,2,0,,236,4,6,1,,4,0,2,1,3,4,0,0,0,,1,1,182,11,28,,22/41 (54%),0/6 (0%),45%,4,18/39 (46%),2/5 (40%),8/12 (67%),50%,4,6,,9,,2,,,,,5
9554959,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1290,AaB,Local,ALL,27/08/2021,7,2,39%,0.00,3,12,1,4,14,358,16,12,2,,6,1,4,2,8,4,2,1,0,,2,3,266,24,55,,30/72 (42%),6/13 (46%),52%,2,34/66 (52%),10/19 (53%),6/17 (35%),63%,16,11,,8,,1,,,,,8
9554959,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1290,AaB,Local,1ST,27/08/2021,7,1,45%,0.00,2,7,1,2,,202,7,8,0,,4,0,2,1,5,2,1,1,0,,2,3,156,6,31,,13/34 (38%),3/5 (60%),61%,2,18/31 (58%),9/13 (69%),3/9 (33%),71%,7,5,,2,,1,,,,,4
9554959,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1290,AaB,Local,2ND,27/08/2021,7,1,34%,0.00,1,5,0,2,,156,9,4,2,,2,1,2,1,3,2,1,0,0,,0,0,110,18,24,,17/38 (45%),3/8 (38%),41%,0,16/35 (46%),1/6 (17%),3/8 (38%),56%,9,6,,6,,0,,,,,4
9554959,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1292,FC Nordsjælland,Visita,ALL,27/08/2021,7,1,61%,0.00,3,10,4,5,12,572,13,13,1,,3,0,6,1,3,7,0,3,1,,2,0,481,20,75,,27/64 (42%),2/12 (17%),48%,5,32/66 (48%),9/19 (47%),6/17 (35%),77%,13,8,,12,,4,,,,,5
9554959,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1292,FC Nordsjælland,Visita,1ST,27/08/2021,7,1,55%,0.00,2,7,3,2,,259,8,2,0,,3,0,4,0,2,5,0,2,1,,1,0,215,9,31,,12/31 (39%),0/3 (0%),39%,2,13/31 (42%),4/13 (31%),3/8 (38%),63%,8,4,,6,,3,,,,,3
9554959,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1292,FC Nordsjælland,Visita,2ND,27/08/2021,7,0,66%,0.00,1,3,1,3,,313,5,11,1,,0,0,2,1,1,2,0,1,0,,1,0,266,11,44,,15/33 (45%),2/9 (22%),59%,3,19/35 (54%),5/6 (83%),3/9 (33%),100%,5,4,,6,,1,,,,,2
9555096,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1289,FC Midtjylland,Local,ALL,10/09/2021,8,2,41%,0.00,1,14,5,2,11,359,18,14,1,,7,0,6,1,7,7,1,0,,,1,1,263,13,56,,24/74 (32%),2/7 (29%),51%,7,35/65 (54%),12/27 (44%),3/9 (33%),67%,18,20,,12,,5,,,,,11
9555096,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1289,FC Midtjylland,Local,1ST,10/09/2021,8,0,46%,0.00,0,6,3,0,,215,12,10,0,,2,0,3,1,4,2,0,0,,,1,1,168,7,32,,15/34 (44%),0/2 (0%),55%,4,22/39 (56%),8/16 (50%),0/4 (0%),58%,12,8,,2,,3,,,,,6
9555096,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1289,FC Midtjylland,Local,2ND,10/09/2021,8,2,36%,0.00,1,8,2,2,,144,6,4,1,,5,0,3,0,3,5,1,0,,,0,0,95,6,24,,9/40 (23%),2/5 (40%),46%,3,13/26 (50%),4/11 (36%),3/5 (60%),83%,6,12,,10,,2,,,,,5
9555096,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1292,FC Nordsjælland,Visita,ALL,10/09/2021,8,0,59%,0.00,3,11,5,4,15,514,13,10,2,,5,0,4,2,8,3,0,3,,,2,4,416,25,54,,25/53 (47%),3/12 (25%),49%,14,30/65 (46%),15/27 (56%),7/11 (64%),69%,13,4,,8,,5,,,,,7
9555096,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1292,FC Nordsjælland,Visita,1ST,10/09/2021,8,0,54%,0.00,2,7,2,1,,249,8,6,1,,3,0,3,1,5,2,0,2,,,1,2,204,14,24,,11/24 (46%),3/5 (60%),45%,8,17/39 (44%),8/16 (50%),3/7 (43%),63%,8,2,,6,,2,,,,,3
9555096,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1292,FC Nordsjælland,Visita,2ND,10/09/2021,8,0,64%,0.00,1,4,3,3,,265,5,4,1,,2,0,1,1,3,1,0,1,,,1,2,212,11,30,,14/29 (48%),0/7 (0%),54%,6,13/26 (50%),7/11 (64%),4/4 (100%),80%,5,2,,2,,3,,,,,4
9555086,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1301,Randers FC,Local,ALL,19/09/2021,9,3,46%,0.00,7,20,2,8,14,356,24,7,1,,7,0,7,6,12,8,2,5,1,,2,4,264,19,41,,24/57 (42%),6/17 (35%),54%,9,44/83 (53%),29/51 (57%),13/23 (57%),54%,24,15,,27,,2,,,,,13
9555086,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1301,Randers FC,Local,1ST,19/09/2021,9,3,49%,0.00,5,8,2,2,,200,14,5,0,,3,0,4,1,7,1,2,3,0,,2,1,152,7,18,,11/29 (38%),3/6 (50%),60%,6,22/37 (59%),14/23 (61%),3/9 (33%),57%,14,7,,14,,2,,,,,6
9555086,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1301,Randers FC,Local,2ND,19/09/2021,9,0,42%,0.00,2,12,0,6,,156,10,2,1,,4,0,3,5,5,7,0,2,1,,0,3,112,12,23,,13/28 (46%),3/11 (27%),50%,3,22/46 (48%),15/28 (54%),10/14 (71%),50%,10,8,,13,,0,,,,,7
9555086,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1292,FC Nordsjælland,Visita,ALL,19/09/2021,9,2,54%,0.00,2,12,4,11,8,426,19,11,2,,4,0,4,4,8,4,1,1,0,,3,2,328,25,55,,26/63 (41%),2/20 (10%),46%,10,39/83 (47%),22/51 (43%),10/24 (42%),74%,19,5,,21,,4,,,,,9
9555086,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1292,FC Nordsjælland,Visita,1ST,19/09/2021,9,2,51%,0.00,1,7,0,6,,207,12,2,2,,4,0,1,2,5,2,1,0,0,,0,0,155,12,22,,15/38 (39%),0/8 (0%),40%,9,15/37 (41%),9/23 (39%),2/7 (29%),67%,12,3,,9,,0,,,,,5
9555086,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1292,FC Nordsjælland,Visita,2ND,19/09/2021,9,0,58%,0.00,1,5,4,5,,219,7,9,0,,0,0,3,2,3,2,0,1,0,,3,2,173,13,33,,11/25 (44%),2/12 (17%),50%,1,24/46 (52%),13/28 (46%),8/17 (47%),86%,7,2,,12,,4,,,,,4
9555085,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1292,FC Nordsjælland,Local,ALL,26/09/2021,10,1,57%,0.00,0,13,1,4,7,465,10,12,0,,3,0,6,4,8,5,0,,0,,3,0,381,22,52,,31/59 (53%),3/12 (25%),50%,6,34/62 (55%),17/39 (44%),12/18 (67%),70%,10,10,,11,,1,,,,,3
9555085,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1292,FC Nordsjælland,Local,1ST,26/09/2021,10,0,61%,0.00,0,7,1,2,,270,5,7,0,,2,0,3,2,4,3,0,,0,,0,0,225,15,29,,19/30 (63%),1/5 (20%),56%,1,20/31 (65%),10/23 (43%),8/11 (73%),100%,5,6,,8,,1,,,,,2
9555085,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1292,FC Nordsjælland,Local,2ND,26/09/2021,10,1,52%,0.00,0,6,0,2,,195,5,5,0,,1,0,3,2,4,2,0,,0,,3,0,156,7,23,,12/29 (41%),2/7 (29%),45%,5,14/31 (45%),7/16 (44%),4/7 (57%),40%,5,4,,3,,0,,,,,1
