Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10239415,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,6392,FC Helsingør,Local,ALL,06/05/2022,6,2,,,,,,9,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239415,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,6392,FC Helsingør,Local,1ST,06/05/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239415,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,6392,FC Helsingør,Local,2ND,06/05/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239415,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1302,FC Fredericia,Visita,ALL,06/05/2022,6,1,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239415,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1302,FC Fredericia,Visita,1ST,06/05/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239415,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1302,FC Fredericia,Visita,2ND,06/05/2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252692,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1302,FC Fredericia,Local,ALL,13/05/2022,7,5,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252692,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1302,FC Fredericia,Local,1ST,13/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252692,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1302,FC Fredericia,Local,2ND,13/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252692,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1323,Nykøbing FC,Visita,ALL,13/05/2022,7,1,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252692,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1323,Nykøbing FC,Visita,1ST,13/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252692,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1323,Nykøbing FC,Visita,2ND,13/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10259967,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1305,Hvidovre,Local,ALL,18/05/2022,8,3,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10259967,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1305,Hvidovre,Local,1ST,18/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10259967,47,36843,NORMAL,GROUP,"Betinia Liga, Promotion Group",LEAGUE,1305,Hvidovre,Local,2ND,18/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
