Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9594640,34,37167,NORMAL,REGULAR,Round 1,LEAGUE,1651,Metz,Local,ALL,08/08/2021,1,3,38%,0.00,1,12,4,4,9,335,16,9,1,1,5,0,3,4,6,6,1,0,0,,0,0,243,22,51,,20/59 (34%),3/18 (17%),46%,11,30/68 (44%),16/32 (50%),6/16 (38%),75%,16,19,,13,,4,,,,,10
9594640,34,37167,NORMAL,REGULAR,Round 1,LEAGUE,1651,Metz,Local,1ST,08/08/2021,1,2,49%,0.00,1,5,1,2,,231,10,5,0,0,4,0,1,0,2,3,1,0,0,,0,0,181,14,33,,13/30 (43%),2/11 (18%),51%,8,16/35 (46%),9/14 (64%),1/5 (20%),80%,10,8,,6,,1,,,,,2
9594640,34,37167,NORMAL,REGULAR,Round 1,LEAGUE,1651,Metz,Local,2ND,08/08/2021,1,,26%,0.00,0,7,3,2,,104,6,4,1,1,1,0,2,4,4,3,0,0,0,,0,0,62,8,18,,7/29 (24%),1/7 (14%),41%,3,14/33 (42%),7/18 (39%),5/11 (45%),67%,6,11,,7,,3,,,,,8
9594640,34,37167,NORMAL,REGULAR,Round 1,LEAGUE,1643,Lille,Visita,ALL,08/08/2021,1,3,62%,0.00,2,17,2,5,10,538,21,9,2,0,6,1,7,4,9,8,1,1,2,,1,2,438,28,67,,20/45 (44%),7/24 (29%),54%,8,38/68 (56%),16/32 (50%),8/16 (50%),62%,21,10,,14,,2,,,,,3
9594640,34,37167,NORMAL,REGULAR,Round 1,LEAGUE,1643,Lille,Visita,1ST,08/08/2021,1,1,51%,0.00,2,5,2,2,,237,12,5,0,0,2,0,2,1,4,1,1,1,1,,0,1,187,16,20,,8/21 (38%),2/8 (25%),49%,6,19/35 (54%),5/14 (36%),2/6 (33%),58%,12,8,,8,,2,,,,,2
9594640,34,37167,NORMAL,REGULAR,Round 1,LEAGUE,1643,Lille,Visita,2ND,08/08/2021,1,,74%,0.00,0,12,0,3,,301,9,4,2,0,4,1,5,3,5,7,0,0,1,,1,1,251,12,47,,12/24 (50%),5/16 (31%),59%,2,19/33 (58%),11/18 (61%),6/10 (60%),67%,9,2,,6,,0,,,,,1
9594644,34,37167,NORMAL,REGULAR,Round 2,LEAGUE,1643,Lille,Local,ALL,14/08/2021,2,0,62%,0.00,1,11,3,8,9,591,14,13,3,,2,0,7,2,8,3,0,1,,,2,1,504,30,63,,40/58 (69%),8/18 (44%),44%,9,35/78 (45%),13/30 (43%),8/20 (40%),43%,14,7,,10,,3,,,,,8
9594644,34,37167,NORMAL,REGULAR,Round 2,LEAGUE,1643,Lille,Local,1ST,14/08/2021,2,0,66%,0.00,0,5,2,5,,313,8,5,2,,1,0,3,1,4,1,0,0,,,0,1,264,22,36,,19/31 (61%),5/11 (45%),49%,3,17/38 (45%),9/15 (60%),4/11 (36%),50%,8,0,,5,,2,,,,,5
9594644,34,37167,NORMAL,REGULAR,Round 2,LEAGUE,1643,Lille,Local,2ND,14/08/2021,2,,58%,0.00,1,6,1,3,,278,6,8,1,,1,0,4,1,4,2,0,1,,,2,0,240,8,27,,21/27 (78%),3/7 (43%),40%,6,18/40 (45%),4/15 (27%),4/9 (44%),33%,6,7,,5,,1,,,,,3
9594644,34,37167,NORMAL,REGULAR,Round 2,LEAGUE,1661,Nice,Visita,ALL,14/08/2021,2,4,38%,0.00,5,11,2,7,13,358,21,8,1,,7,2,1,3,8,3,3,2,,,3,1,280,18,41,,23/49 (47%),2/11 (18%),56%,11,43/78 (55%),17/30 (57%),15/18 (83%),62%,21,17,,20,,2,,,,,9
