Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9617448,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,169260,K. Beerschot V.A.,Local,ALL,24/07/2021,1,0,52%,0.00,1,10,1,8,8,396,20,15,2,,1,0,4,5,4,6,0,1,,,6,4,274,42,67,,39/71 (55%),4/21 (19%),51%,7,38/67 (57%),25/57 (44%),4/13 (31%),50%,20,13,,11,,1,,,,,9
9617448,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,169260,K. Beerschot V.A.,Local,1ST,24/07/2021,1,0,46%,0.00,0,3,0,3,,191,9,5,0,,1,0,1,1,1,2,0,0,,,1,1,141,22,35,,19/35 (54%),2/8 (25%),43%,6,16/32 (50%),4/14 (29%),2/7 (29%),44%,9,6,,4,,0,,,,,7
9617448,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,169260,K. Beerschot V.A.,Local,2ND,24/07/2021,1,0,59%,0.00,1,7,1,5,,205,11,10,2,,0,0,3,4,3,4,0,1,,,5,3,133,20,32,,20/36 (56%),2/13 (15%),55%,1,22/35 (63%),21/43 (49%),2/6 (33%),55%,11,7,,7,,1,,,,,2
9617448,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,2929,Cercle Brugge,Visita,ALL,24/07/2021,1,1,48%,0.00,1,6,2,3,16,376,16,8,1,,2,0,2,2,4,2,1,0,,,2,1,272,36,69,,34/74 (46%),3/13 (23%),49%,12,29/67 (43%),32/57 (56%),6/14 (43%),69%,16,11,,38,,2,,,,,6
9617448,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,2929,Cercle Brugge,Visita,1ST,24/07/2021,1,1,54%,0.00,1,3,1,1,,231,11,2,0,,1,0,2,0,3,0,1,0,,,0,0,190,17,40,,24/42 (57%),1/6 (17%),57%,3,16/32 (50%),10/14 (71%),3/9 (33%),55%,11,7,,14,,1,,,,,2
9617448,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,2929,Cercle Brugge,Visita,2ND,24/07/2021,1,0,41%,0.00,0,3,1,2,,145,5,6,1,,1,0,0,2,1,2,0,0,,,2,1,82,19,29,,10/32 (31%),2/7 (29%),45%,9,13/35 (37%),22/43 (51%),3/5 (60%),100%,5,4,,24,,1,,,,,4
9565181,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,2903,KAA Gent,Local,ALL,01/08/2021,2,2,53%,0.00,2,24,5,7,8,527,22,11,1,,5,1,14,5,13,11,1,1,,,2,3,433,12,71,,26/60 (43%),10/24 (42%),57%,6,43/77 (56%),21/35 (60%),11/30 (37%),73%,22,11,,20,,5,,,,,2
9565181,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,2903,KAA Gent,Local,1ST,01/08/2021,2,1,48%,0.00,1,18,2,4,,252,10,6,0,,4,1,11,3,10,8,0,1,,,1,2,205,4,33,,15/25 (60%),7/11 (64%),59%,3,19/33 (58%),11/18 (61%),3/8 (38%),90%,10,4,,7,,2,,,,,0
9565181,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,2903,KAA Gent,Local,2ND,01/08/2021,2,1,59%,0.00,1,6,3,3,,275,12,5,1,,1,0,3,2,3,3,1,0,,,1,1,228,8,38,,11/35 (31%),3/13 (23%),56%,3,24/44 (55%),10/17 (59%),8/22 (36%),58%,12,7,,13,,3,,,,,2
9565181,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,169260,K. Beerschot V.A.,Visita,ALL,01/08/2021,2,2,47%,0.00,1,11,3,8,13,469,25,7,0,,7,0,1,3,5,6,1,0,,,0,0,367,15,49,,33/67 (49%),6/15 (40%),43%,10,34/77 (44%),14/35 (40%),2/14 (14%),68%,25,14,,17,,3,,,,,13
