Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10097843,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1758,Hammarby IF,Local,ALL,06/03/2022,3,4,44%,,,10,3,7,7,,,16,4,0,4,,6,,,,,,,,,2,,22,,,,,,,,,,,,,,,,3,,,,,10
10097843,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1758,Hammarby IF,Local,1ST,06/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097843,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1758,Hammarby IF,Local,2ND,06/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097843,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1760,BK Häcken,Visita,ALL,06/03/2022,3,0,56%,,,8,1,4,15,,,9,1,0,3,,5,,,,,,,,,1,,16,,,,,,,,,,,,,,,,1,,,,,9
10097843,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1760,BK Häcken,Visita,1ST,06/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097843,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1760,BK Häcken,Visita,2ND,06/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936518,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,ALL,18/02/2023,1,5,,,,,,13,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936518,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,1ST,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936518,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,2ND,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936518,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1841,Jönköpings Södra,Visita,ALL,18/02/2023,1,0,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936518,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1841,Jönköpings Södra,Visita,1ST,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936518,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1841,Jönköpings Södra,Visita,2ND,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936511,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1791,FC Trollhättan,Local,ALL,25/02/2023,2,1,,,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936511,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1791,FC Trollhättan,Local,1ST,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936511,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1791,FC Trollhättan,Local,2ND,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936511,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Visita,ALL,25/02/2023,2,6,,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936511,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Visita,1ST,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936511,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Visita,2ND,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,ALL,04/03/2023,3,2,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,1ST,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,2ND,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,ALL,04/03/2023,3,1,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,1ST,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,2ND,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11111635,80,42259,NORMAL,REGULAR,Quarterfinals,CUP,1760,BK Häcken,Local,ALL,11/03/2023,27,3,60%,,,17,2,10,12,,,13,1,,9,,4,4,,,,,,,,2,,13,,,,,,,,,,,,,,,,2,,,,,13
11111635,80,42259,NORMAL,REGULAR,Quarterfinals,CUP,1760,BK Häcken,Local,1ST,11/03/2023,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11111635,80,42259,NORMAL,REGULAR,Quarterfinals,CUP,1760,BK Häcken,Local,2ND,11/03/2023,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11111635,80,42259,NORMAL,REGULAR,Quarterfinals,CUP,1769,IFK Norrköping,Visita,ALL,11/03/2023,27,0,40%,,,12,6,2,13,,,14,2,,2,,8,2,,,,,,,,0,,14,,,,,,,,,,,,,,,,6,,,,,12
11111635,80,42259,NORMAL,REGULAR,Quarterfinals,CUP,1769,IFK Norrköping,Visita,1ST,11/03/2023,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11111635,80,42259,NORMAL,REGULAR,Quarterfinals,CUP,1769,IFK Norrköping,Visita,2ND,11/03/2023,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11127263,80,42259,NORMAL,REGULAR,Semifinals,CUP,1760,BK Häcken,Local,ALL,19/03/2023,28,3,46%,,,13,6,4,13,,,8,2,0,6,,5,2,,,,,,,,1,,14,,,,,,,,,,,,,,,,6,,,,,10
11127263,80,42259,NORMAL,REGULAR,Semifinals,CUP,1760,BK Häcken,Local,1ST,19/03/2023,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11127263,80,42259,NORMAL,REGULAR,Semifinals,CUP,1760,BK Häcken,Local,2ND,19/03/2023,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11127263,80,42259,NORMAL,REGULAR,Semifinals,CUP,1759,Djurgårdens IF,Visita,ALL,19/03/2023,28,0,54%,,,16,3,8,8,,,14,1,0,6,,7,3,,,,,,,,0,,18,,,,,,,,,,,,,,,,3,,,,,5
11127263,80,42259,NORMAL,REGULAR,Semifinals,CUP,1759,Djurgårdens IF,Visita,1ST,19/03/2023,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11127263,80,42259,NORMAL,REGULAR,Semifinals,CUP,1759,Djurgårdens IF,Visita,2ND,19/03/2023,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150323,80,42259,NORMAL,FINAL,Final,CUP,1783,Mjällby AIF,Local,ALL,18/05/2023,29,1,46%,,,7,2,6,12,,,6,1,,3,,3,1,,,,,,,,,,21,,,,,,,,,,,,,,,,2,,,,,12
11150323,80,42259,NORMAL,FINAL,Final,CUP,1783,Mjällby AIF,Local,1ST,18/05/2023,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150323,80,42259,NORMAL,FINAL,Final,CUP,1783,Mjällby AIF,Local,2ND,18/05/2023,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150323,80,42259,NORMAL,FINAL,Final,CUP,1760,BK Häcken,Visita,ALL,18/05/2023,29,4,54%,,,11,2,2,6,,,12,1,,6,,4,1,,,,,,,,,,24,,,,,,,,,,,,,,,,2,,,,,5
11150323,80,42259,NORMAL,FINAL,Final,CUP,1760,BK Häcken,Visita,1ST,18/05/2023,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150323,80,42259,NORMAL,FINAL,Final,CUP,1760,BK Häcken,Visita,2ND,18/05/2023,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362848,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,1760,BK Häcken,Local,ALL,12/07/2023,1,3,,,,,,10,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362848,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,1760,BK Häcken,Local,1ST,12/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362848,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,1760,BK Häcken,Local,2ND,12/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362848,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,4921,The New Saints,Visita,ALL,12/07/2023,1,1,,,,,,0,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362848,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,4921,The New Saints,Visita,1ST,12/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362848,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,4921,The New Saints,Visita,2ND,12/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362856,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,4921,The New Saints,Local,ALL,18/07/2023,1,0,,,,,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362856,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,4921,The New Saints,Local,1ST,18/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362856,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,4921,The New Saints,Local,2ND,18/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362856,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,1760,BK Häcken,Visita,ALL,18/07/2023,1,2,,,,,,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362856,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,1760,BK Häcken,Visita,1ST,18/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11362856,7,52162,NORMAL,PLAYOFF,Qualification round 1,INTERNATIONAL,1760,BK Häcken,Visita,2ND,18/07/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454350,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5194,Klaksvíkar Ítróttarfelag,Local,ALL,26/07/2023,2,0,,,,,,5,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454350,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5194,Klaksvíkar Ítróttarfelag,Local,1ST,26/07/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454350,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5194,Klaksvíkar Ítróttarfelag,Local,2ND,26/07/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454350,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,1760,BK Häcken,Visita,ALL,26/07/2023,2,0,,,,,,6,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454350,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,1760,BK Häcken,Visita,1ST,26/07/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454350,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,1760,BK Häcken,Visita,2ND,26/07/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454355,7,52162,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,1760,BK Häcken,Local,ALL,02/08/2023,2,3,,,,,,8,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
