Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10936504,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 3",CUP,1763,GIF Sundsvall,Local,ALL,25/02/2023,2,0,,,,5,3,1,9,,,15,2,,4,,0,1,,,,,,,,1,,19,,,,,,,,,,,,,,,,3,,,,,7
10936504,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 3",CUP,1763,GIF Sundsvall,Local,1ST,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936504,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 3",CUP,1763,GIF Sundsvall,Local,2ND,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936504,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 3",CUP,1777,IK Brage,Visita,ALL,25/02/2023,2,2,,,,8,4,9,14,,,10,4,,5,,3,0,,,,,,,,1,,26,,,,,,,,,,,,,,,,4,,,,,2
10936504,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 3",CUP,1777,IK Brage,Visita,1ST,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936504,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 3",CUP,1777,IK Brage,Visita,2ND,25/02/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910304,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1783,Mjällby AIF,Local,ALL,17/02/2024,1,3,58%,3.35,,20,1,8,13,578,0,3,3,0,15,0,4,1,16,4,,,3,37,,2,488,21,,54/78 (69%),18/48 (37%),4/20 (20%),36%,0,34/113 (30%),18/29 (62%),8/12 (67%),,0,14,,10,1,1,,,0,,5
11910304,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1783,Mjällby AIF,Local,1ST,17/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910304,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1783,Mjällby AIF,Local,2ND,17/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910304,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1763,GIF Sundsvall,Visita,ALL,17/02/2024,1,2,42%,0.89,,6,12,1,12,374,4,2,3,1,3,0,3,0,3,3,,,0,6,,1,277,32,,13/29 (45%),20/59 (33%),2/5 (40%),28%,4,30/111 (27%),10/30 (33%),9/16 (56%),,4,15,,19,2,12,,,1,,7
11910304,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1763,GIF Sundsvall,Visita,1ST,17/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910304,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1763,GIF Sundsvall,Visita,2ND,17/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082235,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1758,Hammarby IF,Local,ALL,26/02/2024,2,3,,,,,,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082235,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1758,Hammarby IF,Local,1ST,26/02/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082235,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1758,Hammarby IF,Local,2ND,26/02/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082235,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1763,GIF Sundsvall,Visita,ALL,26/02/2024,2,1,,,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082235,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1763,GIF Sundsvall,Visita,1ST,26/02/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12082235,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1763,GIF Sundsvall,Visita,2ND,26/02/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910290,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1775,Västerås SK,Local,ALL,04/03/2024,3,1,60%,2.05,,19,3,12,8,713,1,4,1,0,9,0,3,7,13,6,,,1,36,,2,618,24,,91/113 (81%),23/39 (58%),12/34 (35%),39%,5,70/191 (37%),19/37 (51%),27/33 (82%),,1,20,,3,6,3,,,0,,2
11910290,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 7",CUP,1775,Västerås SK,Local,1ST,04/03/2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
