Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
11910269,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1766,Örgryte IS,Visita,ALL,18/02/2024,1,0,55%,0.99,,19,6,5,7,552,0,2,2,0,3,0,8,8,11,8,,,1,29,,3,470,20,,43/52 (83%),31/52 (59%),9/26 (34%),30%,9,43/139 (31%),12/43 (28%),17/26 (65%),,0,14,,32,3,6,,,1,,8
11910269,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1766,Örgryte IS,Visita,1ST,18/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910269,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1766,Örgryte IS,Visita,2ND,18/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910269,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1807,Degerfors IF,Local,ALL,18/02/2024,1,5,45%,4.10,,21,3,7,10,392,1,0,0,0,11,1,3,6,14,7,,,0,28,,0,322,17,,31/48 (65%),29/55 (52%),12/28 (42%),40%,3,48/142 (34%),26/42 (62%),20/34 (59%),,1,21,,23,8,3,,,0,,11
11910269,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1807,Degerfors IF,Local,1ST,18/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910269,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1807,Degerfors IF,Local,2ND,18/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910274,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1762,IF Elfsborg,Visita,ALL,24/02/2024,2,2,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910274,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1762,IF Elfsborg,Visita,1ST,24/02/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910274,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1762,IF Elfsborg,Visita,2ND,24/02/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910274,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 2",CUP,1766,Örgryte IS,Local,ALL,24/02/2024,2,3,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
