Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,ALL,04/03/2023,3,2,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,1ST,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1760,BK Häcken,Local,2ND,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,ALL,04/03/2023,3,1,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,1ST,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936501,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,2ND,04/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936516,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,ALL,18/02/2023,1,1,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936516,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,1ST,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936516,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1767,Halmstads BK,Visita,2ND,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936516,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1791,FC Trollhättan,Local,ALL,18/02/2023,1,0,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936516,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1791,FC Trollhättan,Local,1ST,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
