Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9286558,46,35307,CALENDAR,REGULAR,Round 1,LEAGUE,1772,Landskrona BoIS,Local,ALL,10/04/2021,1,2,42%,,,7,3,2,18,,,13,1,0,2,,5,,,,,,,,,2,,26,,,,,,,,,,,,,,,,3,,,,,8
9286558,46,35307,CALENDAR,REGULAR,Round 1,LEAGUE,1772,Landskrona BoIS,Local,1ST,10/04/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286558,46,35307,CALENDAR,REGULAR,Round 1,LEAGUE,1772,Landskrona BoIS,Local,2ND,10/04/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286558,46,35307,CALENDAR,REGULAR,Round 1,LEAGUE,1842,IFK Värnamo,Visita,ALL,10/04/2021,1,0,58%,,,5,1,7,11,,,20,2,0,3,,2,,,,,,,,,2,,25,,,,,,,,,,,,,,,,1,,,,,8
9286558,46,35307,CALENDAR,REGULAR,Round 1,LEAGUE,1842,IFK Värnamo,Visita,1ST,10/04/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286558,46,35307,CALENDAR,REGULAR,Round 1,LEAGUE,1842,IFK Värnamo,Visita,2ND,10/04/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286531,46,35307,CALENDAR,REGULAR,Round 2,LEAGUE,1781,Östers IF,Local,ALL,18/04/2021,2,1,54%,,,4,1,3,12,,,16,4,0,1,,3,,,,,,,,,,,15,,,,,,,,,,,,,,,,1,,,,,4
9286531,46,35307,CALENDAR,REGULAR,Round 2,LEAGUE,1781,Östers IF,Local,1ST,18/04/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286531,46,35307,CALENDAR,REGULAR,Round 2,LEAGUE,1781,Östers IF,Local,2ND,18/04/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286531,46,35307,CALENDAR,REGULAR,Round 2,LEAGUE,1772,Landskrona BoIS,Visita,ALL,18/04/2021,2,1,46%,,,2,0,6,16,,,12,1,0,2,,0,,,,,,,,,,,18,,,,,,,,,,,,,,,,0,,,,,6
9286531,46,35307,CALENDAR,REGULAR,Round 2,LEAGUE,1772,Landskrona BoIS,Visita,1ST,18/04/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286531,46,35307,CALENDAR,REGULAR,Round 2,LEAGUE,1772,Landskrona BoIS,Visita,2ND,18/04/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
