Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10097819,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1892,Malmö FF,Local,ALL,05/03/2022,3,2,54%,,,12,4,5,14,,,14,2,0,7,,5,,,,,,,,,4,,22,,,,,,,,,,,,,,,,4,,,,,4
10097819,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1892,Malmö FF,Local,1ST,05/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097819,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1892,Malmö FF,Local,2ND,05/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097819,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1842,IFK Värnamo,Visita,ALL,05/03/2022,3,0,46%,,,5,5,6,12,,,18,3,0,4,,1,,,,,,,,,2,,21,,,,,,,,,,,,,,,,5,,,,,9
10097819,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1842,IFK Värnamo,Visita,1ST,05/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097819,80,36975,NORMAL,GROUP,"Svenska Cupen, Group 1",CUP,1842,IFK Värnamo,Visita,2ND,05/03/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910305,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1842,IFK Värnamo,Local,ALL,18/02/2024,1,2,68%,2.99,,23,1,12,16,596,0,0,3,0,5,2,7,9,13,10,,,4,34,,0,519,18,,53/73 (73%),18/37 (48%),4/16 (25%),42%,6,46/121 (38%),17/28 (61%),11/18 (61%),,0,16,,10,0,1,,,1,,6
11910305,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1842,IFK Värnamo,Local,1ST,18/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910305,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1842,IFK Värnamo,Local,2ND,18/02/2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910305,80,51878,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1771,Trelleborgs FF,Visita,ALL,18/02/2024,1,0,32%,0.28,,5,4,4,15,279,0,1,4,1,1,0,4,0,4,1,,,0,6,,1,209,17,,13/27 (48%),26/43 (60%),0/8 (0%),34%,3,39/117 (33%),12/29 (41%),10/16 (63%),,0,23,,27,6,4,,,2,,13
