Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9699270,17101,37745,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,3000,União de Leiria,Local,ALL,17/09/2021,4,3,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699270,17101,37745,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,3000,União de Leiria,Local,1ST,17/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699270,17101,37745,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,3000,União de Leiria,Local,2ND,17/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699270,17101,37745,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,190328,FC Alverca,Visita,ALL,17/09/2021,4,0,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699270,17101,37745,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,190328,FC Alverca,Visita,1ST,17/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699270,17101,37745,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,190328,FC Alverca,Visita,2ND,17/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186874,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,190328,FC Alverca,Local,ALL,20/03/2022,1,2,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186874,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,190328,FC Alverca,Local,1ST,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186874,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,190328,FC Alverca,Local,2ND,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186874,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,25787,Torreense,Visita,ALL,20/03/2022,1,1,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186874,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,25787,Torreense,Visita,1ST,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186874,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,25787,Torreense,Visita,2ND,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186883,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,190328,FC Alverca,Local,ALL,01/04/2022,2,2,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186883,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,190328,FC Alverca,Local,1ST,01/04/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186883,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,190328,FC Alverca,Local,2ND,01/04/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186883,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Visita,ALL,01/04/2022,2,0,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186883,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Visita,1ST,01/04/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186883,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Visita,2ND,01/04/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186908,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,25787,Torreense,Local,ALL,15/04/2022,4,2,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186908,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,25787,Torreense,Local,1ST,15/04/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
