Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9605384,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,3294,FCV Farul Constanța,Visita,ALL,18/07/2021,1,0,39%,,,4,2,3,17,,,13,3,0,2,,2,0,,,,,,,,2,,24,,,,,,,,,,,,,,,,2,,,,,13
9605384,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,3294,FCV Farul Constanța,Visita,1ST,18/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605384,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,3294,FCV Farul Constanța,Visita,2ND,18/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605384,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,204657,UTA Arad,Local,ALL,18/07/2021,1,0,61%,,,12,2,8,13,,,19,1,0,2,,7,3,,,,,,,,0,,25,,,,,,,,,,,,,,,,2,,,,,5
9605384,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,204657,UTA Arad,Local,1ST,18/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605384,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,204657,UTA Arad,Local,2ND,18/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605396,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,116221,FC Argeș Pitești,Local,ALL,23/07/2021,2,0,63%,,,11,2,5,9,,,18,1,0,4,,6,1,,,,,,,,1,,32,,,,,,,,,,,,,,,,2,,,,,9
9605396,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,116221,FC Argeș Pitești,Local,1ST,23/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605396,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,116221,FC Argeș Pitești,Local,2ND,23/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605396,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,204657,UTA Arad,Visita,ALL,23/07/2021,2,1,37%,,,8,4,3,16,,,10,2,0,3,,5,0,,,,,,,,2,,36,,,,,,,,,,,,,,,,4,,,,,9
9605396,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,204657,UTA Arad,Visita,1ST,23/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605396,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,204657,UTA Arad,Visita,2ND,23/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611972,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,3301,FCSB,Visita,ALL,01/08/2021,3,1,58%,,,9,3,6,18,,,13,2,0,4,,4,1,,,,,,,,2,,31,,,,,,,,,,,,,,,,3,,,,,13
9611972,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,3301,FCSB,Visita,1ST,01/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611972,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,3301,FCSB,Visita,2ND,01/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611972,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,204657,UTA Arad,Local,ALL,01/08/2021,3,1,42%,,,12,3,5,13,,,20,1,0,4,,7,1,,,,,,,,0,,22,,,,,,,,,,,,,,,,3,,,,,12
9611972,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,204657,UTA Arad,Local,1ST,01/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611972,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,204657,UTA Arad,Local,2ND,01/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617204,152,37234,NORMAL,REGULAR,Round 4,LEAGUE,24798,FC Botoșani,Local,ALL,06/08/2021,4,2,53%,,,13,3,4,16,,,18,2,0,4,,8,1,,,,,,,,1,,33,,,,,,,,,,,,,,,,3,,,,,5
9617204,152,37234,NORMAL,REGULAR,Round 4,LEAGUE,24798,FC Botoșani,Local,1ST,06/08/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617204,152,37234,NORMAL,REGULAR,Round 4,LEAGUE,24798,FC Botoșani,Local,2ND,06/08/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617204,152,37234,NORMAL,REGULAR,Round 4,LEAGUE,204657,UTA Arad,Visita,ALL,06/08/2021,4,1,47%,,,8,2,3,15,,,17,4,0,4,,4,0,,,,,,,,3,,32,,,,,,,,,,,,,,,,2,,,,,11
