Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9593008,135,37159,NORMAL,REGULAR,Round 1,LEAGUE,2062,SC Austria Lustenau,Local,ALL,25/07/2021,1,2,43%,,,8,6,5,14,,,18,4,0,4,,4,,,,,,,,,2,,19,,,,,,,,,,,,,,,,6,,,,,9
9593008,135,37159,NORMAL,REGULAR,Round 1,LEAGUE,2062,SC Austria Lustenau,Local,1ST,25/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593008,135,37159,NORMAL,REGULAR,Round 1,LEAGUE,2062,SC Austria Lustenau,Local,2ND,25/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593008,135,37159,NORMAL,REGULAR,Round 1,LEAGUE,2052,Grazer AK 1902,Visita,ALL,25/07/2021,1,1,57%,,,14,2,5,15,,,16,4,1,7,,7,,,,,,,,,3,,25,,,,,,,,,,,,,,,,2,,,,,8
9593008,135,37159,NORMAL,REGULAR,Round 1,LEAGUE,2052,Grazer AK 1902,Visita,1ST,25/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593008,135,37159,NORMAL,REGULAR,Round 1,LEAGUE,2052,Grazer AK 1902,Visita,2ND,25/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593018,135,37159,NORMAL,REGULAR,Round 2,LEAGUE,2052,Grazer AK 1902,Local,ALL,30/07/2021,2,1,55%,,,5,0,5,18,,,19,3,0,2,,3,,,,,,,,,4,,17,,,,,,,,,,,,,,,,0,,,,,9
9593018,135,37159,NORMAL,REGULAR,Round 2,LEAGUE,2052,Grazer AK 1902,Local,1ST,30/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593018,135,37159,NORMAL,REGULAR,Round 2,LEAGUE,2052,Grazer AK 1902,Local,2ND,30/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593018,135,37159,NORMAL,REGULAR,Round 2,LEAGUE,2111,SV Horn,Visita,ALL,30/07/2021,2,1,45%,,,6,1,6,18,,,22,3,0,1,,5,,,,,,,,,1,,19,,,,,,,,,,,,,,,,1,,,,,9
9593018,135,37159,NORMAL,REGULAR,Round 2,LEAGUE,2111,SV Horn,Visita,1ST,30/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593018,135,37159,NORMAL,REGULAR,Round 2,LEAGUE,2111,SV Horn,Visita,2ND,30/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592993,135,37159,NORMAL,REGULAR,Round 3,LEAGUE,2108,Young Violets Austria Wien,Local,ALL,06/08/2021,3,0,40%,,,10,1,1,16,,,20,4,0,2,,8,,,,,,,,,0,,23,,,,,,,,,,,,,,,,1,,,,,9
9592993,135,37159,NORMAL,REGULAR,Round 3,LEAGUE,2108,Young Violets Austria Wien,Local,1ST,06/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592993,135,37159,NORMAL,REGULAR,Round 3,LEAGUE,2108,Young Violets Austria Wien,Local,2ND,06/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592993,135,37159,NORMAL,REGULAR,Round 3,LEAGUE,2052,Grazer AK 1902,Visita,ALL,06/08/2021,3,0,60%,,,7,2,6,17,,,16,3,0,1,,6,,,,,,,,,3,,29,,,,,,,,,,,,,,,,2,,,,,16
9592993,135,37159,NORMAL,REGULAR,Round 3,LEAGUE,2052,Grazer AK 1902,Visita,1ST,06/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592993,135,37159,NORMAL,REGULAR,Round 3,LEAGUE,2052,Grazer AK 1902,Visita,2ND,06/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592777,135,37159,NORMAL,REGULAR,Round 4,LEAGUE,2052,Grazer AK 1902,Local,ALL,13/08/2021,4,5,55%,,,17,1,7,16,,,12,2,0,9,,8,,,,,,,,,0,,15,,,,,,,,,,,,,,,,1,,,,,6
