Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9590681,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2055,SK Rapid Wien,Local,ALL,20/07/2021,2,2,55%,0.00,1,15,2,5,16,400,16,16,4,,6,0,6,3,9,6,1,0,,,4,3,292,28,65,,37/66 (56%),9/29 (31%),46%,15,33/78 (42%),23/43 (53%),1/8 (13%),56%,16,12,,16,,2,,,,,8
9590681,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2055,SK Rapid Wien,Local,1ST,20/07/2021,2,0,57%,0.00,0,6,2,3,,229,9,6,3,,2,0,2,2,2,4,0,0,,,1,1,163,16,41,,14/30 (47%),2/12 (17%),41%,12,16/48 (33%),12/21 (57%),1/3 (33%),56%,9,6,,8,,2,,,,,2
9590681,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2055,SK Rapid Wien,Local,2ND,20/07/2021,2,2,52%,0.00,1,9,0,2,,171,7,10,1,,4,0,4,1,7,2,1,0,,,3,2,129,12,24,,23/36 (64%),7/17 (41%),54%,3,17/30 (57%),11/22 (50%),0/5 (0%),57%,7,6,,8,,0,,,,,6
9590681,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2218,AC Sparta Praha,Visita,ALL,20/07/2021,2,1,45%,0.00,3,11,4,2,18,334,22,16,2,,3,0,4,4,8,3,1,2,,,1,5,223,24,57,,40/81 (49%),4/17 (24%),54%,7,45/78 (58%),20/43 (47%),8/17 (47%),86%,22,12,,25,,4,,,,,6
9590681,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2218,AC Sparta Praha,Visita,1ST,20/07/2021,2,1,43%,0.00,3,5,2,1,,170,14,10,1,,3,0,0,2,4,1,1,2,,,1,4,109,10,27,,16/39 (41%),1/7 (14%),59%,6,32/48 (67%),9/21 (43%),8/11 (73%),86%,14,8,,14,,2,,,,,4
9590681,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2218,AC Sparta Praha,Visita,2ND,20/07/2021,2,0,48%,0.00,0,6,2,1,,164,8,6,1,,0,0,4,2,4,2,0,0,,,0,1,114,14,30,,24/42 (57%),3/10 (30%),46%,1,13/30 (43%),11/22 (50%),0/6 (0%),88%,8,4,,11,,2,,,,,2
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2055,SK Rapid Wien,Local,ALL,24/07/2021,1,0,59%,0.00,0,19,4,10,10,393,18,11,0,,4,0,11,4,12,7,0,0,0,,6,4,276,43,62,,33/65 (51%),10/39 (26%),49%,17,36/83 (43%),33/57 (58%),7/19 (37%),67%,18,4,,24,,4,,,,,5
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2055,SK Rapid Wien,Local,1ST,24/07/2021,1,0,53%,0.00,0,9,2,6,,175,8,6,0,,1,0,5,3,5,4,0,0,0,,2,1,116,23,25,,19/31 (61%),7/16 (44%),47%,8,18/46 (39%),19/32 (59%),4/13 (31%),63%,8,1,,18,,2,,,,,4
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2055,SK Rapid Wien,Local,2ND,24/07/2021,1,0,65%,0.00,0,10,2,4,,218,10,5,0,,3,0,6,1,7,3,0,0,0,,4,3,160,20,37,,14/34 (41%),3/23 (13%),52%,9,18/37 (49%),14/25 (56%),3/6 (50%),70%,10,3,,6,,2,,,,,1
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2075,TSV Hartberg,Visita,ALL,24/07/2021,1,2,41%,0.00,5,14,4,4,12,286,29,9,2,,6,0,5,3,9,5,2,3,2,,3,1,159,26,69,,26/94 (28%),6/16 (38%),51%,13,47/83 (57%),24/57 (42%),9/14 (64%),52%,29,15,,26,,4,,,,,19
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2075,TSV Hartberg,Visita,1ST,24/07/2021,1,1,47%,0.00,2,9,1,2,,163,17,5,1,,3,0,4,2,5,4,1,1,1,,1,0,107,17,39,,16/41 (39%),4/11 (36%),53%,6,28/46 (61%),13/32 (41%),6/8 (75%),65%,17,7,,14,,1,,,,,9
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2075,TSV Hartberg,Visita,2ND,24/07/2021,1,1,35%,0.00,3,5,3,2,,123,12,4,1,,3,0,1,1,4,1,1,2,1,,2,1,52,9,30,,10/53 (19%),2/5 (40%),48%,7,19/37 (51%),11/25 (44%),3/6 (50%),33%,12,8,,12,,3,,,,,10
9590684,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,2218,AC Sparta Praha,Local,ALL,28/07/2021,2,2,59%,0.00,2,11,1,3,18,463,13,14,2,,3,1,4,4,6,5,1,1,,,1,3,329,40,58,,37/90 (41%),4/15 (27%),50%,9,40/83 (48%),27/51 (53%),13/22 (59%),77%,13,17,,19,,1,,,,,8
