Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9587572,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,4856,SCR Altach,Local,ALL,24/07/2021,1,0,45%,0.00,1,5,2,1,16,324,26,22,5,,2,0,3,0,2,3,,1,2,,3,2,190,31,94,,36/81 (44%),1/14 (7%),57%,9,56/99 (57%),28/49 (57%),8/16 (50%),46%,26,18,,24,,2,,,,,14
9587572,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,4856,SCR Altach,Local,1ST,24/07/2021,1,0,40%,0.00,1,3,0,0,,151,12,8,1,,2,0,1,0,1,2,,1,1,,1,2,92,18,49,,18/39 (46%),0/5 (0%),60%,8,23/44 (52%),15/19 (79%),3/5 (60%),58%,12,8,,11,,0,,,,,8
9587572,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,4856,SCR Altach,Local,2ND,24/07/2021,1,0,51%,0.00,0,2,2,1,,173,14,14,4,,0,0,2,0,1,1,,0,1,,2,0,98,13,45,,18/42 (43%),1/9 (11%),54%,1,33/55 (60%),13/30 (43%),5/11 (45%),36%,14,10,,13,,2,,,,,6
9587572,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2058,LASK,Visita,ALL,24/07/2021,1,1,55%,0.00,5,22,2,10,22,389,17,15,1,,3,0,13,6,16,6,,5,2,,2,5,276,21,70,,37/81 (46%),5/16 (31%),43%,10,43/99 (43%),21/49 (43%),11/27 (41%),65%,17,8,,15,,2,,,,,5
9587572,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2058,LASK,Visita,1ST,24/07/2021,1,1,60%,0.00,2,9,2,6,,225,10,8,0,,1,0,5,3,6,3,,2,1,,1,1,170,11,40,,21/44 (48%),1/7 (14%),40%,5,21/44 (48%),4/19 (21%),3/10 (30%),70%,10,2,,6,,2,,,,,1
9587572,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2058,LASK,Visita,2ND,24/07/2021,1,0,49%,0.00,3,13,0,4,,164,7,7,1,,2,0,8,3,10,3,,3,1,,1,4,106,10,30,,16/37 (43%),4/9 (44%),46%,5,22/55 (40%),17/30 (57%),8/17 (47%),57%,7,6,,9,,0,,,,,4
9587519,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2058,LASK,Local,ALL,31/07/2021,2,1,55%,0.00,1,13,2,5,7,373,17,15,1,,5,0,5,3,4,9,1,0,0,,4,2,239,40,94,,34/85 (40%),2/25 (8%),53%,14,48/81 (59%),21/49 (43%),16/24 (67%),59%,17,5,,15,,2,,,,,5
9587519,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2058,LASK,Local,1ST,31/07/2021,2,0,54%,0.00,0,5,0,3,,193,6,8,0,,1,0,3,1,1,4,0,0,0,,2,1,126,19,45,,16/43 (37%),1/10 (10%),58%,9,23/40 (57%),14/24 (58%),9/13 (69%),83%,6,2,,9,,0,,,,,2
9587519,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2058,LASK,Local,2ND,31/07/2021,2,1,57%,0.00,1,8,2,2,,180,11,7,1,,4,0,2,2,3,5,1,0,0,,2,1,113,21,49,,18/42 (43%),1/15 (7%),48%,5,25/41 (61%),7/25 (28%),7/11 (64%),45%,11,3,,6,,2,,,,,3
9587519,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2055,SK Rapid Wien,Visita,ALL,31/07/2021,2,1,45%,0.00,2,9,4,4,15,308,22,7,3,,3,1,4,2,8,1,1,1,3,,1,2,167,25,61,,30/94 (32%),2/8 (25%),47%,14,33/81 (41%),28/49 (57%),4/7 (57%),73%,22,20,,35,,4,,,,,15
