Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9627266,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,207129,UD Vilafranquense,Local,ALL,09/08/2021,1,0,40%,,,6,2,4,30,,,20,3,0,1,,5,,,,,,,,,2,,24,,,,,,,,,,,,,,,,2,,,,,6
9627266,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,207129,UD Vilafranquense,Local,1ST,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627266,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,207129,UD Vilafranquense,Local,2ND,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627266,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3017,Penafiel,Visita,ALL,09/08/2021,1,1,60%,,,6,1,5,20,,,32,4,0,3,,3,,,,,,,,,0,,27,,,,,,,,,,,,,,,,1,,,,,7
9627266,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3017,Penafiel,Visita,1ST,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627266,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3017,Penafiel,Visita,2ND,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3013,CD Nacional,Local,ALL,15/08/2021,2,4,60%,,,13,1,10,8,,,10,2,0,7,,6,,,,,,,,,0,,21,,,,,,,,,,,,,,,,1,,,,,5
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3013,CD Nacional,Local,1ST,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3013,CD Nacional,Local,2ND,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,207129,UD Vilafranquense,Visita,ALL,15/08/2021,2,0,40%,,,2,4,2,9,,,8,1,2,1,,1,,,,,,,,,1,,23,,,,,,,,,,,,,,,,4,,,,,14
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,207129,UD Vilafranquense,Visita,1ST,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,207129,UD Vilafranquense,Visita,2ND,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627284,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,207129,UD Vilafranquense,Local,ALL,23/08/2021,3,1,48%,,,8,4,4,16,,,11,2,0,2,,6,,,,,,,,,2,,20,,,,,,,,,,,,,,,,4,,,,,12
9627284,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,207129,UD Vilafranquense,Local,1ST,23/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627284,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,207129,UD Vilafranquense,Local,2ND,23/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627284,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,3037,SC Covilhã,Visita,ALL,23/08/2021,3,1,52%,,,13,1,3,10,,,18,0,0,5,,8,,,,,,,,,1,,26,,,,,,,,,,,,,,,,1,,,,,10
9627284,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,3037,SC Covilhã,Visita,1ST,23/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627284,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,3037,SC Covilhã,Visita,2ND,23/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627292,239,37424,NORMAL,REGULAR,Round 4,LEAGUE,38744,CD Mafra,Local,ALL,30/08/2021,4,1,51%,,,6,7,5,14,,,21,3,0,3,,3,,,,,,,,,1,,25,,,,,,,,,,,,,,,,7,,,,,9
9627292,239,37424,NORMAL,REGULAR,Round 4,LEAGUE,38744,CD Mafra,Local,1ST,30/08/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627292,239,37424,NORMAL,REGULAR,Round 4,LEAGUE,38744,CD Mafra,Local,2ND,30/08/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627292,239,37424,NORMAL,REGULAR,Round 4,LEAGUE,207129,UD Vilafranquense,Visita,ALL,30/08/2021,4,0,49%,,,5,2,2,18,,,15,3,0,4,,1,,,,,,,,,3,,37,,,,,,,,,,,,,,,,2,,,,,8
9627292,239,37424,NORMAL,REGULAR,Round 4,LEAGUE,207129,UD Vilafranquense,Visita,1ST,30/08/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627292,239,37424,NORMAL,REGULAR,Round 4,LEAGUE,207129,UD Vilafranquense,Visita,2ND,30/08/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627301,239,37424,NORMAL,REGULAR,Round 5,LEAGUE,207129,UD Vilafranquense,Local,ALL,12/09/2021,5,1,41%,,,7,2,5,19,,,16,3,0,6,,1,,,,,,,,,1,,15,,,,,,,,,,,,,,,,2,,,,,14
9627301,239,37424,NORMAL,REGULAR,Round 5,LEAGUE,207129,UD Vilafranquense,Local,1ST,12/09/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627301,239,37424,NORMAL,REGULAR,Round 5,LEAGUE,207129,UD Vilafranquense,Local,2ND,12/09/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627301,239,37424,NORMAL,REGULAR,Round 5,LEAGUE,3025,Chaves,Visita,ALL,12/09/2021,5,1,59%,,,10,5,8,14,,,20,4,0,3,,7,,,,,,,,,2,,28,,,,,,,,,,,,,,,,5,,,,,6
9627301,239,37424,NORMAL,REGULAR,Round 5,LEAGUE,3025,Chaves,Visita,1ST,12/09/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627301,239,37424,NORMAL,REGULAR,Round 5,LEAGUE,3025,Chaves,Visita,2ND,12/09/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627307,239,37424,NORMAL,REGULAR,Round 6,LEAGUE,3015,Académica Coimbra,Local,ALL,20/09/2021,6,1,53%,,,10,0,8,22,,,24,4,1,3,,7,,,,,,,,,3,,35,,,,,,,,,,,,,,,,0,,,,,3
9627307,239,37424,NORMAL,REGULAR,Round 6,LEAGUE,3015,Académica Coimbra,Local,1ST,20/09/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627307,239,37424,NORMAL,REGULAR,Round 6,LEAGUE,3015,Académica Coimbra,Local,2ND,20/09/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627307,239,37424,NORMAL,REGULAR,Round 6,LEAGUE,207129,UD Vilafranquense,Visita,ALL,20/09/2021,6,2,47%,,,3,2,1,20,,,25,5,1,2,,1,,,,,,,,,4,,21,,,,,,,,,,,,,,,,2,,,,,12
9627307,239,37424,NORMAL,REGULAR,Round 6,LEAGUE,207129,UD Vilafranquense,Visita,1ST,20/09/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627307,239,37424,NORMAL,REGULAR,Round 6,LEAGUE,207129,UD Vilafranquense,Visita,2ND,20/09/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627319,239,37424,NORMAL,REGULAR,Round 7,LEAGUE,207129,UD Vilafranquense,Local,ALL,03/10/2021,7,2,,,,,,10,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627319,239,37424,NORMAL,REGULAR,Round 7,LEAGUE,207129,UD Vilafranquense,Local,1ST,03/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627319,239,37424,NORMAL,REGULAR,Round 7,LEAGUE,207129,UD Vilafranquense,Local,2ND,03/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627319,239,37424,NORMAL,REGULAR,Round 7,LEAGUE,2998,SC Farense,Visita,ALL,03/10/2021,7,2,,,,,,5,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627319,239,37424,NORMAL,REGULAR,Round 7,LEAGUE,2998,SC Farense,Visita,1ST,03/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627319,239,37424,NORMAL,REGULAR,Round 7,LEAGUE,2998,SC Farense,Visita,2ND,03/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627322,239,37424,NORMAL,REGULAR,Round 8,LEAGUE,3036,Rio Ave,Local,ALL,10/10/2021,8,2,61%,,,14,0,7,12,,,24,2,0,7,,7,,,,,,,,,1,,23,,,,,,,,,,,,,,,,0,,,,,8
9627322,239,37424,NORMAL,REGULAR,Round 8,LEAGUE,3036,Rio Ave,Local,1ST,10/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627322,239,37424,NORMAL,REGULAR,Round 8,LEAGUE,3036,Rio Ave,Local,2ND,10/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627322,239,37424,NORMAL,REGULAR,Round 8,LEAGUE,207129,UD Vilafranquense,Visita,ALL,10/10/2021,8,1,39%,,,6,5,0,22,,,13,4,0,1,,5,,,,,,,,,2,,23,,,,,,,,,,,,,,,,5,,,,,13
9627322,239,37424,NORMAL,REGULAR,Round 8,LEAGUE,207129,UD Vilafranquense,Visita,1ST,10/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627322,239,37424,NORMAL,REGULAR,Round 8,LEAGUE,207129,UD Vilafranquense,Visita,2ND,10/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627338,239,37424,NORMAL,REGULAR,Round 9,LEAGUE,207129,UD Vilafranquense,Local,ALL,22/10/2021,9,1,57%,,,4,1,8,18,,,19,3,0,4,,0,,,,,,,,,2,,27,,,,,,,,,,,,,,,,1,,,,,9
9627338,239,37424,NORMAL,REGULAR,Round 9,LEAGUE,207129,UD Vilafranquense,Local,1ST,22/10/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627338,239,37424,NORMAL,REGULAR,Round 9,LEAGUE,207129,UD Vilafranquense,Local,2ND,22/10/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627338,239,37424,NORMAL,REGULAR,Round 9,LEAGUE,3018,Leixões SC,Visita,ALL,22/10/2021,9,3,43%,,,9,3,3,19,,,20,3,0,4,,5,,,,,,,,,0,,22,,,,,,,,,,,,,,,,3,,,,,10
9627338,239,37424,NORMAL,REGULAR,Round 9,LEAGUE,3018,Leixões SC,Visita,1ST,22/10/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627338,239,37424,NORMAL,REGULAR,Round 9,LEAGUE,3018,Leixões SC,Visita,2ND,22/10/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627347,239,37424,NORMAL,REGULAR,Round 10,LEAGUE,3005,Varzim SC,Local,ALL,31/10/2021,10,0,46%,,,8,5,5,18,,,28,6,0,1,,7,,,,,,,,,2,,30,,,,,,,,,,,,,,,,5,,,,,5
9627347,239,37424,NORMAL,REGULAR,Round 10,LEAGUE,3005,Varzim SC,Local,1ST,31/10/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627347,239,37424,NORMAL,REGULAR,Round 10,LEAGUE,3005,Varzim SC,Local,2ND,31/10/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627347,239,37424,NORMAL,REGULAR,Round 10,LEAGUE,207129,UD Vilafranquense,Visita,ALL,31/10/2021,10,2,54%,,,11,1,1,24,,,20,5,0,7,,4,,,,,,,,,4,,18,,,,,,,,,,,,,,,,1,,,,,14
9627347,239,37424,NORMAL,REGULAR,Round 10,LEAGUE,207129,UD Vilafranquense,Visita,1ST,31/10/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627347,239,37424,NORMAL,REGULAR,Round 10,LEAGUE,207129,UD Vilafranquense,Visita,2ND,31/10/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627356,239,37424,NORMAL,REGULAR,Round 11,LEAGUE,207129,UD Vilafranquense,Local,ALL,05/11/2021,11,2,40%,,,9,5,2,16,,,17,4,0,5,,4,,,,,,,,,2,,18,,,,,,,,,,,,,,,,5,,,,,7
9627356,239,37424,NORMAL,REGULAR,Round 11,LEAGUE,207129,UD Vilafranquense,Local,1ST,05/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627356,239,37424,NORMAL,REGULAR,Round 11,LEAGUE,207129,UD Vilafranquense,Local,2ND,05/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627356,239,37424,NORMAL,REGULAR,Round 11,LEAGUE,3035,CF Estrela Amadora,Visita,ALL,05/11/2021,11,2,60%,,,12,4,7,17,,,18,3,1,7,,5,,,,,,,,,0,,23,,,,,,,,,,,,,,,,4,,,,,10
9627356,239,37424,NORMAL,REGULAR,Round 11,LEAGUE,3035,CF Estrela Amadora,Visita,1ST,05/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627356,239,37424,NORMAL,REGULAR,Round 11,LEAGUE,3035,CF Estrela Amadora,Visita,2ND,05/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627364,239,37424,NORMAL,REGULAR,Round 12,LEAGUE,3022,Académico Viseu FC,Local,ALL,27/11/2021,12,0,56%,,,7,2,5,16,,,26,4,0,4,,3,,,,,,,,,1,,21,,,,,,,,,,,,,,,,2,,,,,4
9627364,239,37424,NORMAL,REGULAR,Round 12,LEAGUE,3022,Académico Viseu FC,Local,1ST,27/11/2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627364,239,37424,NORMAL,REGULAR,Round 12,LEAGUE,3022,Académico Viseu FC,Local,2ND,27/11/2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627364,239,37424,NORMAL,REGULAR,Round 12,LEAGUE,207129,UD Vilafranquense,Visita,ALL,27/11/2021,12,0,44%,,,5,4,6,22,,,17,3,0,2,,3,,,,,,,,,4,,25,,,,,,,,,,,,,,,,4,,,,,6
