Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2055,SK Rapid Wien,Local,ALL,24/07/2021,1,0,59%,0.00,0,19,4,10,10,393,18,11,0,,4,0,11,4,12,7,0,0,0,,6,4,276,43,62,,33/65 (51%),10/39 (26%),49%,17,36/83 (43%),33/57 (58%),7/19 (37%),67%,18,4,,24,,4,,,,,5
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2055,SK Rapid Wien,Local,1ST,24/07/2021,1,0,53%,0.00,0,9,2,6,,175,8,6,0,,1,0,5,3,5,4,0,0,0,,2,1,116,23,25,,19/31 (61%),7/16 (44%),47%,8,18/46 (39%),19/32 (59%),4/13 (31%),63%,8,1,,18,,2,,,,,4
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2055,SK Rapid Wien,Local,2ND,24/07/2021,1,0,65%,0.00,0,10,2,4,,218,10,5,0,,3,0,6,1,7,3,0,0,0,,4,3,160,20,37,,14/34 (41%),3/23 (13%),52%,9,18/37 (49%),14/25 (56%),3/6 (50%),70%,10,3,,6,,2,,,,,1
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2075,TSV Hartberg,Visita,ALL,24/07/2021,1,2,41%,0.00,5,14,4,4,12,286,29,9,2,,6,0,5,3,9,5,2,3,2,,3,1,159,26,69,,26/94 (28%),6/16 (38%),51%,13,47/83 (57%),24/57 (42%),9/14 (64%),52%,29,15,,26,,4,,,,,19
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2075,TSV Hartberg,Visita,1ST,24/07/2021,1,1,47%,0.00,2,9,1,2,,163,17,5,1,,3,0,4,2,5,4,1,1,1,,1,0,107,17,39,,16/41 (39%),4/11 (36%),53%,6,28/46 (61%),13/32 (41%),6/8 (75%),65%,17,7,,14,,1,,,,,9
9587539,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2075,TSV Hartberg,Visita,2ND,24/07/2021,1,1,35%,0.00,3,5,3,2,,123,12,4,1,,3,0,1,1,4,1,1,2,1,,2,1,52,9,30,,10/53 (19%),2/5 (40%),48%,7,19/37 (51%),11/25 (44%),3/6 (50%),33%,12,8,,12,,3,,,,,10
9587540,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2075,TSV Hartberg,Local,ALL,31/07/2021,2,1,70%,0.00,2,16,3,8,9,582,17,13,1,,5,0,6,5,10,6,1,1,,,5,1,480,24,79,,28/63 (44%),7/30 (23%),51%,14,49/87 (56%),10/29 (34%),19/24 (79%),65%,17,12,,11,,3,,,,,4
9587540,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2075,TSV Hartberg,Local,1ST,31/07/2021,2,0,68%,0.00,1,4,0,1,,297,10,5,0,,2,0,0,2,2,2,0,1,,,1,0,246,10,36,,19/36 (53%),2/12 (17%),53%,7,25/48 (52%),5/9 (56%),10/13 (77%),70%,10,6,,7,,0,,,,,3
9587540,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2075,TSV Hartberg,Local,2ND,31/07/2021,2,1,73%,0.00,1,12,3,7,,285,7,8,1,,3,0,6,3,8,4,1,0,,,4,1,234,14,43,,9/27 (33%),5/18 (28%),49%,7,24/39 (62%),5/20 (25%),9/11 (82%),57%,7,6,,4,,3,,,,,1
9587540,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,4856,SCR Altach,Visita,ALL,31/07/2021,2,2,30%,0.00,2,9,4,2,16,249,19,9,5,,5,0,3,1,6,3,1,1,,,1,1,156,17,54,,21/58 (36%),5/12 (42%),49%,9,38/87 (44%),19/29 (66%),10/18 (56%),79%,19,21,,39,,4,,,,,10
9587540,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,4856,SCR Altach,Visita,1ST,31/07/2021,2,2,32%,0.00,1,4,2,2,,139,10,6,1,,2,0,2,0,3,1,1,0,,,1,0,91,13,29,,8/29 (28%),4/8 (50%),47%,6,23/48 (48%),4/9 (44%),7/11 (64%),80%,10,10,,13,,2,,,,,2
9587540,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,4856,SCR Altach,Visita,2ND,31/07/2021,2,0,27%,0.00,1,5,2,0,,110,9,3,4,,3,0,1,1,3,2,0,1,,,0,1,65,4,25,,13/29 (45%),1/4 (25%),51%,3,15/39 (38%),15/20 (75%),3/7 (43%),78%,9,11,,26,,2,,,,,8
9587522,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,43254,Austria Klagenfurt,Local,ALL,07/08/2021,3,4,39%,0.00,6,16,1,3,12,303,25,13,2,,9,1,3,4,10,6,4,2,3,,2,3,198,30,56,,26/68 (38%),4/17 (24%),53%,7,44/81 (54%),15/30 (50%),6/16 (38%),44%,25,20,,21,,1,,,,,9
9587522,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,43254,Austria Klagenfurt,Local,1ST,07/08/2021,3,2,39%,0.00,4,8,0,1,,163,9,9,0,,6,1,2,0,4,4,2,2,2,,1,2,103,18,37,,13/43 (30%),1/5 (20%),59%,2,21/31 (68%),9/20 (45%),3/7 (43%),22%,9,9,,8,,0,,,,,5
9587522,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,43254,Austria Klagenfurt,Local,2ND,07/08/2021,3,2,38%,0.00,2,8,1,2,,140,16,4,2,,3,0,1,4,6,2,2,0,1,,1,1,95,12,19,,13/25 (52%),3/12 (25%),48%,5,23/50 (46%),6/10 (60%),3/9 (33%),56%,16,11,,13,,1,,,,,4
9587522,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2075,TSV Hartberg,Visita,ALL,07/08/2021,3,3,61%,0.00,2,10,5,4,13,486,17,12,3,,4,0,2,4,5,5,1,1,0,,3,1,375,31,75,,21/61 (34%),5/24 (21%),47%,15,37/81 (46%),15/30 (50%),8/18 (44%),82%,17,14,,15,,5,,,,,9
9587522,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2075,TSV Hartberg,Visita,1ST,07/08/2021,3,1,61%,0.00,1,3,4,3,,252,6,4,1,,1,0,0,2,2,1,1,0,0,,1,1,193,13,37,,15/38 (39%),2/11 (18%),41%,7,10/31 (32%),11/20 (55%),0/2 (0%),67%,6,6,,6,,4,,,,,5
9587522,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2075,TSV Hartberg,Visita,2ND,07/08/2021,3,2,62%,0.00,1,7,1,1,,234,11,8,2,,3,0,2,2,3,4,0,1,0,,2,0,182,18,38,,6/23 (26%),3/13 (23%),52%,8,27/50 (54%),4/10 (40%),8/16 (50%),91%,11,8,,9,,1,,,,,4
9587517,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2075,TSV Hartberg,Local,ALL,14/08/2021,4,1,55%,0.00,2,16,1,5,14,408,7,5,4,,3,1,6,7,7,9,1,1,2,,4,2,305,30,64,,31/72 (43%),3/20 (15%),51%,5,25/50 (50%),18/35 (51%),13/16 (81%),71%,7,11,,24,,1,,,,,8
9587517,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2075,TSV Hartberg,Local,1ST,14/08/2021,4,0,52%,0.00,0,6,1,3,,204,3,2,1,,0,0,2,4,2,4,0,0,0,,2,1,143,16,32,,12/34 (35%),2/13 (15%),59%,0,10/21 (48%),12/16 (75%),5/6 (83%),67%,3,6,,5,,1,,,,,3
9587517,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2075,TSV Hartberg,Local,2ND,14/08/2021,4,1,59%,0.00,2,10,0,2,,204,4,3,3,,3,1,4,3,5,5,1,1,2,,2,1,162,14,32,,19/38 (50%),1/7 (14%),44%,5,15/29 (52%),6/19 (32%),8/10 (80%),75%,4,5,,19,,0,,,,,5
9587517,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2049,SV Ried,Visita,ALL,14/08/2021,4,1,45%,0.00,2,11,2,6,7,330,8,13,1,,2,0,6,3,7,4,1,1,0,,3,1,236,26,49,,18/63 (29%),7/17 (41%),49%,3,25/50 (50%),17/35 (49%),4/8 (50%),88%,8,20,,28,,2,,,,,9
