Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10211013,10297,41004,APERTURA,REGULAR,Round 7,LEAGUE,213609,Comerciantes Unidos,Local,ALL,14/05/2022,7,4,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211013,10297,41004,APERTURA,REGULAR,Round 7,LEAGUE,213609,Comerciantes Unidos,Local,1ST,14/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211013,10297,41004,APERTURA,REGULAR,Round 7,LEAGUE,213609,Comerciantes Unidos,Local,2ND,14/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211013,10297,41004,APERTURA,REGULAR,Round 7,LEAGUE,252265,Deportivo Coopsol,Visita,ALL,14/05/2022,7,1,,,,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211013,10297,41004,APERTURA,REGULAR,Round 7,LEAGUE,252265,Deportivo Coopsol,Visita,1ST,14/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211013,10297,41004,APERTURA,REGULAR,Round 7,LEAGUE,252265,Deportivo Coopsol,Visita,2ND,14/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211011,10297,41004,APERTURA,REGULAR,Round 8,LEAGUE,5284,Unión Huaral,Local,ALL,22/05/2022,8,1,,,,,,2,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211011,10297,41004,APERTURA,REGULAR,Round 8,LEAGUE,5284,Unión Huaral,Local,1ST,22/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211011,10297,41004,APERTURA,REGULAR,Round 8,LEAGUE,5284,Unión Huaral,Local,2ND,22/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211011,10297,41004,APERTURA,REGULAR,Round 8,LEAGUE,213609,Comerciantes Unidos,Visita,ALL,22/05/2022,8,1,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211011,10297,41004,APERTURA,REGULAR,Round 8,LEAGUE,213609,Comerciantes Unidos,Visita,1ST,22/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211011,10297,41004,APERTURA,REGULAR,Round 8,LEAGUE,213609,Comerciantes Unidos,Visita,2ND,22/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211035,10297,41004,APERTURA,REGULAR,Round 10,LEAGUE,306660,Alianza Universidad,Local,ALL,04/06/2022,10,1,,,,,,7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211035,10297,41004,APERTURA,REGULAR,Round 10,LEAGUE,306660,Alianza Universidad,Local,1ST,04/06/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211035,10297,41004,APERTURA,REGULAR,Round 10,LEAGUE,306660,Alianza Universidad,Local,2ND,04/06/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211035,10297,41004,APERTURA,REGULAR,Round 10,LEAGUE,213609,Comerciantes Unidos,Visita,ALL,04/06/2022,10,2,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
