Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9587574,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2049,SV Ried,Local,ALL,25/07/2021,1,2,28%,0.00,3,7,3,3,5,255,5,6,,,4,0,3,0,5,2,1,2,2,,2,2,178,22,50,,23/56 (41%),3/9 (33%),46%,8,14/35 (40%),17/33 (52%),3/11 (27%),80%,5,13,,36,,3,,,,,9
9587574,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2049,SV Ried,Local,1ST,25/07/2021,1,0,31%,0.00,1,1,1,0,,162,3,2,,,1,0,0,0,1,0,0,1,0,,0,1,121,11,24,,14/29 (48%),1/3 (33%),44%,5,6/19 (32%),10/17 (59%),1/7 (14%),67%,3,4,,17,,1,,,,,5
9587574,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2049,SV Ried,Local,2ND,25/07/2021,1,2,24%,0.00,2,6,2,3,,93,2,4,,,3,0,3,0,4,2,1,1,2,,2,1,57,11,26,,9/27 (33%),2/6 (33%),47%,3,8/16 (50%),7/16 (44%),2/4 (50%),100%,2,9,,19,,2,,,,,4
9587574,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2203,FK Austria Wien,Visita,ALL,25/07/2021,1,1,72%,0.00,1,11,2,7,6,653,16,5,,,4,0,4,3,4,7,1,0,1,,2,2,556,29,76,,58/79 (73%),5/33 (15%),54%,1,21/35 (60%),16/33 (48%),0/4 (0%),50%,16,7,,11,,2,,,,,7
9587574,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2203,FK Austria Wien,Visita,1ST,25/07/2021,1,0,69%,0.00,0,4,1,3,,356,11,2,,,1,0,2,1,2,2,0,0,1,,1,0,307,15,44,,29/40 (73%),3/16 (19%),56%,0,13/19 (68%),7/17 (41%),0/3 (0%),55%,11,5,,2,,1,,,,,4
9587574,45,37145,NORMAL,REGULAR,Round 1,LEAGUE,2203,FK Austria Wien,Visita,2ND,25/07/2021,1,1,76%,0.00,1,7,1,4,,297,5,3,,,3,0,2,2,2,5,1,0,0,,1,2,249,14,32,,29/39 (74%),2/17 (12%),53%,1,8/16 (50%),9/16 (56%),0/1 (0%),40%,5,2,,9,,1,,,,,3
9587513,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2203,FK Austria Wien,Local,ALL,01/08/2021,2,1,42%,0.00,4,12,3,5,11,400,17,7,2,,7,1,5,0,9,3,1,3,0,,1,4,286,27,84,,27/75 (36%),7/20 (35%),47%,4,27/57 (47%),14/31 (45%),3/7 (43%),65%,17,19,,13,,3,,,,,5
9587513,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2203,FK Austria Wien,Local,1ST,01/08/2021,2,0,41%,0.00,1,5,1,1,,194,9,4,1,,4,0,1,0,3,2,0,1,0,,0,2,139,10,35,,15/36 (42%),2/6 (33%),43%,2,14/30 (47%),6/16 (38%),1/4 (25%),67%,9,10,,8,,1,,,,,3
9587513,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,2203,FK Austria Wien,Local,2ND,01/08/2021,2,1,43%,0.00,3,7,2,4,,206,8,3,1,,3,1,4,0,6,1,1,2,0,,1,2,147,17,49,,12/39 (31%),5/14 (36%),50%,2,13/27 (48%),8/15 (53%),2/3 (67%),63%,8,9,,5,,2,,,,,2
9587513,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,5405,WSG Tirol,Visita,ALL,01/08/2021,2,1,58%,0.00,2,11,6,9,7,556,8,10,0,,4,0,3,4,6,5,1,1,1,,2,0,439,26,85,,36/78 (46%),6/23 (26%),53%,10,30/57 (53%),17/31 (55%),12/19 (63%),63%,8,17,,24,,6,,,,,8
9587513,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,5405,WSG Tirol,Visita,1ST,01/08/2021,2,1,59%,0.00,2,6,4,4,,273,5,7,0,,2,0,1,3,4,2,1,1,1,,2,0,216,10,37,,16/37 (43%),2/11 (18%),57%,6,16/30 (53%),10/16 (63%),4/7 (57%),60%,5,7,,5,,4,,,,,4
9587513,45,37145,NORMAL,REGULAR,Round 2,LEAGUE,5405,WSG Tirol,Visita,2ND,01/08/2021,2,0,57%,0.00,0,5,2,5,,283,3,3,0,,2,0,2,1,2,3,0,0,0,,0,0,223,16,48,,20/41 (49%),4/12 (33%),50%,4,14/27 (52%),7/15 (47%),8/12 (67%),67%,3,10,,19,,2,,,,,4
9587543,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2046,Red Bull Salzburg,Local,ALL,08/08/2021,3,1,72%,0.00,3,16,1,8,13,538,19,12,3,,4,1,6,6,9,7,1,2,,,6,1,422,36,87,,41/72 (57%),7/31 (23%),50%,17,45/88 (51%),14/30 (47%),14/19 (74%),68%,19,15,,7,,1,,,,,4
9587543,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2046,Red Bull Salzburg,Local,1ST,08/08/2021,3,0,71%,0.00,1,6,0,4,,269,6,6,1,,1,1,3,2,4,2,0,1,,,4,1,209,20,38,,22/37 (59%),2/18 (11%),53%,9,21/37 (57%),8/18 (44%),9/11 (82%),67%,6,6,,2,,0,,,,,2
9587543,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2046,Red Bull Salzburg,Local,2ND,08/08/2021,3,1,73%,0.00,2,10,1,4,,269,13,6,2,,3,0,3,4,5,5,1,1,,,2,0,213,16,49,,19/35 (54%),5/13 (38%),48%,8,24/51 (47%),6/12 (50%),5/8 (63%),69%,13,9,,5,,1,,,,,2
9587543,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2203,FK Austria Wien,Visita,ALL,08/08/2021,3,0,28%,0.00,1,6,3,2,13,213,22,13,3,,1,1,3,2,4,2,0,1,,,2,0,113,22,54,,16/66 (24%),2/8 (25%),50%,9,43/88 (49%),16/30 (53%),8/18 (44%),50%,22,14,,41,,3,,,,,11
9587543,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2203,FK Austria Wien,Visita,1ST,08/08/2021,3,0,29%,0.00,0,3,1,2,,115,11,3,0,,0,0,2,1,1,2,0,0,,,0,0,60,9,29,,10/42 (24%),1/2 (50%),47%,0,16/37 (43%),10/18 (56%),2/8 (25%),64%,11,5,,26,,1,,,,,7
9587543,45,37145,NORMAL,REGULAR,Round 3,LEAGUE,2203,FK Austria Wien,Visita,2ND,08/08/2021,3,0,27%,0.00,1,3,2,0,,98,11,10,3,,1,1,1,1,3,0,0,1,,,2,0,53,13,25,,6/24 (25%),1/6 (17%),52%,9,27/51 (53%),6/12 (50%),6/10 (60%),36%,11,9,,15,,2,,,,,4
9587585,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2203,FK Austria Wien,Local,ALL,15/08/2021,4,1,58%,0.00,3,18,1,6,8,478,11,12,1,0,4,1,7,7,12,6,1,2,2,,6,2,387,28,75,,18/42 (43%),7/31 (23%),57%,8,35/64 (55%),12/19 (63%),12/20 (60%),55%,11,14,,17,,1,,,,,5
9587585,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2203,FK Austria Wien,Local,1ST,15/08/2021,4,0,46%,0.00,0,6,1,2,,205,4,6,1,0,1,0,3,2,3,3,0,0,2,,3,0,156,17,34,,9/18 (50%),2/11 (18%),50%,5,15/28 (54%),3/8 (38%),5/8 (63%),75%,4,5,,12,,1,,,,,1
9587585,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,2203,FK Austria Wien,Local,2ND,15/08/2021,4,1,71%,0.00,3,12,0,4,,273,7,6,0,0,3,1,4,5,9,3,1,2,0,,3,2,231,11,41,,9/24 (38%),5/20 (25%),62%,3,20/36 (56%),9/11 (82%),7/12 (58%),43%,7,9,,5,,0,,,,,4
9587585,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,43254,Austria Klagenfurt,Visita,ALL,15/08/2021,4,1,42%,0.00,0,13,3,6,12,355,16,7,4,1,2,0,4,7,10,3,0,0,0,,1,0,254,27,56,,25/70 (36%),3/16 (19%),43%,7,29/64 (45%),7/19 (37%),6/10 (60%),63%,16,16,,40,,3,,,,,10
9587585,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,43254,Austria Klagenfurt,Visita,1ST,15/08/2021,4,0,54%,0.00,0,5,1,4,,239,8,4,2,0,1,0,1,3,4,1,0,0,0,,0,0,183,13,35,,13/36 (36%),2/11 (18%),50%,2,13/28 (46%),5/8 (63%),1/3 (33%),63%,8,9,,16,,1,,,,,6
9587585,45,37145,NORMAL,REGULAR,Round 4,LEAGUE,43254,Austria Klagenfurt,Visita,2ND,15/08/2021,4,1,29%,0.00,0,8,2,2,,116,8,3,2,1,1,0,3,4,6,2,0,0,0,,1,0,71,14,21,,12/34 (35%),1/5 (20%),38%,5,16/36 (44%),2/11 (18%),5/7 (71%),63%,8,7,,24,,2,,,,,4
9587557,45,37145,NORMAL,REGULAR,Round 5,LEAGUE,2051,SK Sturm Graz,Local,ALL,22/08/2021,5,2,59%,0.00,2,20,1,8,9,430,14,18,2,,6,0,9,5,11,9,0,2,0,,3,2,312,33,75,,34/75 (45%),6/31 (19%),53%,12,42/76 (55%),22/45 (49%),11/20 (55%),64%,14,8,,11,,1,,,,,9
9587557,45,37145,NORMAL,REGULAR,Round 5,LEAGUE,2051,SK Sturm Graz,Local,1ST,22/08/2021,5,0,51%,0.00,1,8,0,2,,168,7,14,0,,2,0,4,2,4,4,0,1,0,,3,2,101,15,39,,14/42 (33%),2/15 (13%),58%,5,24/39 (62%),13/25 (52%),4/6 (67%),71%,7,3,,6,,0,,,,,3
9587557,45,37145,NORMAL,REGULAR,Round 5,LEAGUE,2051,SK Sturm Graz,Local,2ND,22/08/2021,5,2,65%,0.00,1,12,1,6,,262,7,4,2,,4,0,5,3,7,5,0,1,0,,0,0,211,18,36,,20/33 (61%),4/16 (25%),47%,7,18/37 (49%),9/20 (45%),7/14 (50%),57%,7,5,,5,,1,,,,,6
9587557,45,37145,NORMAL,REGULAR,Round 5,LEAGUE,2203,FK Austria Wien,Visita,ALL,22/08/2021,5,2,41%,0.00,2,11,3,2,18,315,21,8,3,,3,0,5,3,8,3,1,1,1,,2,3,198,29,63,,37/75 (49%),2/12 (17%),47%,6,34/76 (45%),23/45 (51%),6/14 (43%),71%,21,13,,30,,3,,,,,10
9587557,45,37145,NORMAL,REGULAR,Round 5,LEAGUE,2203,FK Austria Wien,Visita,1ST,22/08/2021,5,1,49%,0.00,1,6,1,0,,170,7,5,3,,1,0,2,3,5,1,1,0,1,,2,1,106,15,27,,20/38 (53%),1/6 (17%),42%,2,15/39 (38%),12/25 (48%),4/9 (44%),86%,7,7,,17,,1,,,,,4
9587557,45,37145,NORMAL,REGULAR,Round 5,LEAGUE,2203,FK Austria Wien,Visita,2ND,22/08/2021,5,1,35%,0.00,1,5,2,2,,145,14,3,0,,2,0,3,0,3,2,0,1,0,,0,2,92,14,36,,17/37 (46%),1/6 (17%),53%,4,19/37 (51%),11/20 (55%),2/5 (40%),64%,14,6,,13,,2,,,,,6
9587529,45,37145,NORMAL,REGULAR,Round 6,LEAGUE,2203,FK Austria Wien,Local,ALL,29/08/2021,6,1,46%,0.00,1,8,2,2,22,324,13,13,4,,5,0,2,1,5,3,1,,,,1,,199,29,64,,18/73 (25%),3/17 (18%),39%,13,28/74 (38%),17/41 (41%),3/9 (33%),77%,13,16,,28,,2,,,,,12
9587529,45,37145,NORMAL,REGULAR,Round 6,LEAGUE,2203,FK Austria Wien,Local,1ST,29/08/2021,6,1,50%,0.00,1,4,1,1,,166,5,4,1,,2,0,1,1,3,1,1,,,,0,,106,18,31,,12/40 (30%),1/9 (11%),30%,7,10/33 (30%),7/23 (30%),1/6 (17%),80%,5,11,,17,,1,,,,,10
9587529,45,37145,NORMAL,REGULAR,Round 6,LEAGUE,2203,FK Austria Wien,Local,2ND,29/08/2021,6,0,43%,0.00,0,4,1,1,,158,8,9,3,,3,0,1,0,2,2,0,,,,1,,93,11,33,,6/33 (18%),2/8 (25%),47%,6,18/41 (44%),10/18 (56%),2/3 (67%),75%,8,5,,11,,1,,,,,2
9587529,45,37145,NORMAL,REGULAR,Round 6,LEAGUE,2055,SK Rapid Wien,Visita,ALL,29/08/2021,6,1,54%,0.00,1,12,4,7,14,368,19,21,3,,3,0,6,3,9,3,1,,,,2,,234,28,84,,33/71 (46%),12/31 (39%),61%,9,46/74 (62%),24/41 (59%),7/11 (64%),68%,19,9,,17,,4,,,,,1
9587529,45,37145,NORMAL,REGULAR,Round 6,LEAGUE,2055,SK Rapid Wien,Visita,1ST,29/08/2021,6,0,50%,0.00,0,8,1,4,,159,12,11,1,,1,0,5,2,5,3,0,,,,1,,95,16,38,,13/29 (45%),5/16 (31%),70%,4,23/33 (70%),16/23 (70%),1/2 (50%),67%,12,4,,10,,1,,,,,0
9587529,45,37145,NORMAL,REGULAR,Round 6,LEAGUE,2055,SK Rapid Wien,Visita,2ND,29/08/2021,6,1,57%,0.00,1,4,3,3,,209,7,10,2,,2,0,1,1,4,0,1,,,,1,,139,12,46,,20/42 (48%),7/15 (47%),53%,5,23/41 (56%),8/18 (44%),6/9 (67%),71%,7,5,,7,,3,,,,,1
9587587,45,37145,NORMAL,REGULAR,Round 7,LEAGUE,2058,LASK,Local,ALL,12/09/2021,7,0,63%,0.00,2,15,5,5,11,520,9,8,1,,2,0,10,3,8,7,0,2,0,,3,4,382,28,76,,26/67 (39%),6/17 (35%),46%,8,20/51 (39%),22/41 (54%),3/10 (30%),78%,9,5,,6,,5,,,,,6
9587587,45,37145,NORMAL,REGULAR,Round 7,LEAGUE,2058,LASK,Local,1ST,12/09/2021,7,0,63%,0.00,0,7,4,3,,314,5,2,0,,2,0,3,2,3,4,0,0,0,,0,2,241,10,47,,12/33 (36%),3/8 (38%),34%,4,8/24 (33%),8/23 (35%),1/5 (20%),100%,5,3,,4,,4,,,,,5
9587587,45,37145,NORMAL,REGULAR,Round 7,LEAGUE,2058,LASK,Local,2ND,12/09/2021,7,0,63%,0.00,2,8,1,2,,206,4,6,1,,0,0,7,1,5,3,0,2,0,,3,2,141,18,29,,14/34 (41%),3/9 (33%),58%,4,12/27 (44%),14/18 (78%),2/5 (40%),50%,4,2,,2,,1,,,,,1
9587587,45,37145,NORMAL,REGULAR,Round 7,LEAGUE,2203,FK Austria Wien,Visita,ALL,12/09/2021,7,2,37%,0.00,6,13,2,5,13,312,15,10,2,,7,0,4,2,8,5,2,4,1,,1,5,190,18,64,,27/87 (31%),1/9 (11%),54%,7,31/51 (61%),19/41 (46%),6/8 (75%),73%,15,15,,25,,2,,,,,12
9587587,45,37145,NORMAL,REGULAR,Round 7,LEAGUE,2203,FK Austria Wien,Visita,1ST,12/09/2021,7,0,37%,0.00,4,9,2,3,,185,8,4,0,,4,0,4,1,5,4,0,4,1,,1,4,118,11,27,,15/45 (33%),1/7 (14%),66%,3,16/24 (67%),15/23 (65%),4/6 (67%),75%,8,6,,12,,2,,,,,5
9587587,45,37145,NORMAL,REGULAR,Round 7,LEAGUE,2203,FK Austria Wien,Visita,2ND,12/09/2021,7,2,37%,0.00,2,4,0,2,,127,7,6,2,,3,0,0,1,3,1,2,0,0,,0,1,72,7,37,,12/42 (29%),0/2 (0%),42%,4,15/27 (56%),4/18 (22%),2/2 (100%),71%,7,9,,13,,0,,,,,7
9587530,45,37145,NORMAL,REGULAR,Round 8,LEAGUE,2203,FK Austria Wien,Local,ALL,18/09/2021,8,0,55%,0.00,1,11,3,4,12,546,18,13,3,1,5,0,4,2,4,7,,1,4,,2,3,438,34,85,,39/68 (57%),1/14 (7%),51%,7,39/71 (55%),13/30 (43%),8/18 (44%),56%,18,13,,16,,3,,,,,5
9587530,45,37145,NORMAL,REGULAR,Round 8,LEAGUE,2203,FK Austria Wien,Local,1ST,18/09/2021,8,0,61%,0.00,1,6,0,2,,320,10,6,1,0,1,0,3,2,2,4,,1,2,,0,2,257,20,43,,21/36 (58%),1/8 (13%),52%,4,20/37 (54%),8/17 (47%),4/11 (36%),50%,10,5,,7,,0,,,,,0
9587530,45,37145,NORMAL,REGULAR,Round 8,LEAGUE,2203,FK Austria Wien,Local,2ND,18/09/2021,8,0,49%,0.00,0,5,3,2,,226,8,7,2,1,4,0,1,0,2,3,,0,2,,2,1,181,14,42,,18/32 (56%),0/6 (0%),51%,3,19/34 (56%),5/13 (38%),4/7 (57%),63%,8,8,,9,,3,,,,,5
9587530,45,37145,NORMAL,REGULAR,Round 8,LEAGUE,4856,SCR Altach,Visita,ALL,18/09/2021,8,0,45%,0.00,0,8,5,7,13,432,17,10,2,0,3,0,3,2,3,5,,0,0,,2,0,326,21,67,,33/79 (42%),7/19 (37%),49%,11,32/71 (45%),17/30 (57%),5/12 (42%),82%,17,15,,14,,5,,,,,6
9587530,45,37145,NORMAL,REGULAR,Round 8,LEAGUE,4856,SCR Altach,Visita,1ST,18/09/2021,8,0,39%,0.00,0,1,1,2,,198,11,4,0,0,0,0,0,1,0,1,,0,0,,1,0,143,8,35,,17/39 (44%),2/9 (22%),48%,7,17/37 (46%),9/17 (53%),2/5 (40%),82%,11,5,,7,,1,,,,,6
9587530,45,37145,NORMAL,REGULAR,Round 8,LEAGUE,4856,SCR Altach,Visita,2ND,18/09/2021,8,0,51%,0.00,0,7,4,5,,234,6,6,2,0,3,0,3,1,3,4,,0,0,,1,0,183,13,32,,16/40 (40%),5/10 (50%),49%,4,15/34 (44%),8/13 (62%),3/7 (43%),83%,6,10,,7,,4,,,,,0
9587548,45,37145,NORMAL,REGULAR,Round 9,LEAGUE,2075,TSV Hartberg,Local,ALL,26/09/2021,9,3,57%,0.00,3,13,1,4,17,405,8,9,2,,3,0,8,2,7,6,3,0,,,1,1,314,29,72,,40/74 (54%),5/25 (20%),44%,12,23/64 (36%),16/25 (64%),6/15 (40%),100%,8,9,,6,,1,,,,,7
