Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9383794,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,2312,Sport Boys,Local,ALL,13/03/2021,1,2,51%,0.00,0,18,2,4,21,394,22,24,2,,8,0,7,3,10,8,0,,,,4,4,295,16,74,,27/61 (44%),7/17 (41%),52%,13,53/96 (55%),16/36 (44%),7/10 (70%),82%,22,14,,6,,2,,,,,5
9383794,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,2312,Sport Boys,Local,1ST,13/03/2021,1,2,43%,0.00,0,7,2,2,,163,7,7,0,,4,0,1,2,6,1,0,,,,1,3,126,8,31,,14/29 (48%),3/11 (27%),42%,7,15/38 (39%),8/17 (47%),1/4 (25%),71%,7,5,,3,,2,,,,,2
9383794,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,2312,Sport Boys,Local,2ND,13/03/2021,1,,60%,0.00,0,11,0,2,,231,15,17,2,,4,0,6,1,4,7,0,,,,3,1,169,8,43,,13/32 (41%),4/6 (67%),60%,6,38/58 (66%),8/19 (42%),6/6 (100%),87%,15,9,,3,,0,,,,,3
9383794,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,5281,Universidad César Vallejo,Visita,ALL,13/03/2021,1,3,49%,0.00,2,12,6,1,24,381,16,20,3,,5,1,4,3,9,3,2,,,,2,2,293,26,49,,32/72 (44%),4/6 (67%),48%,21,43/96 (45%),20/36 (56%),8/9 (89%),63%,16,13,,15,,6,,,,,8
9383794,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,5281,Universidad César Vallejo,Visita,1ST,13/03/2021,1,3,57%,0.00,2,9,2,1,,224,10,10,0,,5,0,2,2,8,1,2,,,,1,2,191,12,20,,15/29 (52%),2/4 (50%),58%,7,23/38 (61%),9/17 (53%),4/4 (100%),70%,10,6,,8,,2,,,,,3
9383794,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,5281,Universidad César Vallejo,Visita,2ND,13/03/2021,1,,40%,0.00,0,3,4,0,,157,6,10,3,,0,1,2,1,1,2,0,,,,1,0,102,14,29,,17/43 (40%),2/2 (100%),40%,14,20/58 (34%),11/19 (58%),4/5 (80%),50%,6,7,,7,,4,,,,,5
9393815,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2302,Club Sporting Cristal,Local,ALL,19/03/2021,2,1,60%,0.00,2,9,3,2,25,479,20,17,5,,4,0,4,1,5,4,1,1,,,2,0,410,18,56,,35/61 (57%),4/20 (20%),47%,17,43/89 (48%),12/29 (41%),6/11 (55%),60%,20,15,,12,,3,,,,,9
9393815,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2302,Club Sporting Cristal,Local,1ST,19/03/2021,2,0,70%,0.00,0,4,2,1,,258,11,9,1,,1,0,3,0,2,2,0,0,,,1,0,235,8,28,,18/23 (78%),2/15 (13%),49%,9,22/44 (50%),8/17 (47%),2/4 (50%),55%,11,6,,8,,2,,,,,2
9393815,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2302,Club Sporting Cristal,Local,2ND,19/03/2021,2,,51%,0.00,2,5,1,1,,221,9,8,4,,3,0,1,1,3,2,1,1,,,1,0,175,10,28,,17/38 (45%),2/5 (40%),44%,8,21/45 (47%),4/12 (33%),4/7 (57%),67%,9,9,,4,,1,,,,,7
9393815,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2312,Sport Boys,Visita,ALL,19/03/2021,2,0,40%,0.00,0,14,3,5,18,315,22,24,4,,3,0,5,6,8,6,0,0,,,6,4,234,15,59,,26/64 (41%),4/16 (25%),53%,9,46/89 (52%),17/29 (59%),1/12 (8%),55%,22,7,,17,,3,,,,,10
