Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9592610,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2443,FC Lugano,Local,ALL,25/07/2021,1,0,73%,0.00,3,24,2,11,15,578,14,10,2,,5,1,9,10,11,13,0,3,1,,3,1,489,35,71,,38/55 (69%),9/37 (24%),43%,11,34/77 (44%),11/28 (39%),10/18 (56%),71%,14,7,,7,,2,,,,,10
9592610,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2443,FC Lugano,Local,1ST,25/07/2021,1,0,73%,0.00,1,12,1,4,,288,8,6,1,,3,0,4,5,7,5,0,1,0,,2,1,243,14,36,,20/32 (63%),5/16 (31%),44%,5,18/35 (51%),6/20 (30%),4/7 (57%),75%,8,2,,3,,1,,,,,7
9592610,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2443,FC Lugano,Local,2ND,25/07/2021,1,,73%,0.00,2,12,1,7,,290,6,4,1,,2,1,5,5,4,8,0,2,1,,1,0,246,21,35,,18/23 (78%),4/21 (19%),42%,6,16/42 (38%),5/8 (63%),6/11 (55%),67%,6,5,,4,,1,,,,,3
9592610,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2450,FC Zürich,Visita,ALL,25/07/2021,1,2,27%,0.00,2,10,5,0,10,216,19,15,2,,4,0,6,0,7,3,1,1,1,,3,1,144,18,40,,26/55 (47%),3/13 (23%),57%,9,43/77 (56%),17/28 (61%),9/14 (64%),74%,19,14,,40,,5,,,,,9
9592610,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2450,FC Zürich,Visita,1ST,25/07/2021,1,2,27%,0.00,2,7,3,0,,109,8,7,0,,3,0,4,0,4,3,1,1,1,,2,1,74,8,20,,15/26 (58%),1/3 (33%),56%,6,17/35 (49%),14/20 (70%),2/4 (50%),75%,8,8,,21,,3,,,,,3
9592610,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2450,FC Zürich,Visita,2ND,25/07/2021,1,,27%,0.00,0,3,2,0,,107,11,8,2,,1,0,2,0,3,0,0,0,0,,1,0,70,10,20,,11/29 (38%),2/10 (20%),58%,3,26/42 (62%),3/8 (38%),7/10 (70%),73%,11,6,,19,,2,,,,,6
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2448,Servette FC,Local,ALL,01/08/2021,2,0,53%,0.00,2,18,1,5,11,490,14,8,1,,4,0,10,4,13,5,0,2,3,,0,,408,25,61,,28/55 (51%),6/24 (25%),49%,11,27/61 (44%),19/33 (58%),6/9 (67%),71%,14,12,,13,,1,,,,,5
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2448,Servette FC,Local,1ST,01/08/2021,2,0,45%,0.00,1,9,0,2,,217,7,5,1,,3,0,4,2,7,2,0,1,2,,0,,179,6,23,,11/29 (38%),2/9 (22%),51%,5,14/28 (50%),7/13 (54%),3/4 (75%),71%,7,7,,10,,0,,,,,3
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2448,Servette FC,Local,2ND,01/08/2021,2,,63%,0.00,1,9,1,3,,273,7,3,0,,1,0,6,2,6,3,0,1,1,,0,,229,19,38,,17/26 (65%),4/15 (27%),47%,6,13/33 (39%),12/20 (60%),3/5 (60%),71%,7,5,,3,,1,,,,,2
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2443,FC Lugano,Visita,ALL,01/08/2021,2,2,47%,0.00,1,8,4,7,9,423,14,11,4,,3,0,3,2,6,2,1,0,0,,2,,332,21,54,,19/53 (36%),6/21 (29%),51%,5,34/61 (56%),14/33 (42%),9/18 (50%),64%,14,14,,19,,4,,,,,17
