Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9592608,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2452,FC Sion,Local,ALL,25/07/2021,1,1,49%,0.00,2,18,3,4,18,416,12,15,1,,8,0,6,4,10,8,1,1,0,,4,4,338,18,65,,19/46 (41%),5/21 (24%),47%,9,33/68 (49%),15/35 (43%),7/13 (54%),58%,12,8,,15,,3,,,,,14
9592608,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2452,FC Sion,Local,1ST,25/07/2021,1,0,45%,0.00,1,5,1,2,,193,5,6,1,,2,0,3,0,4,1,0,1,0,,2,3,153,10,25,,9/27 (33%),3/8 (38%),43%,6,14/36 (39%),9/18 (50%),4/8 (50%),60%,5,6,,9,,1,,,,,9
9592608,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2452,FC Sion,Local,2ND,25/07/2021,1,,53%,0.00,1,13,2,2,,223,7,9,0,,6,0,3,4,6,7,1,0,0,,2,1,185,8,40,,10/19 (53%),2/13 (15%),51%,3,19/32 (59%),6/17 (35%),3/5 (60%),57%,7,2,,6,,2,,,,,5
9592608,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2448,Servette FC,Visita,ALL,25/07/2021,1,2,51%,0.00,5,15,6,8,16,437,15,16,2,,6,0,5,4,10,5,2,3,1,,2,2,357,20,70,,42/79 (53%),5/19 (26%),53%,9,35/68 (51%),20/35 (57%),5/8 (63%),53%,15,10,,23,,6,,,,,7
9592608,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2448,Servette FC,Visita,1ST,25/07/2021,1,1,55%,0.00,3,8,2,3,,231,10,10,1,,3,0,3,2,5,3,1,2,0,,1,1,194,9,35,,24/38 (63%),3/12 (25%),57%,4,22/36 (61%),9/18 (50%),2/3 (67%),60%,10,5,,5,,2,,,,,3
9592608,215,37158,NORMAL,REGULAR,Round 1,LEAGUE,2448,Servette FC,Visita,2ND,25/07/2021,1,,47%,0.00,2,7,4,5,,206,5,6,1,,3,0,2,2,5,2,1,1,1,,1,1,163,11,35,,18/41 (44%),2/7 (29%),49%,5,13/32 (41%),11/17 (65%),3/5 (60%),40%,5,5,,18,,4,,,,,4
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2448,Servette FC,Local,ALL,01/08/2021,2,0,53%,0.00,2,18,1,5,11,490,14,8,1,,4,0,10,4,13,5,0,2,3,,0,,408,25,61,,28/55 (51%),6/24 (25%),49%,11,27/61 (44%),19/33 (58%),6/9 (67%),71%,14,12,,13,,1,,,,,5
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2448,Servette FC,Local,1ST,01/08/2021,2,0,45%,0.00,1,9,0,2,,217,7,5,1,,3,0,4,2,7,2,0,1,2,,0,,179,6,23,,11/29 (38%),2/9 (22%),51%,5,14/28 (50%),7/13 (54%),3/4 (75%),71%,7,7,,10,,0,,,,,3
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2448,Servette FC,Local,2ND,01/08/2021,2,,63%,0.00,1,9,1,3,,273,7,3,0,,1,0,6,2,6,3,0,1,1,,0,,229,19,38,,17/26 (65%),4/15 (27%),47%,6,13/33 (39%),12/20 (60%),3/5 (60%),71%,7,5,,3,,1,,,,,2
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2443,FC Lugano,Visita,ALL,01/08/2021,2,2,47%,0.00,1,8,4,7,9,423,14,11,4,,3,0,3,2,6,2,1,0,0,,2,,332,21,54,,19/53 (36%),6/21 (29%),51%,5,34/61 (56%),14/33 (42%),9/18 (50%),64%,14,14,,19,,4,,,,,17
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2443,FC Lugano,Visita,1ST,01/08/2021,2,0,55%,0.00,0,2,3,5,,260,6,4,2,,0,0,1,1,1,1,0,0,0,,1,,212,10,33,,10/25 (40%),5/18 (28%),49%,2,14/28 (50%),6/13 (46%),4/9 (44%),50%,6,9,,5,,3,,,,,8
9592670,215,37158,NORMAL,REGULAR,Round 2,LEAGUE,2443,FC Lugano,Visita,2ND,01/08/2021,2,,37%,0.00,1,6,1,2,,163,8,7,2,,3,0,2,1,5,1,1,0,0,,1,,120,11,21,,9/28 (32%),1/3 (33%),53%,3,20/33 (61%),8/20 (40%),5/9 (56%),75%,8,5,,14,,1,,,,,9
