Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9593224,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2458,FC Winterthur,Local,ALL,06/05/2022,33,2,,,,,,8,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593224,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2458,FC Winterthur,Local,1ST,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593224,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2458,FC Winterthur,Local,2ND,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593224,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2454,FC Thun,Visita,ALL,06/05/2022,33,2,,,,,,1,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593224,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2454,FC Thun,Visita,1ST,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593224,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2454,FC Thun,Visita,2ND,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593157,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2454,FC Thun,Local,ALL,10/05/2022,34,2,,,,,,5,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593157,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2454,FC Thun,Local,1ST,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593157,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2454,FC Thun,Local,2ND,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593157,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2461,Schaffhausen,Visita,ALL,10/05/2022,34,5,,,,,,2,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593157,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2461,Schaffhausen,Visita,1ST,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593157,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2461,Schaffhausen,Visita,2ND,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593217,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2455,FC Wil 1900,Local,ALL,14/05/2022,35,1,,,,,,6,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593217,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2455,FC Wil 1900,Local,1ST,14/05/2022,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593217,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2455,FC Wil 1900,Local,2ND,14/05/2022,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593217,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2454,FC Thun,Visita,ALL,14/05/2022,35,2,,,,,,6,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593217,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2454,FC Thun,Visita,1ST,14/05/2022,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593217,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2454,FC Thun,Visita,2ND,14/05/2022,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015358,216,37160,NORMAL,REGULAR,Round 36,LEAGUE,2454,FC Thun,Local,ALL,21/05/2022,36,2,,,,,,7,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015358,216,37160,NORMAL,REGULAR,Round 36,LEAGUE,2454,FC Thun,Local,1ST,21/05/2022,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015358,216,37160,NORMAL,REGULAR,Round 36,LEAGUE,2454,FC Thun,Local,2ND,21/05/2022,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015358,216,37160,NORMAL,REGULAR,Round 36,LEAGUE,2460,Yverdon-Sport FC,Visita,ALL,21/05/2022,36,1,,,,,,4,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015358,216,37160,NORMAL,REGULAR,Round 36,LEAGUE,2460,Yverdon-Sport FC,Visita,1ST,21/05/2022,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015358,216,37160,NORMAL,REGULAR,Round 36,LEAGUE,2460,Yverdon-Sport FC,Visita,2ND,21/05/2022,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391413,216,42277,NORMAL,REGULAR,Round 1,LEAGUE,2461,Schaffhausen,Local,ALL,15/07/2022,1,1,,,,,,5,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391413,216,42277,NORMAL,REGULAR,Round 1,LEAGUE,2461,Schaffhausen,Local,1ST,15/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391413,216,42277,NORMAL,REGULAR,Round 1,LEAGUE,2461,Schaffhausen,Local,2ND,15/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391413,216,42277,NORMAL,REGULAR,Round 1,LEAGUE,2454,FC Thun,Visita,ALL,15/07/2022,1,0,,,,,,7,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391413,216,42277,NORMAL,REGULAR,Round 1,LEAGUE,2454,FC Thun,Visita,1ST,15/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391413,216,42277,NORMAL,REGULAR,Round 1,LEAGUE,2454,FC Thun,Visita,2ND,15/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391269,216,42277,NORMAL,REGULAR,Round 2,LEAGUE,2454,FC Thun,Local,ALL,22/07/2022,2,1,,,,,,4,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391269,216,42277,NORMAL,REGULAR,Round 2,LEAGUE,2454,FC Thun,Local,1ST,22/07/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391269,216,42277,NORMAL,REGULAR,Round 2,LEAGUE,2454,FC Thun,Local,2ND,22/07/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391269,216,42277,NORMAL,REGULAR,Round 2,LEAGUE,2459,AC Bellinzona,Visita,ALL,22/07/2022,2,1,,,,,,3,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391269,216,42277,NORMAL,REGULAR,Round 2,LEAGUE,2459,AC Bellinzona,Visita,1ST,22/07/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391269,216,42277,NORMAL,REGULAR,Round 2,LEAGUE,2459,AC Bellinzona,Visita,2ND,22/07/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391275,216,42277,NORMAL,REGULAR,Round 3,LEAGUE,2460,Yverdon-Sport FC,Local,ALL,29/07/2022,3,3,,,,,,9,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391275,216,42277,NORMAL,REGULAR,Round 3,LEAGUE,2460,Yverdon-Sport FC,Local,1ST,29/07/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391275,216,42277,NORMAL,REGULAR,Round 3,LEAGUE,2460,Yverdon-Sport FC,Local,2ND,29/07/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391275,216,42277,NORMAL,REGULAR,Round 3,LEAGUE,2454,FC Thun,Visita,ALL,29/07/2022,3,1,,,,,,4,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391275,216,42277,NORMAL,REGULAR,Round 3,LEAGUE,2454,FC Thun,Visita,1ST,29/07/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
