Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9593118,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2460,Yverdon-Sport FC,Local,ALL,06/05/2022,33,0,,,,,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593118,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2460,Yverdon-Sport FC,Local,1ST,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593118,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2460,Yverdon-Sport FC,Local,2ND,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593118,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2447,FC Aarau,Visita,ALL,06/05/2022,33,4,,,,,,11,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593118,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2447,FC Aarau,Visita,1ST,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593118,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2447,FC Aarau,Visita,2ND,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593191,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2451,Neuchâtel Xamax,Local,ALL,10/05/2022,34,1,,,,,,7,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593191,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2451,Neuchâtel Xamax,Local,1ST,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593191,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2451,Neuchâtel Xamax,Local,2ND,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593191,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2460,Yverdon-Sport FC,Visita,ALL,10/05/2022,34,1,,,,,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593191,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2460,Yverdon-Sport FC,Visita,1ST,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593191,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2460,Yverdon-Sport FC,Visita,2ND,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593220,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2460,Yverdon-Sport FC,Local,ALL,14/05/2022,35,3,,,,,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
