Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9593182,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2463,FC Vaduz,Local,ALL,06/05/2022,33,5,,,,,,3,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593182,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2463,FC Vaduz,Local,1ST,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593182,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2463,FC Vaduz,Local,2ND,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593182,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2455,FC Wil 1900,Visita,ALL,06/05/2022,33,2,,,,,,9,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593182,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2455,FC Wil 1900,Visita,1ST,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593182,216,37160,NORMAL,REGULAR,Round 33,LEAGUE,2455,FC Wil 1900,Visita,2ND,06/05/2022,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593216,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2464,SC Kriens,Local,ALL,10/05/2022,34,0,,,,,,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593216,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2464,SC Kriens,Local,1ST,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593216,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2464,SC Kriens,Local,2ND,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593216,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2463,FC Vaduz,Visita,ALL,10/05/2022,34,1,,,,,,2,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593216,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2463,FC Vaduz,Visita,1ST,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593216,216,37160,NORMAL,REGULAR,Round 34,LEAGUE,2463,FC Vaduz,Visita,2ND,10/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593146,216,37160,NORMAL,REGULAR,Round 35,LEAGUE,2463,FC Vaduz,Local,ALL,14/05/2022,35,2,,,,,,2,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
