Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9604643,491,37235,NORMAL,REGULAR,Round 1,LEAGUE,5889,SC Freiburg II U23,Local,ALL,26/07/2021,1,0,50%,,,5,3,0,13,,,16,3,0,2,,3,,,,,,,,,3,,22,,,,,,,,,,,,,,,,3,,,,,7
9604643,491,37235,NORMAL,REGULAR,Round 1,LEAGUE,5889,SC Freiburg II U23,Local,1ST,26/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604643,491,37235,NORMAL,REGULAR,Round 1,LEAGUE,5889,SC Freiburg II U23,Local,2ND,26/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604643,491,37235,NORMAL,REGULAR,Round 1,LEAGUE,2597,SV Wehen Wiesbaden,Visita,ALL,26/07/2021,1,0,50%,,,10,1,10,13,,,16,1,0,3,,7,,,,,,,,,3,,15,,,,,,,,,,,,,,,,1,,,,,4
9604643,491,37235,NORMAL,REGULAR,Round 1,LEAGUE,2597,SV Wehen Wiesbaden,Visita,1ST,26/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604643,491,37235,NORMAL,REGULAR,Round 1,LEAGUE,2597,SV Wehen Wiesbaden,Visita,2ND,26/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604644,491,37235,NORMAL,REGULAR,Round 2,LEAGUE,2597,SV Wehen Wiesbaden,Local,ALL,31/07/2021,2,0,49%,,,8,0,6,12,,,8,0,0,4,,4,,,,,,,,,1,,28,,,,,,,,,,,,,,,,0,,,,,6
9604644,491,37235,NORMAL,REGULAR,Round 2,LEAGUE,2597,SV Wehen Wiesbaden,Local,1ST,31/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604644,491,37235,NORMAL,REGULAR,Round 2,LEAGUE,2597,SV Wehen Wiesbaden,Local,2ND,31/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604644,491,37235,NORMAL,REGULAR,Round 2,LEAGUE,2536,TSV 1860 München,Visita,ALL,31/07/2021,2,0,51%,,,1,4,6,6,,,13,1,0,0,,1,,,,,,,,,2,,30,,,,,,,,,,,,,,,,4,,,,,9
9604644,491,37235,NORMAL,REGULAR,Round 2,LEAGUE,2536,TSV 1860 München,Visita,1ST,31/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604644,491,37235,NORMAL,REGULAR,Round 2,LEAGUE,2536,TSV 1860 München,Visita,2ND,31/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611175,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2597,SV Wehen Wiesbaden,Local,ALL,07/08/2021,1,0,36%,0.00,0,8,6,2,8,358,15,6,3,,3,0,5,0,5,3,0,0,0,,1,0,263,19,51,,29/71 (41%),5/10 (50%),54%,9,25/52 (48%),25/40 (63%),4/5 (80%),47%,15,24,,19,,6,,,,,9
9611175,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2597,SV Wehen Wiesbaden,Local,1ST,07/08/2021,1,0,29%,0.00,0,3,1,1,,151,8,4,3,,1,0,2,0,1,2,0,0,0,,0,0,99,9,26,,11/36 (31%),1/2 (50%),48%,5,13/33 (39%),13/21 (62%),1/2 (50%),50%,8,19,,8,,1,,,,,6
9611175,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2597,SV Wehen Wiesbaden,Local,2ND,07/08/2021,1,0,43%,0.00,0,5,5,1,,207,7,2,0,,2,0,3,0,4,1,0,0,0,,1,0,164,10,25,,18/35 (51%),4/8 (50%),63%,4,12/19 (63%),12/19 (63%),3/3 (100%),43%,7,5,,11,,5,,,,,3
9611175,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2673,Borussia Dortmund,Visita,ALL,07/08/2021,1,3,64%,0.00,8,20,3,7,8,643,10,8,1,,10,0,4,6,17,3,3,5,2,,2,2,549,19,48,,22/53 (42%),5/18 (28%),46%,6,27/52 (52%),15/40 (38%),9/18 (50%),70%,10,10,,10,,3,,,,,7
9611175,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2673,Borussia Dortmund,Visita,1ST,07/08/2021,1,2,71%,0.00,4,9,1,3,,365,6,6,0,,4,0,3,2,8,1,2,2,1,,2,0,308,11,25,,12/30 (40%),3/6 (50%),52%,2,20/33 (61%),8/21 (38%),8/14 (57%),67%,6,5,,4,,1,,,,,2
9611175,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2673,Borussia Dortmund,Visita,2ND,07/08/2021,1,1,57%,0.00,4,11,2,4,,278,4,2,1,,6,0,1,4,9,2,1,3,1,,0,2,241,8,23,,10/23 (43%),2/12 (17%),37%,4,7/19 (37%),7/19 (37%),1/4 (25%),75%,4,5,,6,,2,,,,,5
9604653,491,37235,NORMAL,REGULAR,Round 3,LEAGUE,2581,VfL Osnabrück,Local,ALL,14/08/2021,3,0,57%,,,8,3,4,22,,,19,1,0,1,,7,,,,,,,,,0,,23,,,,,,,,,,,,,,,,3,,,,,5
