Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9611167,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2598,SV 07 Elversberg,Local,ALL,08/08/2021,1,2,32%,0.00,3,10,6,0,14,416,23,17,2,,6,0,3,1,5,5,1,2,1,,1,2,275,14,56,,35/101 (35%),1/5 (20%),55%,8,53/92 (58%),17/35 (49%),13/23 (57%),74%,23,36,,72,,6,,,,,21
9611167,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2598,SV 07 Elversberg,Local,1ST,08/08/2021,1,0,39%,0.00,0,2,2,0,,192,12,6,0,,1,0,1,0,0,2,0,0,0,,0,1,128,8,23,,16/48 (33%),0/0 (0%),51%,3,20/38 (53%),7/15 (47%),2/7 (29%),75%,12,15,,16,,2,,,,,11
9611167,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2598,SV 07 Elversberg,Local,2ND,08/08/2021,1,1,31%,0.00,3,6,1,0,,148,8,8,2,,4,0,2,0,4,2,1,2,1,,1,1,96,3,24,,10/33 (30%),0/4 (0%),60%,4,24/37 (65%),5/11 (45%),8/9 (89%),75%,8,16,,22,,1,,,,,4
9611167,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2556,1. FSV Mainz 05,Visita,ALL,08/08/2021,1,2,68%,0.00,2,38,4,19,17,841,18,14,2,,9,3,18,11,25,13,1,1,1,,5,1,689,33,152,,52/87 (60%),10/62 (16%),45%,18,39/92 (42%),18/35 (51%),7/12 (58%),72%,18,5,,4,,4,,,,,5
9611167,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2556,1. FSV Mainz 05,Visita,1ST,08/08/2021,1,0,61%,0.00,0,12,1,6,,290,8,6,0,,2,2,8,2,8,4,0,0,0,,2,0,228,13,57,,22/38 (58%),4/16 (25%),49%,7,18/38 (47%),8/15 (53%),4/9 (44%),88%,8,1,,1,,1,,,,,1
9611167,217,37289,NORMAL,PLAYOFF,Round 1,CUP,2556,1. FSV Mainz 05,Visita,2ND,08/08/2021,1,1,69%,0.00,2,11,3,4,,312,5,6,1,,3,1,5,3,8,3,1,1,1,,3,1,258,11,45,,21/34 (62%),2/20 (10%),40%,8,13/37 (35%),6/11 (55%),2/2 (100%),40%,5,2,,3,,3,,,,,4
9617997,1079,37340,NORMAL,REGULAR,Round 37,LEAGUE,5777,FSV Frankfurt,Local,ALL,07/05/2022,37,1,,,,,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617997,1079,37340,NORMAL,REGULAR,Round 37,LEAGUE,5777,FSV Frankfurt,Local,1ST,07/05/2022,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617997,1079,37340,NORMAL,REGULAR,Round 37,LEAGUE,5777,FSV Frankfurt,Local,2ND,07/05/2022,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617997,1079,37340,NORMAL,REGULAR,Round 37,LEAGUE,2598,SV 07 Elversberg,Visita,ALL,07/05/2022,37,1,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617997,1079,37340,NORMAL,REGULAR,Round 37,LEAGUE,2598,SV 07 Elversberg,Visita,1ST,07/05/2022,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617997,1079,37340,NORMAL,REGULAR,Round 37,LEAGUE,2598,SV 07 Elversberg,Visita,2ND,07/05/2022,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618162,1079,37340,NORMAL,REGULAR,Round 38,LEAGUE,2598,SV 07 Elversberg,Local,ALL,14/05/2022,38,2,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618162,1079,37340,NORMAL,REGULAR,Round 38,LEAGUE,2598,SV 07 Elversberg,Local,1ST,14/05/2022,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618162,1079,37340,NORMAL,REGULAR,Round 38,LEAGUE,2598,SV 07 Elversberg,Local,2ND,14/05/2022,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618162,1079,37340,NORMAL,REGULAR,Round 38,LEAGUE,5824,FC 08 Homburg,Visita,ALL,14/05/2022,38,0,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618162,1079,37340,NORMAL,REGULAR,Round 38,LEAGUE,5824,FC 08 Homburg,Visita,1ST,14/05/2022,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618162,1079,37340,NORMAL,REGULAR,Round 38,LEAGUE,5824,FC 08 Homburg,Visita,2ND,14/05/2022,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422936,491,42444,NORMAL,REGULAR,Round 1,LEAGUE,2562,Rot-Weiss Essen,Local,ALL,23/07/2022,1,1,,,,10,3,1,18,,,17,4,0,4,,4,2,,,,,,,,2,,18,,,,,,,,,,,,,,,,3,,,,,8
10422936,491,42444,NORMAL,REGULAR,Round 1,LEAGUE,2562,Rot-Weiss Essen,Local,1ST,23/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422936,491,42444,NORMAL,REGULAR,Round 1,LEAGUE,2562,Rot-Weiss Essen,Local,2ND,23/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422936,491,42444,NORMAL,REGULAR,Round 1,LEAGUE,2598,SV 07 Elversberg,Visita,ALL,23/07/2022,1,5,,,,14,3,3,15,,,20,2,0,8,,5,1,,,,,,,,2,,17,,,,,,,,,,,,,,,,3,,,,,6
10422936,491,42444,NORMAL,REGULAR,Round 1,LEAGUE,2598,SV 07 Elversberg,Visita,1ST,23/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422936,491,42444,NORMAL,REGULAR,Round 1,LEAGUE,2598,SV 07 Elversberg,Visita,2ND,23/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10352170,217,41962,NORMAL,PLAYOFF,Round 1,CUP,2598,SV 07 Elversberg,Local,ALL,30/07/2022,1,4,39%,0.00,4,17,8,4,12,349,17,16,1,,10,0,5,2,12,5,2,2,0,,5,0,277,14,50,,21/51 (41%),3/14 (21%),42%,22,41/100 (41%),8/16 (50%),8/21 (38%),76%,17,13,,24,,8,,,,,7
10352170,217,41962,NORMAL,PLAYOFF,Round 1,CUP,2598,SV 07 Elversberg,Local,1ST,30/07/2022,1,3,43%,0.00,2,10,5,1,,209,8,9,0,,7,0,1,2,8,2,2,0,0,,2,0,173,11,26,,16/29 (55%),1/6 (17%),46%,7,20/43 (47%),3/7 (43%),3/9 (33%),63%,8,4,,4,,5,,,,,1
10352170,217,41962,NORMAL,PLAYOFF,Round 1,CUP,2598,SV 07 Elversberg,Local,2ND,30/07/2022,1,1,34%,0.00,2,7,3,3,,140,9,7,1,,3,0,4,0,4,3,0,2,0,,3,0,104,3,24,,5/22 (23%),2/8 (25%),39%,15,21/57 (37%),5/9 (56%),5/12 (42%),89%,9,9,,20,,3,,,,,6
10352170,217,41962,NORMAL,PLAYOFF,Round 1,CUP,2681,Bayer 04 Leverkusen,Visita,ALL,30/07/2022,1,3,61%,0.00,4,19,6,8,16,554,35,12,3,,11,1,6,2,14,5,2,2,1,,1,2,469,17,66,,44/67 (66%),7/27 (26%),58%,6,59/100 (59%),8/16 (50%),13/24 (54%),51%,35,11,,14,,6,,,,,8
10352170,217,41962,NORMAL,PLAYOFF,Round 1,CUP,2681,Bayer 04 Leverkusen,Visita,1ST,30/07/2022,1,2,57%,0.00,3,10,4,3,,285,13,8,1,,7,1,2,1,7,3,1,2,1,,0,1,246,4,29,,17/27 (63%),2/7 (29%),54%,4,23/43 (53%),4/7 (57%),3/7 (43%),46%,13,5,,11,,4,,,,,3
10352170,217,41962,NORMAL,PLAYOFF,Round 1,CUP,2681,Bayer 04 Leverkusen,Visita,2ND,30/07/2022,1,1,66%,0.00,1,9,2,5,,269,22,4,2,,4,0,4,1,7,2,1,0,0,,1,1,223,13,37,,27/40 (68%),5/20 (25%),61%,2,36/57 (63%),4/9 (44%),10/17 (59%),55%,22,6,,3,,2,,,,,5
10452731,491,42444,NORMAL,REGULAR,Round 2,LEAGUE,2598,SV 07 Elversberg,Local,ALL,06/08/2022,2,0,51%,,,14,6,7,11,,,16,1,0,5,,5,4,,,,,,,,0,,23,,,,,,,,,,,,,,,,6,,,,,8
10452731,491,42444,NORMAL,REGULAR,Round 2,LEAGUE,2598,SV 07 Elversberg,Local,1ST,06/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10452731,491,42444,NORMAL,REGULAR,Round 2,LEAGUE,2598,SV 07 Elversberg,Local,2ND,06/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10452731,491,42444,NORMAL,REGULAR,Round 2,LEAGUE,2554,1. FC Saarbrücken,Visita,ALL,06/08/2022,2,2,49%,,,10,5,6,15,,,11,1,0,8,,1,1,,,,,,,,1,,21,,,,,,,,,,,,,,,,5,,,,,13
10452731,491,42444,NORMAL,REGULAR,Round 2,LEAGUE,2554,1. FC Saarbrücken,Visita,1ST,06/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
