Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9701193,328,37611,NORMAL,REGULAR,Regular Season,CUP,2688,Venezia,Local,ALL,15/08/2021,,1,60%,0.00,1,17,6,9,14,659,16,21,1,,3,0,9,5,12,5,1,0,,,7,2,544,26,78,,43/84 (51%),9/32 (28%),54%,15,38/75 (51%),20/33 (61%),4/6 (67%),69%,16,13,,18,,6,,,,,13
9701193,328,37611,NORMAL,REGULAR,Regular Season,CUP,2688,Venezia,Local,1ST,15/08/2021,,0,65%,0.00,0,11,2,5,,285,8,5,0,,2,0,5,4,8,3,0,0,,,1,0,245,14,35,,20/32 (63%),4/16 (25%),50%,6,12/28 (43%),9/14 (64%),1/3 (33%),63%,8,5,,3,,2,,,,,6
9701193,328,37611,NORMAL,REGULAR,Regular Season,CUP,2688,Venezia,Local,2ND,15/08/2021,,0,49%,0.00,0,1,3,2,,211,6,10,1,,0,0,1,0,1,0,0,0,,,2,1,160,7,23,,14/40 (35%),3/8 (38%),55%,5,17/29 (59%),4/9 (44%),1/1 (100%),83%,6,6,,11,,3,,,,,4
9701193,328,37611,NORMAL,REGULAR,Regular Season,CUP,2801,Frosinone,Visita,ALL,15/08/2021,,1,40%,0.00,3,24,2,6,23,448,17,14,2,,7,1,11,6,9,15,1,2,,,2,3,338,31,82,,40/86 (47%),6/22 (27%),46%,9,37/75 (49%),13/33 (39%),6/13 (46%),94%,17,8,,20,,2,,,,,13
9701193,328,37611,NORMAL,REGULAR,Regular Season,CUP,2801,Frosinone,Visita,1ST,15/08/2021,,0,35%,0.00,0,8,2,2,,159,8,3,0,,2,1,5,1,1,7,0,0,,,0,1,125,8,28,,17/32 (53%),2/6 (33%),50%,4,16/28 (57%),5/14 (36%),5/9 (56%),100%,8,5,,9,,2,,,,,5
9701193,328,37611,NORMAL,REGULAR,Regular Season,CUP,2801,Frosinone,Visita,2ND,15/08/2021,,0,51%,0.00,2,10,0,3,,219,5,6,1,,3,0,3,4,5,5,0,2,,,1,1,170,17,43,,18/33 (55%),2/13 (15%),45%,3,12/29 (41%),5/9 (56%),1/4 (25%),100%,5,3,,7,,0,,,,,3
9644899,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2714,SSC Napoli,Local,ALL,22/08/2021,1,2,56%,0.00,3,13,4,2,5,560,13,20,1,1,4,0,4,5,6,7,1,2,,,9,3,499,14,46,,21/34 (62%),1/7 (14%),66%,5,38/56 (68%),6/11 (55%),6/11 (55%),69%,13,12,,8,,4,,,,,8
9644899,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2714,SSC Napoli,Local,1ST,22/08/2021,1,0,62%,0.00,1,7,2,2,,332,4,9,0,1,2,0,2,3,2,5,0,1,,,5,2,309,6,31,,12/15 (80%),1/5 (20%),64%,2,15/22 (68%),1/3 (33%),2/5 (40%),25%,4,7,,1,,2,,,,,2
9644899,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2714,SSC Napoli,Local,2ND,22/08/2021,1,2,50%,0.00,2,6,2,0,,228,9,11,1,0,2,0,2,2,4,2,1,1,,,4,1,190,8,15,,9/19 (47%),0/2 (0%),67%,3,23/34 (68%),5/8 (63%),4/6 (67%),89%,9,5,,7,,2,,,,,6
9644899,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2688,Venezia,Visita,ALL,22/08/2021,1,0,44%,0.00,1,8,2,2,22,424,10,3,7,0,4,1,4,0,5,3,0,1,,,0,1,379,14,35,,20/33 (61%),4/17 (24%),34%,4,18/56 (32%),5/11 (45%),5/14 (36%),70%,10,10,,6,,2,,,,,7
9644899,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2688,Venezia,Visita,1ST,22/08/2021,1,0,38%,0.00,0,3,2,0,,202,5,1,4,0,2,0,1,0,2,1,0,0,,,0,0,174,7,17,,10/21 (48%),1/4 (25%),36%,0,7/22 (32%),2/3 (67%),1/5 (20%),80%,5,5,,4,,2,,,,,4
9644899,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2688,Venezia,Visita,2ND,22/08/2021,1,0,50%,0.00,1,5,0,2,,222,5,2,3,0,2,1,3,0,3,2,0,1,,,0,1,205,7,18,,10/12 (83%),3/13 (23%),33%,4,11/34 (32%),3/8 (38%),4/9 (44%),60%,5,5,,2,,0,,,,,3
9644930,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2695,Udinese,Local,ALL,27/08/2021,2,3,44%,0.00,6,21,3,7,11,426,15,6,2,,10,0,2,9,14,7,3,3,2,,1,4,336,19,41,,22/53 (42%),7/15 (47%),48%,9,34/67 (51%),7/19 (37%),13/21 (62%),47%,15,13,,17,,3,,,,,12
