Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9701194,328,37611,NORMAL,REGULAR,Regular Season,CUP,2695,Udinese,Local,ALL,13/08/2021,,3,53%,0.00,3,12,4,4,14,527,17,14,1,,8,1,3,1,11,1,2,1,0,,6,1,468,13,50,,30/46 (65%),4/13 (31%),55%,6,41/80 (51%),13/18 (72%),11/23 (48%),76%,17,11,,5,,4,,,,,7
9701194,328,37611,NORMAL,REGULAR,Regular Season,CUP,2695,Udinese,Local,1ST,13/08/2021,,1,52%,0.00,2,9,2,3,,254,11,6,1,,5,1,3,1,8,1,1,1,0,,4,0,222,7,28,,16/25 (64%),4/11 (36%),57%,2,23/44 (52%),7/9 (78%),6/14 (43%),64%,11,5,,1,,2,,,,,5
9701194,328,37611,NORMAL,REGULAR,Regular Season,CUP,2695,Udinese,Local,2ND,13/08/2021,,2,55%,0.00,1,3,2,1,,273,6,8,0,,3,0,0,0,3,0,1,0,0,,2,1,246,6,22,,14/21 (67%),0/2 (0%),53%,4,18/36 (50%),6/9 (67%),5/9 (56%),100%,6,6,,4,,2,,,,,2
9701194,328,37611,NORMAL,REGULAR,Regular Season,CUP,2707,Ascoli,Visita,ALL,13/08/2021,,1,47%,0.00,1,11,5,2,15,465,18,14,3,,5,0,3,3,6,5,1,0,1,,2,3,405,15,35,,27/46 (59%),0/5 (0%),45%,12,39/80 (49%),5/18 (28%),7/12 (58%),78%,18,7,,9,,5,,,,,6
9701194,328,37611,NORMAL,REGULAR,Regular Season,CUP,2707,Ascoli,Visita,1ST,13/08/2021,,0,48%,0.00,0,5,4,0,,244,10,7,1,,2,0,3,0,1,4,0,0,0,,0,2,212,6,20,,16/29 (55%),0/1 (0%),43%,7,21/44 (48%),2/9 (22%),4/8 (50%),90%,10,4,,7,,4,,,,,4
9701194,328,37611,NORMAL,REGULAR,Regular Season,CUP,2707,Ascoli,Visita,2ND,13/08/2021,,1,45%,0.00,1,6,1,2,,221,8,7,2,,3,0,0,3,5,1,1,0,1,,2,1,193,9,15,,11/17 (65%),0/4 (0%),47%,5,18/36 (50%),3/9 (33%),3/4 (75%),63%,8,3,,2,,1,,,,,2
9644906,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2695,Udinese,Local,ALL,22/08/2021,1,2,44%,0.00,3,12,1,3,13,396,11,14,1,,6,0,4,2,9,3,2,1,0,,4,2,334,19,35,,16/35 (46%),3/17 (18%),50%,10,30/60 (50%),9/18 (50%),5/7 (71%),55%,11,8,,6,,1,,,,,6
9644906,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2695,Udinese,Local,1ST,22/08/2021,1,0,47%,0.00,0,3,0,3,,224,5,8,0,,1,0,1,1,2,1,0,0,0,,2,0,200,10,18,,11/15 (73%),1/9 (11%),49%,7,15/32 (47%),3/5 (60%),2/3 (67%),60%,5,2,,3,,0,,,,,3
9644906,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2695,Udinese,Local,2ND,22/08/2021,1,2,40%,0.00,3,9,1,0,,172,6,6,1,,5,0,3,1,7,2,2,1,0,,2,2,134,9,17,,5/20 (25%),2/8 (25%),51%,3,15/28 (54%),6/13 (46%),3/4 (75%),50%,6,6,,3,,1,,,,,3
9644906,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2687,Juventus,Visita,ALL,22/08/2021,1,2,56%,0.00,3,10,4,3,14,524,12,13,3,,3,2,7,0,7,3,1,2,1,,2,3,452,22,50,,35/56 (63%),3/8 (38%),50%,6,30/60 (50%),9/18 (50%),6/11 (55%),58%,12,13,,13,,4,,,,,5
