Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9644907,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2705,Empoli,Local,ALL,21/08/2021,1,1,45%,0.00,1,16,1,5,13,451,23,8,2,,4,2,7,5,11,5,0,1,1,,0,2,372,28,65,,29/48 (60%),4/20 (20%),44%,15,36/83 (43%),6/13 (46%),5/16 (31%),57%,23,12,,14,,1,,,,,4
9644907,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2705,Empoli,Local,1ST,21/08/2021,1,1,42%,0.00,1,4,0,1,,187,4,5,1,,2,1,2,0,3,1,0,1,1,,0,2,151,14,23,,15/23 (65%),1/8 (13%),33%,10,13/38 (34%),2/8 (25%),4/11 (36%),75%,4,2,,10,,0,,,,,1
9644907,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2705,Empoli,Local,2ND,21/08/2021,1,0,47%,0.00,0,12,1,4,,264,19,3,1,,2,1,5,5,8,4,0,0,0,,0,0,221,14,42,,14/25 (56%),3/12 (25%),54%,5,23/45 (51%),4/5 (80%),1/5 (20%),53%,19,10,,4,,1,,,,,3
9644907,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2699,Lazio,Visita,ALL,21/08/2021,1,3,55%,0.00,2,8,2,3,10,567,26,13,1,,4,0,3,1,8,0,2,0,3,,3,0,491,15,38,,42/56 (75%),4/11 (36%),56%,13,47/83 (57%),7/13 (54%),8/18 (44%),54%,26,15,,16,,2,,,,,9
9644907,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2699,Lazio,Visita,1ST,21/08/2021,1,3,58%,0.00,2,5,1,3,,265,17,6,1,,3,0,1,1,5,0,2,0,1,,3,0,228,7,21,,21/26 (81%),3/9 (33%),67%,1,25/38 (66%),6/8 (75%),2/5 (40%),53%,17,5,,7,,1,,,,,3
9644907,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2699,Lazio,Visita,2ND,21/08/2021,1,0,53%,0.00,0,3,1,0,,302,9,7,0,,1,0,2,0,3,0,0,0,2,,0,0,263,8,17,,21/30 (70%),1/2 (50%),46%,12,22/45 (49%),1/5 (20%),6/13 (46%),56%,9,10,,9,,1,,,,,6
9644935,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2699,Lazio,Local,ALL,28/08/2021,2,6,61%,0.00,4,18,1,4,12,695,12,9,0,0,10,0,3,5,11,7,3,1,2,,3,1,632,9,54,,20/45 (44%),3/9 (33%),56%,4,28/54 (52%),8/10 (80%),8/9 (89%),83%,12,7,,6,,1,,,,,6
9644935,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2699,Lazio,Local,1ST,28/08/2021,2,3,51%,0.00,2,7,1,4,,256,9,3,0,0,6,0,1,0,6,1,1,1,1,,1,0,219,6,22,,14/31 (45%),2/7 (29%),53%,3,13/28 (46%),5/6 (83%),1/2 (50%),78%,9,3,,3,,1,,,,,2
9644935,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2699,Lazio,Local,2ND,28/08/2021,2,3,70%,0.00,2,11,0,0,,439,3,6,0,0,4,0,2,5,5,6,2,0,1,,2,1,413,3,32,,6/14 (43%),1/2 (50%),60%,1,15/26 (58%),3/4 (75%),7/7 (100%),100%,3,4,,3,,0,,,,,4
9644935,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2735,Spezia,Visita,ALL,28/08/2021,2,1,39%,0.00,1,5,4,2,9,429,5,12,2,1,2,0,2,1,2,3,1,0,0,,2,0,350,22,36,,21/44 (48%),0/9 (0%),44%,8,26/54 (48%),2/10 (20%),9/13 (69%),40%,5,6,,8,,4,,,,,5
9644935,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2735,Spezia,Visita,1ST,28/08/2021,2,1,49%,0.00,1,5,3,2,,245,4,7,1,0,2,0,2,1,2,3,1,0,0,,2,0,202,13,27,,8/22 (36%),0/6 (0%),47%,6,15/28 (54%),1/6 (17%),4/7 (57%),50%,4,3,,4,,3,,,,,2
9644935,23,37475,NORMAL,REGULAR,Round 2,LEAGUE,2735,Spezia,Visita,2ND,28/08/2021,2,0,30%,0.00,0,0,1,0,,184,1,5,1,1,0,0,0,0,0,0,0,0,0,,0,0,148,9,9,,13/22 (59%),0/3 (0%),40%,2,11/26 (42%),1/4 (25%),5/6 (83%),0%,1,3,,4,,1,,,,,3
9644927,23,37475,NORMAL,REGULAR,Round 3,LEAGUE,2692,AC Milan,Local,ALL,12/09/2021,3,2,47%,0.00,4,19,5,5,10,459,15,18,1,,3,1,9,7,10,9,2,2,,,5,4,394,13,53,,30/52 (58%),3/18 (17%),53%,14,51/88 (58%),8/23 (35%),18/25 (72%),67%,15,17,,12,,5,,,,,3
9644927,23,37475,NORMAL,REGULAR,Round 3,LEAGUE,2692,AC Milan,Local,1ST,12/09/2021,3,1,43%,0.00,3,12,2,2,,198,7,13,0,,2,1,7,3,7,5,1,2,,,5,1,163,5,31,,14/26 (54%),2/13 (15%),54%,12,31/52 (60%),5/15 (33%),11/13 (85%),43%,7,11,,7,,2,,,,,0
9644927,23,37475,NORMAL,REGULAR,Round 3,LEAGUE,2692,AC Milan,Local,2ND,12/09/2021,3,1,50%,0.00,1,7,3,3,,261,8,5,1,,1,0,2,4,3,4,1,0,,,0,3,231,8,22,,16/26 (62%),1/5 (20%),52%,2,20/36 (56%),3/8 (38%),7/12 (58%),88%,8,6,,5,,3,,,,,3
9644927,23,37475,NORMAL,REGULAR,Round 3,LEAGUE,2699,Lazio,Visita,ALL,12/09/2021,3,0,53%,0.00,0,8,1,1,18,541,21,8,4,,5,0,1,2,4,4,0,0,,,2,2,465,13,47,,13/25 (52%),1/9 (11%),47%,6,37/88 (42%),15/23 (65%),8/17 (47%),43%,21,10,,15,,1,,,,,8
9644927,23,37475,NORMAL,REGULAR,Round 3,LEAGUE,2699,Lazio,Visita,1ST,12/09/2021,3,0,57%,0.00,0,2,1,0,,273,14,3,3,,2,0,0,0,1,1,0,0,,,1,1,229,4,18,,5/15 (33%),1/3 (33%),46%,4,21/52 (40%),10/15 (67%),4/7 (57%),29%,14,7,,9,,1,,,,,6
9644927,23,37475,NORMAL,REGULAR,Round 3,LEAGUE,2699,Lazio,Visita,2ND,12/09/2021,3,0,50%,0.00,0,6,0,1,,268,7,5,1,,3,0,1,2,3,3,0,0,,,1,1,236,9,29,,8/10 (80%),0/6 (0%),48%,2,16/36 (44%),5/8 (63%),4/10 (40%),71%,7,3,,6,,0,,,,,2
9758015,679,37725,NORMAL,GROUP,"UEFA Europa League, Group E",INTERNATIONAL,3061,Galatasaray,Local,ALL,16/09/2021,1,1,54%,0.00,0,12,4,4,8,587,17,9,1,,2,1,8,2,6,6,,0,0,,1,0,502,18,41,,41/68 (60%),1/7 (14%),51%,8,35/71 (49%),7/12 (58%),9/19 (47%),53%,17,18,,7,,4,,,,,9
9758015,679,37725,NORMAL,GROUP,"UEFA Europa League, Group E",INTERNATIONAL,3061,Galatasaray,Local,1ST,16/09/2021,1,0,63%,0.00,0,7,0,3,,375,6,4,1,,0,1,6,1,3,4,,0,0,,1,0,334,10,23,,25/35 (71%),1/6 (17%),46%,5,14/34 (41%),4/5 (80%),4/10 (40%),67%,6,9,,1,,0,,,,,5
9758015,679,37725,NORMAL,GROUP,"UEFA Europa League, Group E",INTERNATIONAL,3061,Galatasaray,Local,2ND,16/09/2021,1,,42%,0.00,0,5,4,1,,212,11,5,0,,2,0,2,1,3,2,,0,0,,0,0,168,8,18,,16/33 (48%),0/1 (0%),55%,3,21/37 (57%),3/7 (43%),5/9 (56%),45%,11,9,,6,,4,,,,,4
