Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10447720,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2712,Bari,Local,ALL,31/07/2022,1,3,,,,,,3,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447720,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2712,Bari,Local,1ST,31/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447720,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2712,Bari,Local,2ND,31/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447720,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2741,Padova,Visita,ALL,31/07/2022,1,0,,,,,,5,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447720,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2741,Padova,Visita,1ST,31/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447720,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2741,Padova,Visita,2ND,31/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10536824,328,42742,NORMAL,REGULAR,Round of 64,CUP,2701,Hellas Verona,Local,ALL,07/08/2022,32,1,53%,0.00,2,9,5,4,11,430,16,4,2,1,7,1,0,2,6,3,1,1,,,1,2,341,22,59,,41/66 (62%),3/15 (20%),48%,10,29/61 (48%),9/18 (50%),9/13 (69%),44%,16,13,,9,,5,,,,,3
10536824,328,42742,NORMAL,REGULAR,Round of 64,CUP,2701,Hellas Verona,Local,1ST,07/08/2022,32,1,55%,0.00,2,6,2,1,,246,1,3,0,0,5,0,0,1,5,1,1,1,,,0,2,201,9,29,,26/42 (62%),1/5 (20%),45%,5,11/25 (44%),4/8 (50%),7/9 (78%),0%,1,7,,5,,2,,,,,2
10536824,328,42742,NORMAL,REGULAR,Round of 64,CUP,2701,Hellas Verona,Local,2ND,07/08/2022,32,0,51%,0.00,0,3,3,3,,184,15,1,2,1,2,1,0,1,1,2,0,0,,,1,0,140,13,30,,15/24 (63%),2/10 (20%),50%,5,18/36 (50%),5/10 (50%),2/4 (50%),47%,15,6,,4,,3,,,,,1
10536824,328,42742,NORMAL,REGULAR,Round of 64,CUP,2712,Bari,Visita,ALL,07/08/2022,32,4,47%,0.00,4,11,6,2,5,387,14,11,2,0,9,0,1,1,7,4,4,0,,,2,1,303,19,43,,27/60 (45%),1/4 (25%),52%,10,32/61 (52%),9/18 (50%),7/13 (54%),64%,14,5,,19,,6,,,,,7
