Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9701195,328,37611,NORMAL,REGULAR,Regular Season,CUP,2718,FC Crotone,Local,ALL,16/08/2021,,2,50%,0.00,4,18,6,13,22,552,14,15,3,0,4,1,10,4,15,3,1,3,0,,2,2,438,19,60,,49/91 (54%),8/34 (24%),47%,6,38/79 (48%),19/42 (45%),10/19 (53%),50%,14,19,,23,,6,,,,,7
9701195,328,37611,NORMAL,REGULAR,Regular Season,CUP,2718,FC Crotone,Local,1ST,16/08/2021,,1,53%,0.00,2,7,3,3,,251,4,4,1,0,1,1,4,2,5,2,0,2,0,,0,1,200,4,24,,25/41 (61%),2/11 (18%),50%,0,10/22 (45%),9/16 (56%),2/3 (67%),50%,4,7,,7,,3,,,,,2
9701195,328,37611,NORMAL,REGULAR,Regular Season,CUP,2718,FC Crotone,Local,2ND,16/08/2021,,1,48%,0.00,2,8,3,7,,179,5,8,0,0,2,0,5,1,7,1,1,1,0,,2,0,144,10,20,,13/28 (46%),6/17 (35%),47%,5,17/35 (49%),8/18 (44%),4/10 (40%),60%,5,5,,11,,3,,,,,4
9701195,328,37611,NORMAL,REGULAR,Regular Season,CUP,2691,Brescia,Visita,ALL,16/08/2021,,2,50%,0.00,2,20,2,8,17,564,15,21,4,1,8,0,4,8,13,7,1,1,1,,1,3,442,28,87,,49/88 (56%),7/29 (24%),53%,8,41/79 (52%),23/42 (55%),6/12 (50%),53%,15,12,,20,,2,,,,,10
9701195,328,37611,NORMAL,REGULAR,Regular Season,CUP,2691,Brescia,Visita,1ST,16/08/2021,,0,47%,0.00,1,8,0,4,,215,1,10,1,0,3,0,1,4,6,2,0,1,0,,0,1,164,15,31,,20/38 (53%),4/15 (27%),50%,3,12/22 (55%),7/16 (44%),1/2 (50%),0%,1,3,,8,,0,,,,,5
9701195,328,37611,NORMAL,REGULAR,Regular Season,CUP,2691,Brescia,Visita,2ND,16/08/2021,,2,52%,0.00,1,9,1,2,,200,11,4,2,0,5,0,3,1,6,3,1,0,1,,0,0,159,8,33,,11/26 (42%),2/9 (22%),53%,3,18/35 (51%),10/18 (56%),4/6 (67%),55%,11,3,,7,,1,,,,,4
9671269,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2718,FC Crotone,Local,ALL,22/08/2021,1,2,60%,0.00,1,19,2,7,16,431,9,11,4,,5,0,7,7,11,8,1,,,,2,,355,23,63,,23/39 (59%),6/18 (33%),50%,11,29/70 (41%),21/30 (70%),10/19 (53%),67%,9,1,,13,,2,,,,,8
9671269,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2718,FC Crotone,Local,1ST,22/08/2021,1,0,65%,0.00,0,6,0,3,,256,2,7,1,,1,0,2,3,3,3,0,,,,2,,219,10,35,,13/20 (65%),2/10 (20%),50%,3,11/28 (39%),9/12 (75%),2/6 (33%),100%,2,1,,3,,0,,,,,7
9671269,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2718,FC Crotone,Local,2ND,22/08/2021,1,,54%,0.00,1,13,2,4,,175,7,4,3,,4,0,5,4,8,5,1,,,,0,,136,13,28,,10/19 (53%),4/8 (50%),50%,8,18/42 (43%),12/18 (67%),8/13 (62%),57%,7,0,,10,,2,,,,,1
9671269,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2704,Como,Visita,ALL,22/08/2021,1,2,40%,0.00,2,13,3,3,12,283,20,15,4,,4,2,7,2,11,2,2,,,,2,,205,12,41,,24/59 (41%),4/11 (36%),50%,7,41/70 (59%),9/30 (30%),7/9 (78%),50%,20,7,,18,,3,,,,,14
9671269,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2704,Como,Visita,1ST,22/08/2021,1,0,35%,0.00,0,6,1,1,,134,7,7,3,,0,1,5,1,4,2,0,,,,0,,94,6,21,,9/30 (30%),3/6 (50%),50%,1,17/28 (61%),3/12 (25%),3/4 (75%),57%,7,4,,11,,1,,,,,6
9671269,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2704,Como,Visita,2ND,22/08/2021,1,,46%,0.00,2,7,2,2,,149,13,8,1,,4,1,2,1,7,0,2,,,,2,,111,6,20,,15/29 (52%),1/5 (20%),50%,6,24/42 (57%),6/18 (33%),4/5 (80%),46%,13,3,,7,,2,,,,,8
9671869,53,37642,NORMAL,REGULAR,Round 2,LEAGUE,2717,Cittadella,Local,ALL,29/08/2021,2,4,41%,0.00,3,15,2,2,9,327,16,18,1,,11,0,2,2,12,3,1,2,0,,5,1,229,29,66,,22/61 (36%),7/14 (50%),54%,11,38/68 (56%),15/31 (48%),4/6 (67%),63%,16,9,,20,,2,,,,,7
9671869,53,37642,NORMAL,REGULAR,Round 2,LEAGUE,2717,Cittadella,Local,1ST,29/08/2021,2,1,43%,0.00,1,9,1,0,,183,10,9,1,,5,0,2,2,7,2,0,1,0,,2,0,133,17,37,,12/24 (50%),4/8 (50%),47%,10,23/44 (52%),5/15 (33%),4/5 (80%),50%,10,5,,9,,1,,,,,4
9671869,53,37642,NORMAL,REGULAR,Round 2,LEAGUE,2717,Cittadella,Local,2ND,29/08/2021,2,,38%,0.00,2,6,1,2,,144,6,9,0,,6,0,0,0,5,1,1,1,0,,3,1,96,12,29,,10/37 (27%),3/6 (50%),63%,1,15/24 (63%),10/16 (63%),0/1 (0%),83%,6,4,,11,,1,,,,,3
9671869,53,37642,NORMAL,REGULAR,Round 2,LEAGUE,2718,FC Crotone,Visita,ALL,29/08/2021,2,2,59%,0.00,0,13,7,4,19,483,13,9,2,,4,0,4,5,7,6,0,0,1,,0,1,372,26,67,,54/89 (61%),5/16 (31%),46%,7,30/68 (44%),16/31 (52%),8/17 (47%),62%,13,14,,15,,7,,,,,5
9671869,53,37642,NORMAL,REGULAR,Round 2,LEAGUE,2718,FC Crotone,Visita,1ST,29/08/2021,2,1,57%,0.00,0,9,4,1,,245,11,5,1,,2,0,3,4,4,5,0,0,0,,0,0,186,14,39,,30/50 (60%),3/10 (30%),53%,3,21/44 (48%),10/15 (67%),5/12 (42%),64%,11,9,,3,,4,,,,,5
9671869,53,37642,NORMAL,REGULAR,Round 2,LEAGUE,2718,FC Crotone,Visita,2ND,29/08/2021,2,,62%,0.00,0,4,3,3,,238,2,4,1,,2,0,1,1,3,1,0,0,1,,0,1,186,12,28,,24/39 (62%),2/6 (33%),37%,4,9/24 (38%),6/16 (38%),3/5 (60%),50%,2,5,,12,,3,,,,,0
9671875,53,37642,NORMAL,REGULAR,Round 3,LEAGUE,2718,FC Crotone,Local,ALL,11/09/2021,3,1,55%,0.00,0,13,1,9,20,434,9,15,2,,3,0,5,5,6,7,0,,,,0,1,333,24,59,,36/72 (50%),5/18 (28%),50%,10,27/64 (42%),27/44 (61%),4/9 (44%),56%,9,8,,14,,1,,,,,6
9671875,53,37642,NORMAL,REGULAR,Round 3,LEAGUE,2718,FC Crotone,Local,1ST,11/09/2021,3,0,57%,0.00,0,8,0,5,,218,5,6,1,,2,0,5,1,3,5,0,,,,0,1,170,11,27,,19/32 (59%),4/9 (44%),51%,7,13/28 (46%),11/19 (58%),2/3 (67%),20%,5,5,,6,,0,,,,,2
9671875,53,37642,NORMAL,REGULAR,Round 3,LEAGUE,2718,FC Crotone,Local,2ND,11/09/2021,3,1,53%,0.00,0,5,1,4,,216,4,9,1,,1,0,0,4,3,2,0,,,,0,0,163,13,32,,17/40 (43%),1/9 (11%),49%,3,14/36 (39%),16/25 (64%),2/6 (33%),100%,4,3,,8,,1,,,,,4
9671875,53,37642,NORMAL,REGULAR,Round 3,LEAGUE,491246,Reggina 1914,Visita,ALL,11/09/2021,3,1,45%,0.00,1,6,2,1,15,355,15,19,4,,2,0,3,1,3,3,1,,,,4,1,256,19,67,,25/68 (37%),2/18 (11%),50%,5,37/64 (58%),17/44 (39%),4/8 (50%),67%,15,13,,18,,2,,,,,8
9671875,53,37642,NORMAL,REGULAR,Round 3,LEAGUE,491246,Reggina 1914,Visita,1ST,11/09/2021,3,1,43%,0.00,1,3,2,0,,164,8,6,2,,1,0,1,1,2,1,1,,,,2,0,118,10,32,,9/32 (28%),2/9 (22%),49%,3,15/28 (54%),8/19 (42%),1/3 (33%),63%,8,5,,8,,2,,,,,6
9671875,53,37642,NORMAL,REGULAR,Round 3,LEAGUE,491246,Reggina 1914,Visita,2ND,11/09/2021,3,0,47%,0.00,0,3,0,1,,191,7,13,2,,1,0,2,0,1,2,0,,,,2,1,138,9,35,,16/36 (44%),0/9 (0%),51%,2,22/36 (61%),9/25 (36%),3/5 (60%),71%,7,8,,10,,0,,,,,2
9671889,53,37642,NORMAL,REGULAR,Round 4,LEAGUE,2691,Brescia,Local,ALL,17/09/2021,4,2,44%,0.00,1,14,1,3,14,395,19,11,1,,3,0,7,4,9,5,1,,0,,1,1,302,23,64,,33/68 (49%),5/13 (38%),51%,6,37/69 (54%),22/46 (48%),8/16 (50%),58%,19,16,,22,,1,,,,,6
9671889,53,37642,NORMAL,REGULAR,Round 4,LEAGUE,2691,Brescia,Local,1ST,17/09/2021,4,1,41%,0.00,1,6,0,0,,179,10,6,1,,1,0,3,2,2,4,1,,0,,0,1,138,11,27,,14/29 (48%),0/3 (0%),58%,2,21/37 (57%),10/16 (63%),5/10 (50%),50%,10,9,,10,,0,,,,,3
9671889,53,37642,NORMAL,REGULAR,Round 4,LEAGUE,2691,Brescia,Local,2ND,17/09/2021,4,,47%,0.00,0,8,1,3,,216,9,5,0,,2,0,4,2,7,1,0,,0,,1,0,164,12,37,,19/39 (49%),5/10 (50%),45%,4,16/32 (50%),12/30 (40%),3/6 (50%),67%,9,7,,12,,1,,,,,3
9671889,53,37642,NORMAL,REGULAR,Round 4,LEAGUE,2718,FC Crotone,Visita,ALL,17/09/2021,4,2,56%,0.00,1,9,1,7,11,498,14,14,4,,3,0,3,3,5,4,1,,2,,3,1,395,24,59,,41/75 (55%),4/19 (21%),49%,11,32/69 (46%),24/46 (52%),4/12 (33%),71%,14,9,,12,,1,,,,,13
9671889,53,37642,NORMAL,REGULAR,Round 4,LEAGUE,2718,FC Crotone,Visita,1ST,17/09/2021,4,0,59%,0.00,0,4,0,6,,252,7,7,2,,0,0,2,2,2,2,0,,0,,0,1,201,12,31,,27/44 (61%),2/12 (17%),42%,6,16/37 (43%),6/16 (38%),2/6 (33%),71%,7,6,,3,,0,,,,,6
9671889,53,37642,NORMAL,REGULAR,Round 4,LEAGUE,2718,FC Crotone,Visita,2ND,17/09/2021,4,,53%,0.00,1,5,1,1,,246,7,7,2,,3,0,1,1,3,2,1,,2,,3,0,194,12,28,,14/31 (45%),2/7 (29%),55%,5,16/32 (50%),18/30 (60%),2/6 (33%),71%,7,3,,9,,1,,,,,7
9671871,53,37642,NORMAL,REGULAR,Round 5,LEAGUE,2718,FC Crotone,Local,ALL,21/09/2021,5,0,62%,0.00,1,18,0,10,13,538,12,15,1,,3,0,10,5,13,5,0,1,,,3,0,453,27,96,,42/66 (64%),11/33 (33%),48%,14,30/71 (42%),25/43 (58%),4/12 (33%),58%,12,5,,6,,0,,,,,8
9671871,53,37642,NORMAL,REGULAR,Round 5,LEAGUE,2718,FC Crotone,Local,1ST,21/09/2021,5,0,61%,0.00,0,9,0,4,,252,6,7,1,,1,0,5,3,8,1,0,0,,,1,0,210,15,40,,20/34 (59%),7/15 (47%),45%,9,13/35 (37%),13/23 (57%),1/3 (33%),50%,6,2,,3,,0,,,,,2
9671871,53,37642,NORMAL,REGULAR,Round 5,LEAGUE,2718,FC Crotone,Local,2ND,21/09/2021,5,,63%,0.00,1,9,0,6,,286,6,8,0,,2,0,5,2,5,4,0,1,,,2,0,243,12,56,,22/32 (69%),4/18 (22%),52%,5,17/36 (47%),12/20 (60%),3/9 (33%),67%,6,3,,3,,0,,,,,6
9671871,53,37642,NORMAL,REGULAR,Round 5,LEAGUE,2689,Lecce,Visita,ALL,21/09/2021,5,3,38%,0.00,4,9,3,3,15,342,22,13,2,,3,0,5,1,6,3,3,1,,,0,1,242,28,46,,37/87 (43%),1/7 (14%),52%,8,41/71 (58%),18/43 (42%),7/11 (64%),36%,22,11,,31,,3,,,,,10
9671871,53,37642,NORMAL,REGULAR,Round 5,LEAGUE,2689,Lecce,Visita,1ST,21/09/2021,5,2,39%,0.00,2,5,1,1,,168,11,8,1,,2,0,2,1,2,3,2,0,,,0,0,122,12,25,,27/50 (54%),0/2 (0%),55%,3,22/35 (63%),10/23 (43%),4/7 (57%),18%,11,6,,12,,1,,,,,6
9671871,53,37642,NORMAL,REGULAR,Round 5,LEAGUE,2689,Lecce,Visita,2ND,21/09/2021,5,,37%,0.00,2,4,2,2,,174,11,5,1,,1,0,3,0,4,0,1,1,,,0,1,120,16,21,,10/37 (27%),1/5 (20%),48%,5,19/36 (53%),8/20 (40%),3/4 (75%),55%,11,5,,19,,2,,,,,4
9698810,53,37642,NORMAL,REGULAR,Round 6,LEAGUE,2716,Cosenza,Local,ALL,25/09/2021,6,1,34%,0.00,,8,4,1,8,276,13,13,1,,6,0,1,1,2,6,,,0,,2,1,186,26,35,,18/62 (29%),0/3 (0%),54%,6,33/64 (52%),20/34 (59%),7/15 (47%),69%,13,12,,24,,4,,,,,8
9698810,53,37642,NORMAL,REGULAR,Round 6,LEAGUE,2716,Cosenza,Local,1ST,25/09/2021,6,0,29%,0.00,,2,2,0,,128,3,3,1,,1,0,1,0,1,1,,,0,,0,1,77,8,17,,4/30 (13%),0/0 (0%),52%,2,10/26 (38%),14/20 (70%),4/9 (44%),100%,3,7,,12,,2,,,,,8
9698810,53,37642,NORMAL,REGULAR,Round 6,LEAGUE,2716,Cosenza,Local,2ND,25/09/2021,6,,39%,0.00,,6,2,1,,148,10,10,0,,5,0,0,1,1,5,,,0,,2,0,109,18,18,,14/32 (44%),0/3 (0%),56%,4,23/38 (61%),6/14 (43%),3/6 (50%),60%,10,5,,12,,2,,,,,0
9698810,53,37642,NORMAL,REGULAR,Round 6,LEAGUE,2718,FC Crotone,Visita,ALL,25/09/2021,6,0,66%,0.00,,13,5,4,13,526,14,8,4,,4,0,5,4,8,5,,,1,,2,2,438,25,76,,33/56 (59%),2/18 (11%),46%,9,31/64 (48%),14/34 (41%),9/13 (69%),64%,14,6,,7,,5,,,,,3
9698810,53,37642,NORMAL,REGULAR,Round 6,LEAGUE,2718,FC Crotone,Visita,1ST,25/09/2021,6,0,71%,0.00,,10,1,4,,302,7,5,1,,2,0,4,4,5,5,,,1,,1,2,253,14,40,,17/31 (55%),1/12 (8%),48%,2,16/26 (62%),6/20 (30%),4/5 (80%),57%,7,2,,1,,1,,,,,1
9698810,53,37642,NORMAL,REGULAR,Round 6,LEAGUE,2718,FC Crotone,Visita,2ND,25/09/2021,6,,61%,0.00,,3,4,0,,224,7,3,3,,2,0,1,0,3,0,,,0,,1,0,185,11,36,,16/25 (64%),1/6 (17%),44%,7,15/38 (39%),8/14 (57%),5/8 (63%),71%,7,4,,6,,4,,,,,2
9671928,53,37642,NORMAL,REGULAR,Round 7,LEAGUE,2718,FC Crotone,Local,ALL,02/10/2021,7,2,37%,0.00,2,9,4,5,18,261,19,17,3,1,3,0,4,2,8,1,2,,2,,5,4,188,20,42,,18/51 (35%),5/9 (56%),51%,12,40/78 (51%),16/32 (50%),6/8 (75%),63%,19,13,,20,,4,,,,,7
9671928,53,37642,NORMAL,REGULAR,Round 7,LEAGUE,2718,FC Crotone,Local,1ST,02/10/2021,7,2,45%,0.00,2,7,0,3,,176,10,9,2,0,3,0,3,1,7,0,2,,1,,4,2,141,11,22,,12/20 (60%),3/7 (43%),56%,5,22/42 (52%),10/15 (67%),5/6 (83%),60%,10,7,,8,,0,,,,,1
9671928,53,37642,NORMAL,REGULAR,Round 7,LEAGUE,2718,FC Crotone,Local,2ND,02/10/2021,7,,27%,0.00,0,2,4,2,,85,9,8,1,1,0,0,1,1,1,1,0,,1,,1,2,47,9,20,,6/31 (19%),2/2 (100%),45%,7,18/36 (50%),6/17 (35%),1/2 (50%),67%,9,6,,12,,4,,,,,6
9671928,53,37642,NORMAL,REGULAR,Round 7,LEAGUE,2707,Ascoli,Visita,ALL,02/10/2021,7,2,63%,0.00,2,15,1,11,18,435,14,17,4,0,6,0,3,6,10,5,2,,1,,4,2,371,27,57,,28/45 (62%),4/27 (15%),49%,11,38/78 (49%),16/32 (50%),7/15 (47%),79%,14,7,,7,,1,,,,,5
9671928,53,37642,NORMAL,REGULAR,Round 7,LEAGUE,2707,Ascoli,Visita,1ST,02/10/2021,7,1,55%,0.00,1,2,1,2,,218,6,11,2,0,1,0,1,0,1,1,1,,1,,2,1,181,15,24,,13/24 (54%),0/9 (0%),44%,7,20/42 (48%),5/15 (33%),3/6 (50%),83%,6,5,,6,,1,,,,,3
9671928,53,37642,NORMAL,REGULAR,Round 7,LEAGUE,2707,Ascoli,Visita,2ND,02/10/2021,7,,73%,0.00,1,13,0,9,,217,8,6,2,0,5,0,2,6,9,4,1,,0,,2,1,190,12,33,,15/21 (71%),4/18 (22%),55%,4,18/36 (50%),11/17 (65%),4/9 (44%),75%,8,2,,1,,0,,,,,2
9671934,53,37642,NORMAL,REGULAR,Round 8,LEAGUE,2718,FC Crotone,Local,ALL,16/10/2021,8,2,43%,0.00,2,10,5,3,18,279,15,13,4,,4,0,3,3,5,5,1,1,1,,2,2,175,30,51,,21/64 (33%),0/13 (0%),43%,11,33/75 (44%),13/31 (42%),5/9 (56%),40%,15,11,,21,,5,,,,,13
9671934,53,37642,NORMAL,REGULAR,Round 8,LEAGUE,2718,FC Crotone,Local,1ST,16/10/2021,8,2,42%,0.00,1,6,2,3,,120,6,6,2,,4,0,1,1,3,3,1,0,1,,1,1,78,18,24,,7/27 (26%),0/7 (0%),42%,6,13/35 (37%),9/18 (50%),1/3 (33%),17%,6,4,,4,,2,,,,,4
9671934,53,37642,NORMAL,REGULAR,Round 8,LEAGUE,2718,FC Crotone,Local,2ND,16/10/2021,8,,43%,0.00,1,4,3,0,,159,9,7,2,,0,0,2,2,2,2,0,1,0,,1,1,97,12,27,,14/37 (38%),0/6 (0%),45%,5,20/40 (50%),4/13 (31%),4/6 (67%),56%,9,7,,17,,3,,,,,9
9671934,53,37642,NORMAL,REGULAR,Round 8,LEAGUE,2737,Pisa,Visita,ALL,16/10/2021,8,1,57%,0.00,3,20,2,12,13,344,15,17,1,,6,0,10,4,12,8,0,3,0,,6,3,253,21,60,,31/67 (46%),12/42 (29%),57%,9,42/75 (56%),18/31 (58%),10/16 (63%),33%,15,5,,9,,2,,,,,11
9671934,53,37642,NORMAL,REGULAR,Round 8,LEAGUE,2737,Pisa,Visita,1ST,16/10/2021,8,1,58%,0.00,2,9,2,2,,161,8,11,0,,3,0,5,1,7,2,0,2,0,,4,1,114,8,34,,14/33 (42%),8/13 (62%),58%,4,22/35 (63%),9/18 (50%),3/5 (60%),25%,8,0,,5,,2,,,,,8
9671934,53,37642,NORMAL,REGULAR,Round 8,LEAGUE,2737,Pisa,Visita,2ND,16/10/2021,8,,57%,0.00,1,11,0,10,,183,7,6,1,,3,0,5,3,5,6,0,1,0,,2,2,139,13,26,,17/34 (50%),4/29 (14%),55%,5,20/40 (50%),9/13 (69%),7/11 (64%),43%,7,5,,4,,0,,,,,3
9671911,53,37642,NORMAL,REGULAR,Round 9,LEAGUE,25155,Alessandria,Local,ALL,22/10/2021,9,1,40%,0.00,4,19,3,13,16,234,10,14,4,0,7,0,2,10,11,8,1,3,0,,3,1,138,24,41,,22/65 (34%),8/22 (36%),53%,8,31/66 (47%),27/44 (61%),7/11 (64%),30%,10,13,,24,,3,,,,,8
9671911,53,37642,NORMAL,REGULAR,Round 9,LEAGUE,25155,Alessandria,Local,1ST,22/10/2021,9,1,46%,0.00,2,11,3,9,,125,4,7,2,0,5,0,0,6,5,6,1,1,0,,1,1,81,14,19,,10/27 (37%),5/14 (36%),55%,5,18/36 (50%),12/19 (63%),7/9 (78%),0%,4,6,,8,,3,,,,,5
9671911,53,37642,NORMAL,REGULAR,Round 9,LEAGUE,25155,Alessandria,Local,2ND,22/10/2021,9,,35%,0.00,2,8,0,4,,109,6,7,2,0,2,0,2,4,6,2,0,2,0,,2,0,57,10,22,,12/38 (32%),3/8 (38%),51%,3,13/30 (43%),15/25 (60%),0/2 (0%),50%,6,7,,16,,0,,,,,3
9671911,53,37642,NORMAL,REGULAR,Round 9,LEAGUE,2718,FC Crotone,Visita,ALL,22/10/2021,9,0,60%,0.00,1,14,6,7,15,360,12,15,2,1,3,1,6,5,7,7,0,1,1,,4,0,259,26,67,,28/62 (45%),4/18 (22%),47%,3,35/66 (53%),17/44 (39%),8/15 (53%),75%,12,11,,20,,6,,,,,6
9671911,53,37642,NORMAL,REGULAR,Round 9,LEAGUE,2718,FC Crotone,Visita,1ST,22/10/2021,9,0,54%,0.00,1,10,4,5,,154,7,8,2,0,3,1,5,2,7,3,0,1,0,,2,0,103,7,23,,15/32 (47%),4/11 (36%),45%,1,18/36 (50%),7/19 (37%),3/6 (50%),71%,7,6,,14,,4,,,,,2
9671911,53,37642,NORMAL,REGULAR,Round 9,LEAGUE,2718,FC Crotone,Visita,2ND,22/10/2021,9,,65%,0.00,0,4,2,2,,206,5,7,0,1,0,0,1,3,0,4,0,0,1,,2,0,156,19,44,,13/30 (43%),0/7 (0%),49%,2,17/30 (57%),10/25 (40%),5/9 (56%),80%,5,5,,6,,2,,,,,4
9671961,53,37642,NORMAL,REGULAR,Round 10,LEAGUE,2718,FC Crotone,Local,ALL,28/10/2021,10,0,51%,0.00,1,5,3,6,12,401,15,12,3,1,2,0,2,1,2,3,0,1,1,,1,2,305,33,56,,23/53 (43%),4/18 (22%),48%,6,35/65 (54%),14/38 (37%),8/16 (50%),60%,15,10,,12,,3,,,,,8
9671961,53,37642,NORMAL,REGULAR,Round 10,LEAGUE,2718,FC Crotone,Local,1ST,28/10/2021,10,0,51%,0.00,1,2,0,4,,173,7,6,1,0,2,0,0,0,2,0,0,1,1,,0,0,124,17,22,,11/26 (42%),3/8 (38%),48%,0,18/31 (58%),4/15 (27%),5/9 (56%),57%,7,4,,6,,0,,,,,6
9671961,53,37642,NORMAL,REGULAR,Round 10,LEAGUE,2718,FC Crotone,Local,2ND,28/10/2021,10,,51%,0.00,0,3,3,2,,228,8,6,2,1,0,0,2,1,0,3,0,0,0,,1,2,181,16,34,,12/27 (44%),1/10 (10%),47%,6,17/34 (50%),10/23 (43%),3/7 (43%),63%,8,6,,6,,3,,,,,2
9671961,53,37642,NORMAL,REGULAR,Round 10,LEAGUE,2759,Benevento,Visita,ALL,28/10/2021,10,2,49%,0.00,1,13,2,3,12,391,14,12,1,0,5,0,6,2,6,7,1,0,0,,2,4,299,22,38,,32/72 (44%),1/11 (9%),52%,9,30/65 (46%),24/38 (63%),5/11 (45%),43%,14,8,,24,,2,,,,,6
9671961,53,37642,NORMAL,REGULAR,Round 10,LEAGUE,2759,Benevento,Visita,1ST,28/10/2021,10,1,49%,0.00,0,4,2,1,,164,4,8,0,0,1,0,3,0,2,2,0,0,0,,0,2,119,14,20,,12/31 (39%),1/8 (13%),52%,5,13/31 (42%),11/15 (73%),1/3 (33%),50%,4,5,,10,,2,,,,,3
9671961,53,37642,NORMAL,REGULAR,Round 10,LEAGUE,2759,Benevento,Visita,2ND,28/10/2021,10,,49%,0.00,1,9,0,2,,227,10,4,1,0,4,0,3,2,4,5,1,0,0,,2,2,180,8,18,,20/41 (49%),0/3 (0%),53%,4,17/34 (50%),13/23 (57%),4/8 (50%),40%,10,3,,14,,0,,,,,3
