Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9701196,328,37611,NORMAL,REGULAR,Regular Season,CUP,111205,Pordenone,Local,ALL,13/08/2021,,1,40%,0.00,1,13,3,3,12,345,17,17,3,,6,0,4,3,9,4,1,,0,,1,1,248,30,47,,22/57 (39%),3/14 (21%),55%,8,42/78 (54%),26/46 (57%),8/19 (42%),76%,17,18,,23,,3,,,,,7
9701196,328,37611,NORMAL,REGULAR,Regular Season,CUP,111205,Pordenone,Local,1ST,13/08/2021,,0,32%,0.00,0,4,3,2,,145,12,8,1,,1,0,2,1,4,0,0,,0,,0,1,101,14,20,,12/29 (41%),1/6 (17%),64%,4,28/44 (64%),11/17 (65%),8/13 (62%),67%,12,10,,15,,3,,,,,3
9701196,328,37611,NORMAL,REGULAR,Regular Season,CUP,111205,Pordenone,Local,2ND,13/08/2021,,1,49%,0.00,1,9,0,1,,200,5,9,2,,5,0,2,2,5,4,1,,0,,1,0,147,16,27,,10/28 (36%),2/8 (25%),46%,4,14/34 (41%),15/29 (52%),0/6 (0%),100%,5,8,,8,,0,,,,,4
9701196,328,37611,NORMAL,REGULAR,Regular Season,CUP,2735,Spezia,Visita,ALL,13/08/2021,,3,60%,0.00,1,11,5,6,18,520,19,9,1,,6,1,5,0,7,4,1,,1,,2,1,399,25,57,,23/61 (38%),4/18 (22%),45%,10,36/78 (46%),20/46 (43%),8/15 (53%),89%,19,15,,11,,5,,,,,7
9701196,328,37611,NORMAL,REGULAR,Regular Season,CUP,2735,Spezia,Visita,1ST,13/08/2021,,2,68%,0.00,0,7,1,5,,308,9,2,0,,5,0,2,0,4,3,0,,1,,0,0,253,13,28,,9/18 (50%),2/14 (14%),36%,7,16/44 (36%),6/17 (35%),5/10 (50%),89%,9,8,,6,,1,,,,,2
9701196,328,37611,NORMAL,REGULAR,Regular Season,CUP,2735,Spezia,Visita,2ND,13/08/2021,,1,51%,0.00,1,4,4,1,,212,10,7,1,,1,1,3,0,3,1,1,,0,,2,1,146,12,29,,14/43 (33%),2/4 (50%),54%,3,20/34 (59%),14/29 (48%),3/5 (60%),90%,10,7,,5,,4,,,,,5
9644904,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2719,Cagliari,Local,ALL,23/08/2021,1,2,59%,0.00,5,20,2,11,17,476,12,13,2,,9,0,6,5,16,4,1,4,,,3,1,380,21,66,,29/57 (51%),7/25 (28%),48%,8,39/78 (50%),17/38 (45%),14/21 (67%),67%,12,11,,19,,2,,,,,8
9644904,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2719,Cagliari,Local,1ST,23/08/2021,1,0,70%,0.00,2,8,1,8,,273,6,7,0,,4,0,4,0,7,1,0,2,,,2,1,231,10,33,,14/25 (56%),5/17 (29%),57%,2,20/34 (59%),5/10 (50%),7/9 (78%),67%,6,7,,4,,1,,,,,3
9644904,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2719,Cagliari,Local,2ND,23/08/2021,1,2,48%,0.00,3,12,1,3,,203,6,6,2,,5,0,2,5,9,3,1,2,,,1,0,149,11,33,,15/32 (47%),2/8 (25%),43%,6,19/44 (43%),12/28 (43%),7/12 (58%),67%,6,4,,15,,1,,,,,5
9644904,23,37475,NORMAL,REGULAR,Round 1,LEAGUE,2735,Spezia,Visita,ALL,23/08/2021,1,2,41%,0.00,1,12,6,4,15,338,15,15,3,,4,0,5,3,3,9,1,0,,,2,4,259,12,45,,18/52 (35%),2/13 (15%),52%,8,39/78 (50%),21/38 (55%),11/15 (73%),33%,15,10,,26,,6,,,,,13
