Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10650650,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Local,ALL,05/11/2022,12,3,,,,,,5,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650650,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Local,1ST,05/11/2022,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650650,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Local,2ND,05/11/2022,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650650,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2782,Gubbio,Visita,ALL,05/11/2022,12,0,,,,,,1,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650650,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2782,Gubbio,Visita,1ST,05/11/2022,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650650,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2782,Gubbio,Visita,2ND,05/11/2022,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650668,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,43680,Virtus Entella,Local,ALL,14/11/2022,13,0,,,,,,5,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650668,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,43680,Virtus Entella,Local,1ST,14/11/2022,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650668,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,43680,Virtus Entella,Local,2ND,14/11/2022,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650668,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Visita,ALL,14/11/2022,13,0,,,,,,6,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650668,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Visita,1ST,14/11/2022,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650668,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Visita,2ND,14/11/2022,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650671,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Local,ALL,20/11/2022,14,0,,,,,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650671,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Local,1ST,20/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650671,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2742,Cesena,Local,2ND,20/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650671,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2721,Ancona,Visita,ALL,20/11/2022,14,1,,,,,,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650671,11447,45565,NORMAL,GROUP,"Serie C, Group B",LEAGUE,2721,Ancona,Visita,1ST,20/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
