Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10489342,53,44226,NORMAL,REGULAR,Round 1,LEAGUE,2691,Brescia,Local,ALL,14/08/2022,1,2,46%,0.00,1,8,4,4,17,393,10,5,1,,4,0,2,2,4,4,1,0,1,,2,3,306,29,73,,26/57 (46%),1/12 (8%),50%,7,22/49 (45%),20/35 (57%),7/12 (58%),50%,10,7,,18,,4,,,,,12
10489342,53,44226,NORMAL,REGULAR,Round 1,LEAGUE,2691,Brescia,Local,1ST,14/08/2022,1,1,62%,0.00,0,5,0,2,,260,4,4,0,,2,0,1,2,2,3,0,0,0,,1,1,213,17,55,,15/31 (48%),1/7 (14%),55%,2,13/28 (46%),14/21 (67%),5/8 (63%),50%,4,5,,4,,0,,,,,4
10489342,53,44226,NORMAL,REGULAR,Round 1,LEAGUE,2691,Brescia,Local,2ND,14/08/2022,1,1,31%,0.00,1,3,4,2,,133,6,1,1,,2,0,1,0,2,1,1,0,1,,1,2,93,12,18,,11/26 (42%),0/5 (0%),43%,5,9/21 (43%),6/14 (43%),2/4 (50%),50%,6,2,,14,,4,,,,,8
10489342,53,44226,NORMAL,REGULAR,Round 1,LEAGUE,2760,Südtirol,Visita,ALL,14/08/2022,1,0,54%,0.00,2,20,2,5,5,455,12,13,1,,4,0,8,8,11,9,0,2,0,,4,2,365,21,67,,36/68 (53%),7/22 (32%),50%,7,27/49 (55%),15/35 (43%),2/5 (40%),58%,12,8,,11,,2,,,,,5
10489342,53,44226,NORMAL,REGULAR,Round 1,LEAGUE,2760,Südtirol,Visita,1ST,14/08/2022,1,0,38%,0.00,0,3,1,0,,155,5,9,1,,0,0,2,1,1,2,0,0,0,,1,0,108,10,24,,12/34 (35%),2/6 (33%),45%,2,15/28 (54%),7/21 (33%),1/3 (33%),40%,5,3,,8,,1,,,,,4
10489342,53,44226,NORMAL,REGULAR,Round 1,LEAGUE,2760,Südtirol,Visita,2ND,14/08/2022,1,0,69%,0.00,2,17,1,5,,300,7,4,0,,4,0,6,7,10,7,0,2,0,,3,2,257,11,43,,24/34 (71%),5/16 (31%),57%,5,12/21 (57%),8/14 (57%),1/2 (50%),71%,7,5,,3,,1,,,,,1
10489358,53,44226,NORMAL,REGULAR,Round 2,LEAGUE,2760,Südtirol,Local,ALL,21/08/2022,2,1,37%,0.00,2,5,5,1,8,370,21,11,0,,1,0,4,0,3,2,1,1,,,0,,291,14,39,,33/62 (53%),2/3 (67%),52%,7,35/67 (52%),11/21 (52%),3/13 (23%),57%,21,5,,26,,5,,,,,19
10489358,53,44226,NORMAL,REGULAR,Round 2,LEAGUE,2760,Südtirol,Local,1ST,21/08/2022,2,0,41%,0.00,1,2,1,0,,219,12,5,0,,0,0,2,0,1,1,0,1,,,0,,176,4,18,,18/32 (56%),1/2 (50%),59%,3,18/33 (55%),5/6 (83%),1/5 (20%),58%,12,2,,7,,1,,,,,9
10489358,53,44226,NORMAL,REGULAR,Round 2,LEAGUE,2760,Südtirol,Local,2ND,21/08/2022,2,1,32%,0.00,1,3,4,1,,151,9,6,0,,1,0,2,0,2,1,1,0,,,0,,115,10,21,,15/30 (50%),1/1 (100%),47%,4,17/34 (50%),6/15 (40%),2/8 (25%),56%,9,3,,19,,4,,,,,10
10489358,53,44226,NORMAL,REGULAR,Round 2,LEAGUE,2688,Venezia,Visita,ALL,21/08/2022,2,2,63%,0.00,0,19,0,8,12,624,17,7,3,,6,0,8,5,9,10,0,0,,,1,,564,17,107,,29/50 (58%),5/29 (17%),48%,10,32/67 (48%),10/21 (48%),8/19 (42%),76%,17,11,,7,,0,,,,,9
10489358,53,44226,NORMAL,REGULAR,Round 2,LEAGUE,2688,Venezia,Visita,1ST,21/08/2022,2,0,59%,0.00,0,4,0,3,,318,7,4,1,,1,0,2,1,3,1,0,0,,,0,,284,8,44,,13/23 (57%),1/11 (9%),41%,8,15/33 (45%),1/6 (17%),4/8 (50%),86%,7,6,,2,,0,,,,,5
10489358,53,44226,NORMAL,REGULAR,Round 2,LEAGUE,2688,Venezia,Visita,2ND,21/08/2022,2,2,68%,0.00,0,15,0,5,,306,10,3,2,,5,0,6,4,6,9,0,0,,,1,,280,9,63,,16/27 (59%),4/18 (22%),53%,2,17/34 (50%),9/15 (60%),4/11 (36%),70%,10,5,,5,,0,,,,,4
10489368,53,44226,NORMAL,REGULAR,Round 3,LEAGUE,491246,Reggina 1914,Local,ALL,28/08/2022,3,4,51%,0.00,4,16,1,3,13,463,7,16,2,0,9,2,5,2,14,2,2,2,,,6,,402,12,58,,15/37 (41%),3/14 (21%),51%,7,31/63 (49%),13/24 (54%),9/15 (60%),57%,7,10,,18,,1,,,,,3
10489368,53,44226,NORMAL,REGULAR,Round 3,LEAGUE,491246,Reggina 1914,Local,1ST,28/08/2022,3,2,56%,0.00,1,8,1,3,,207,4,9,1,0,5,2,2,1,7,1,1,0,,,4,,175,4,37,,8/25 (32%),3/10 (30%),50%,3,15/29 (52%),7/15 (47%),2/7 (29%),50%,4,5,,15,,1,,,,,0
10489368,53,44226,NORMAL,REGULAR,Round 3,LEAGUE,491246,Reggina 1914,Local,2ND,28/08/2022,3,2,48%,0.00,3,8,0,0,,256,3,7,1,0,4,0,3,1,7,1,1,2,,,2,,227,8,21,,7/12 (58%),0/4 (0%),51%,4,16/34 (47%),6/9 (67%),7/8 (88%),67%,3,5,,3,,0,,,,,3
10489368,53,44226,NORMAL,REGULAR,Round 3,LEAGUE,2760,Südtirol,Visita,ALL,28/08/2022,3,0,49%,0.00,0,6,6,4,16,439,13,13,4,1,1,1,1,4,4,2,0,0,,,0,,363,19,35,,26/52 (50%),3/11 (27%),49%,2,32/63 (51%),11/24 (46%),6/11 (55%),54%,13,15,,12,,6,,,,,8
10489368,53,44226,NORMAL,REGULAR,Round 3,LEAGUE,2760,Südtirol,Visita,1ST,28/08/2022,3,0,44%,0.00,0,3,3,1,,162,8,6,2,1,1,0,0,2,2,1,0,0,,,0,,118,9,18,,9/25 (36%),1/6 (17%),50%,2,14/29 (48%),8/15 (53%),0/2 (0%),50%,8,8,,8,,3,,,,,5
10489368,53,44226,NORMAL,REGULAR,Round 3,LEAGUE,2760,Südtirol,Visita,2ND,28/08/2022,3,0,52%,0.00,0,3,3,3,,277,5,7,2,0,0,1,1,2,2,1,0,0,,,0,,245,10,17,,17/27 (63%),2/5 (40%),49%,0,18/34 (53%),3/9 (33%),6/9 (67%),60%,5,7,,4,,3,,,,,3
10489377,53,44226,NORMAL,REGULAR,Round 4,LEAGUE,2760,Südtirol,Local,ALL,04/09/2022,4,2,31%,0.00,2,8,0,7,19,201,14,20,3,,6,0,0,2,5,3,2,0,,,6,1,129,15,52,,27/66 (41%),6/18 (33%),47%,4,35/73 (48%),13/29 (45%),1/15 (7%),64%,14,4,,21,,0,,,,,14
10489377,53,44226,NORMAL,REGULAR,Round 4,LEAGUE,2760,Südtirol,Local,1ST,04/09/2022,4,1,28%,0.00,1,6,0,4,,100,6,9,2,,4,0,0,2,4,2,1,0,,,3,1,66,7,21,,11/29 (38%),3/9 (33%),54%,0,16/30 (53%),6/11 (55%),1/7 (14%),100%,6,2,,10,,0,,,,,5
10489377,53,44226,NORMAL,REGULAR,Round 4,LEAGUE,2760,Südtirol,Local,2ND,04/09/2022,4,1,36%,0.00,1,2,0,3,,101,8,11,1,,2,0,0,0,1,1,1,0,,,3,0,63,8,31,,16/37 (43%),3/9 (33%),43%,4,19/43 (44%),7/18 (39%),0/8 (0%),38%,8,2,,11,,0,,,,,9
10489377,53,44226,NORMAL,REGULAR,Round 4,LEAGUE,2737,Pisa,Visita,ALL,04/09/2022,4,1,69%,0.00,1,12,4,5,23,458,18,16,2,,1,1,9,2,7,5,0,1,,,4,0,390,25,59,,20/40 (50%),7/26 (27%),53%,4,38/73 (52%),16/29 (55%),4/14 (29%),50%,18,5,,11,,4,,,,,4
10489377,53,44226,NORMAL,REGULAR,Round 4,LEAGUE,2737,Pisa,Visita,1ST,04/09/2022,4,1,72%,0.00,1,8,3,2,,275,6,6,0,,1,1,6,1,5,3,0,1,,,1,0,240,11,26,,9/21 (43%),4/10 (40%),46%,1,14/30 (47%),5/11 (45%),2/7 (29%),83%,6,0,,7,,3,,,,,3
