Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9707987,328,37611,NORMAL,REGULAR,Regular Season,CUP,2701,Hellas Verona,Local,ALL,14/08/2021,,3,60%,0.00,2,13,3,5,12,590,18,11,1,,6,0,7,0,8,5,,2,,,2,0,512,12,74,,23/36 (64%),2/11 (18%),63%,5,37/61 (61%),4/4 (100%),8/15 (53%),83%,18,14,,8,,3,,,,,4
9707987,328,37611,NORMAL,REGULAR,Regular Season,CUP,2701,Hellas Verona,Local,1ST,14/08/2021,,3,67%,0.00,0,6,0,2,,312,7,7,1,,3,0,3,0,4,2,,0,,,2,0,274,5,35,,13/22 (59%),1/5 (20%),64%,3,21/34 (62%),2/2 (100%),7/9 (78%),100%,7,7,,0,,0,,,,,2
9707987,328,37611,NORMAL,REGULAR,Regular Season,CUP,2701,Hellas Verona,Local,2ND,14/08/2021,,0,55%,0.00,2,7,3,3,,278,11,4,0,,3,0,4,0,4,3,,2,,,0,0,238,7,39,,10/14 (71%),1/6 (17%),62%,2,16/27 (59%),2/2 (100%),1/6 (17%),73%,11,7,,8,,3,,,,,2
9707987,328,37611,NORMAL,REGULAR,Regular Season,CUP,2796,Catanzaro,Visita,ALL,14/08/2021,,0,40%,0.00,2,7,4,2,11,384,12,11,0,,3,1,4,0,5,2,,2,,,0,2,302,15,44,,31/63 (49%),1/6 (17%),37%,11,24/61 (39%),0/4 (0%),1/8 (13%),92%,12,22,,7,,4,,,,,13
9707987,328,37611,NORMAL,REGULAR,Regular Season,CUP,2796,Catanzaro,Visita,1ST,14/08/2021,,0,33%,0.00,0,2,1,0,,155,5,7,0,,0,0,2,0,1,1,,0,,,0,2,116,6,16,,10/26 (38%),1/1 (100%),36%,5,13/34 (38%),0/2 (0%),1/3 (33%),100%,5,6,,3,,1,,,,,7
9707987,328,37611,NORMAL,REGULAR,Regular Season,CUP,2796,Catanzaro,Visita,2ND,14/08/2021,,0,45%,0.00,2,5,3,2,,229,7,4,0,,3,1,2,0,4,1,,2,,,0,0,186,9,28,,21/37 (57%),0/5 (0%),38%,6,11/27 (41%),0/2 (0%),0/5 (0%),86%,7,16,,4,,3,,,,,6
10447717,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2706,Modena,Local,ALL,31/07/2022,1,3,,,,,,3,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447717,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2706,Modena,Local,1ST,31/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447717,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2706,Modena,Local,2ND,31/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447717,328,42742,NORMAL,PLAYOFF,Qualification round 1,CUP,2796,Catanzaro,Visita,ALL,31/07/2022,1,1,,,,,,6,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
