Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9564929,38,36894,NORMAL,REGULAR,Round 29,LEAGUE,2888,Club Brugge KV,Local,ALL,27/02/2022,29,4,49%,0.00,1,17,1,7,18,458,21,10,3,,9,0,2,6,13,4,1,0,,,2,1,390,35,52,,30/47 (64%),3/12 (25%),42%,11,37/88 (42%),9/21 (43%),6/23 (26%),62%,21,15,,7,,1,,,,,7
9564929,38,36894,NORMAL,REGULAR,Round 29,LEAGUE,2888,Club Brugge KV,Local,1ST,27/02/2022,29,2,49%,0.00,1,11,0,4,,223,12,6,1,,5,0,1,5,9,2,1,0,,,2,1,189,14,23,,13/21 (62%),1/5 (20%),45%,4,20/45 (44%),5/10 (50%),2/10 (20%),50%,12,7,,3,,0,,,,,5
9564929,38,36894,NORMAL,REGULAR,Round 29,LEAGUE,2888,Club Brugge KV,Local,2ND,27/02/2022,29,2,49%,0.00,0,6,1,3,,235,9,4,2,,4,0,1,1,4,2,0,0,,,0,0,201,21,29,,17/26 (65%),2/7 (29%),39%,7,17/43 (40%),4/11 (36%),4/13 (31%),78%,9,8,,4,,1,,,,,2
9564929,38,36894,NORMAL,REGULAR,Round 29,LEAGUE,2889,Royal Antwerp FC,Visita,ALL,27/02/2022,29,1,51%,0.00,2,8,5,3,11,478,28,18,2,,3,0,2,3,5,3,1,1,,,0,2,401,24,49,,42/66 (64%),3/12 (25%),58%,7,51/88 (58%),12/21 (57%),6/20 (30%),68%,28,10,,9,,5,,,,,2
9564929,38,36894,NORMAL,REGULAR,Round 29,LEAGUE,2889,Royal Antwerp FC,Visita,1ST,27/02/2022,29,1,51%,0.00,1,4,3,2,,228,12,9,1,,2,0,1,1,2,2,1,0,,,0,0,193,11,27,,18/30 (60%),2/8 (25%),55%,2,25/45 (56%),5/10 (50%),4/14 (29%),75%,12,5,,6,,3,,,,,0
9564929,38,36894,NORMAL,REGULAR,Round 29,LEAGUE,2889,Royal Antwerp FC,Visita,2ND,27/02/2022,29,0,51%,0.00,1,4,2,1,,250,16,9,1,,1,0,1,2,3,1,0,1,,,0,2,208,13,22,,24/36 (67%),1/4 (25%),61%,5,26/43 (60%),7/11 (64%),2/6 (33%),63%,16,5,,3,,2,,,,,2
9564934,38,36894,NORMAL,REGULAR,Round 31,LEAGUE,2888,Club Brugge KV,Visita,ALL,12/03/2022,31,3,55%,0.00,6,10,3,4,8,504,26,11,2,,5,1,5,0,8,2,2,4,1,,2,6,392,27,55,,24/51 (47%),1/6 (17%),67%,8,46/74 (62%),22/28 (79%),9/16 (56%),65%,26,7,,23,,3,,,,,10
9564934,38,36894,NORMAL,REGULAR,Round 31,LEAGUE,2888,Club Brugge KV,Visita,1ST,12/03/2022,31,2,56%,0.00,3,4,1,3,,257,11,8,1,,3,0,1,0,3,1,2,1,0,,2,5,208,13,34,,13/21 (62%),1/6 (17%),70%,5,26/38 (68%),9/12 (75%),7/11 (64%),55%,11,1,,5,,1,,,,,4
9564934,38,36894,NORMAL,REGULAR,Round 31,LEAGUE,2888,Club Brugge KV,Visita,2ND,12/03/2022,31,1,53%,0.00,3,6,2,1,,247,15,3,1,,2,1,4,0,5,1,0,3,1,,0,1,184,14,21,,11/30 (37%),0/0 (0%),63%,3,20/36 (56%),13/16 (81%),2/5 (40%),73%,15,6,,18,,2,,,,,6
9564934,38,36894,NORMAL,REGULAR,Round 31,LEAGUE,4494,KV Oostende,Local,ALL,12/03/2022,31,1,45%,0.00,1,16,1,6,11,405,15,6,1,,4,1,5,7,6,10,0,1,0,,2,4,313,27,78,,36/70 (51%),2/17 (12%),33%,19,28/74 (38%),6/28 (21%),7/14 (50%),73%,15,12,,13,,1,,,,,6
9564934,38,36894,NORMAL,REGULAR,Round 31,LEAGUE,4494,KV Oostende,Local,1ST,12/03/2022,31,1,44%,0.00,0,4,1,1,,198,9,1,1,,2,1,1,1,1,3,0,0,0,,1,2,158,8,41,,21/37 (57%),1/6 (17%),30%,7,12/38 (32%),3/12 (25%),2/6 (33%),56%,9,4,,10,,1,,,,,1
9564934,38,36894,NORMAL,REGULAR,Round 31,LEAGUE,4494,KV Oostende,Local,2ND,12/03/2022,31,0,47%,0.00,1,12,0,5,,207,6,5,0,,2,0,4,6,5,7,0,1,0,,1,2,155,19,37,,15/33 (45%),1/11 (9%),37%,12,16/36 (44%),3/16 (19%),5/8 (63%),100%,6,8,,3,,0,,,,,5
9564939,38,36894,NORMAL,REGULAR,Round 33,LEAGUE,2888,Club Brugge KV,Visita,ALL,01/04/2022,33,3,72%,0.00,8,22,0,5,8,777,12,9,0,,10,2,9,3,17,5,1,7,,,2,3,700,17,87,,33/48 (69%),8/16 (50%),54%,7,30/54 (56%),7/14 (50%),9/17 (53%),83%,12,8,,15,,0,,,,,2
9564939,38,36894,NORMAL,REGULAR,Round 33,LEAGUE,2888,Club Brugge KV,Visita,1ST,01/04/2022,33,1,69%,0.00,3,12,0,2,,395,6,3,0,,6,1,4,2,8,4,0,3,,,0,2,355,6,45,,14/20 (70%),3/5 (60%),62%,3,14/23 (61%),4/6 (67%),5/8 (63%),100%,6,3,,9,,0,,,,,1
9564939,38,36894,NORMAL,REGULAR,Round 33,LEAGUE,2888,Club Brugge KV,Visita,2ND,01/04/2022,33,2,74%,0.00,5,10,0,3,,382,6,6,0,,4,1,5,1,9,1,1,4,,,2,1,345,11,42,,19/28 (68%),5/11 (45%),49%,4,16/31 (52%),3/8 (38%),4/9 (44%),67%,6,5,,6,,0,,,,,1
9564939,38,36894,NORMAL,REGULAR,Round 33,LEAGUE,169260,K. Beerschot V.A.,Local,ALL,01/04/2022,33,1,28%,0.00,1,4,6,2,9,301,15,8,1,,1,0,3,0,2,2,1,0,,,1,3,219,27,47,,30/64 (47%),0/10 (0%),46%,9,24/54 (44%),7/14 (50%),1/4 (25%),60%,15,10,,22,,6,,,,,12
9564939,38,36894,NORMAL,REGULAR,Round 33,LEAGUE,169260,K. Beerschot V.A.,Local,1ST,01/04/2022,33,0,31%,0.00,0,1,4,1,,172,6,2,0,,0,0,1,0,0,1,0,0,,,0,0,127,13,25,,14/33 (42%),0/5 (0%),38%,4,9/23 (39%),2/6 (33%),1/3 (33%),67%,6,4,,9,,4,,,,,8
9564939,38,36894,NORMAL,REGULAR,Round 33,LEAGUE,169260,K. Beerschot V.A.,Local,2ND,01/04/2022,33,1,26%,0.00,1,3,2,1,,129,9,6,1,,1,0,2,0,2,1,1,0,,,1,3,92,14,22,,16/31 (52%),0/5 (0%),51%,5,15/31 (48%),5/8 (63%),0/1 (0%),56%,9,6,,13,,2,,,,,4
9564941,38,36894,NORMAL,REGULAR,Round 34,LEAGUE,2888,Club Brugge KV,Local,ALL,10/04/2022,34,2,49%,0.00,4,22,0,7,8,459,14,6,2,,8,1,9,5,15,7,1,3,1,,3,1,357,34,46,,25/53 (47%),7/12 (58%),53%,12,35/69 (51%),17/29 (59%),15/24 (63%),57%,14,15,,26,,0,,,,,7
9564941,38,36894,NORMAL,REGULAR,Round 34,LEAGUE,2888,Club Brugge KV,Local,1ST,10/04/2022,34,1,47%,0.00,3,13,0,5,,211,2,2,1,,4,1,5,4,7,6,1,2,1,,1,0,157,18,23,,9/25 (36%),4/6 (67%),50%,5,12/26 (46%),10/18 (56%),8/13 (62%),50%,2,6,,13,,0,,,,,2
9564941,38,36894,NORMAL,REGULAR,Round 34,LEAGUE,2888,Club Brugge KV,Local,2ND,10/04/2022,34,1,51%,0.00,1,9,0,2,,248,12,4,1,,4,0,4,1,8,1,0,1,0,,2,1,200,16,23,,16/28 (57%),3/6 (50%),56%,7,23/43 (53%),7/11 (64%),7/11 (64%),58%,12,9,,13,,0,,,,,5
9564941,38,36894,NORMAL,REGULAR,Round 34,LEAGUE,5044,KV Mechelen,Visita,ALL,10/04/2022,34,0,51%,0.00,0,8,6,4,6,472,21,8,1,,0,0,3,5,4,4,0,0,0,,3,2,360,23,61,,30/57 (53%),2/17 (12%),47%,13,34/69 (49%),12/29 (41%),5/6 (83%),71%,21,15,,26,,6,,,,,11
9564941,38,36894,NORMAL,REGULAR,Round 34,LEAGUE,5044,KV Mechelen,Visita,1ST,10/04/2022,34,0,53%,0.00,0,3,3,1,,234,10,2,1,,0,0,1,2,2,1,0,0,0,,1,1,174,12,40,,19/36 (53%),2/8 (25%),50%,1,14/26 (54%),8/18 (44%),2/3 (67%),70%,10,6,,11,,3,,,,,7
9564941,38,36894,NORMAL,REGULAR,Round 34,LEAGUE,5044,KV Mechelen,Visita,2ND,10/04/2022,34,0,49%,0.00,0,5,3,3,,238,11,6,0,,0,0,2,3,2,3,0,0,0,,2,1,186,11,21,,11/21 (52%),0/9 (0%),44%,12,20/43 (47%),4/11 (36%),3/3 (100%),73%,11,9,,15,,3,,,,,4
9564943,38,36894,NORMAL,REGULAR,Round 30,LEAGUE,2888,Club Brugge KV,Visita,ALL,05/03/2022,30,5,66%,0.00,4,14,2,5,8,616,17,6,1,0,7,0,4,3,11,3,1,3,4,,3,1,536,21,72,,39/56 (70%),4/17 (24%),52%,13,30/58 (52%),5/9 (56%),7/11 (64%),71%,17,6,,4,,2,,,,,3
9564943,38,36894,NORMAL,REGULAR,Round 30,LEAGUE,2888,Club Brugge KV,Visita,1ST,05/03/2022,30,3,62%,0.00,2,7,0,4,,290,11,3,0,0,5,0,1,1,6,1,0,2,3,,2,1,253,14,31,,23/29 (79%),1/8 (13%),57%,7,18/33 (55%),3/4 (75%),4/6 (67%),73%,11,4,,3,,0,,,,,2
9564943,38,36894,NORMAL,REGULAR,Round 30,LEAGUE,2888,Club Brugge KV,Visita,2ND,05/03/2022,30,2,71%,0.00,2,7,2,1,,326,6,3,1,0,2,0,3,2,5,2,1,1,1,,1,0,283,7,41,,16/27 (59%),3/9 (33%),47%,6,12/25 (48%),2/5 (40%),3/5 (60%),67%,6,2,,1,,2,,,,,1
9564943,38,36894,NORMAL,REGULAR,Round 30,LEAGUE,204712,RFC Seraing,Local,ALL,05/03/2022,30,0,34%,0.00,0,6,3,6,8,318,17,7,1,1,2,0,1,3,1,5,0,0,0,,2,1,237,24,42,,18/56 (32%),1/6 (17%),48%,9,28/58 (48%),4/9 (44%),4/12 (33%),76%,17,11,,30,,3,,,,,10
9564943,38,36894,NORMAL,REGULAR,Round 30,LEAGUE,204712,RFC Seraing,Local,1ST,05/03/2022,30,0,38%,0.00,0,1,3,3,,181,9,4,0,1,0,0,0,1,1,0,0,0,0,,0,0,140,17,22,,10/24 (42%),1/4 (25%),43%,7,15/33 (45%),1/4 (25%),2/6 (33%),89%,9,8,,13,,3,,,,,3
