Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2949,De Graafschap,Local,ALL,07/08/2021,1,0,57%,0.00,0,14,1,8,20,482,17,9,3,,3,1,6,5,11,3,0,0,,,3,0,393,22,68,,38/60 (63%),4/25 (16%),47%,8,29/66 (44%),19/36 (53%),3/7 (43%),47%,17,12,,3,,1,,,,,7
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2949,De Graafschap,Local,1ST,07/08/2021,1,0,56%,0.00,0,5,0,2,,264,9,4,1,,1,1,2,2,4,1,0,0,,,2,0,228,12,36,,16/23 (70%),0/12 (0%),56%,2,16/30 (53%),8/13 (62%),3/5 (60%),56%,9,6,,1,,0,,,,,6
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2949,De Graafschap,Local,2ND,07/08/2021,1,0,58%,0.00,0,9,1,6,,218,8,5,2,,2,0,4,3,7,2,0,0,,,1,0,165,10,32,,22/37 (59%),4/13 (31%),41%,6,13/36 (36%),11/23 (48%),0/2 (0%),38%,8,6,,2,,1,,,,,1
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2954,Roda JC Kerkrade,Visita,ALL,07/08/2021,1,3,43%,0.00,4,9,3,1,10,385,12,17,1,,4,0,4,1,5,4,2,2,,,4,2,290,21,38,,44/88 (50%),1/5 (20%),53%,15,37/66 (56%),17/36 (47%),8/10 (80%),58%,12,14,,30,,3,,,,,5
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2954,Roda JC Kerkrade,Visita,1ST,07/08/2021,1,0,44%,0.00,2,4,1,0,,217,4,8,1,,0,0,3,1,3,1,0,2,,,3,2,179,11,14,,23/44 (52%),1/2 (50%),44%,9,14/30 (47%),5/13 (38%),2/2 (100%),75%,4,4,,14,,1,,,,,3
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2954,Roda JC Kerkrade,Visita,2ND,07/08/2021,1,3,42%,0.00,2,5,2,1,,168,8,9,0,,4,0,1,0,2,3,2,0,,,1,0,111,10,24,,21/44 (48%),0/3 (0%),59%,6,23/36 (64%),12/23 (52%),6/8 (75%),50%,8,10,,16,,2,,,,,2
9567597,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2976,MVV Maastricht,Local,ALL,13/08/2021,2,1,38%,0.00,0,6,4,4,5,372,15,11,0,1,2,0,3,1,3,3,0,,,,1,3,269,21,61,,42/91 (46%),2/13 (15%),45%,5,32/59 (54%),12/39 (31%),6/13 (46%),53%,15,18,,8,,4,,,,,14
9567597,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2976,MVV Maastricht,Local,1ST,13/08/2021,2,1,35%,0.00,0,3,2,3,,171,9,4,0,0,2,0,1,0,2,1,0,,,,0,1,125,11,23,,23/42 (55%),1/9 (11%),43%,3,16/31 (52%),5/18 (28%),3/6 (50%),44%,9,10,,7,,2,,,,,3
9567597,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2976,MVV Maastricht,Local,2ND,13/08/2021,2,0,41%,0.00,0,3,2,1,,201,6,7,0,1,0,0,2,1,1,2,0,,,,1,2,144,10,38,,19/49 (39%),1/4 (25%),47%,2,16/28 (57%),7/21 (33%),3/7 (43%),67%,6,8,,1,,2,,,,,11
9567597,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2949,De Graafschap,Visita,ALL,13/08/2021,2,3,62%,0.00,3,21,1,3,11,617,12,5,1,0,7,0,9,5,17,4,3,,,,2,2,520,21,64,,38/72 (53%),7/12 (58%),55%,7,27/59 (46%),27/39 (69%),10/18 (56%),67%,12,6,,18,,1,,,,,2
9567597,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2949,De Graafschap,Visita,1ST,13/08/2021,2,2,65%,0.00,2,9,1,1,,336,6,4,1,0,4,0,2,3,7,2,2,,,,1,0,284,11,40,,17/36 (47%),3/5 (60%),57%,4,15/31 (48%),13/18 (72%),5/10 (50%),67%,6,2,,12,,1,,,,,0
9567597,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2949,De Graafschap,Visita,2ND,13/08/2021,2,1,59%,0.00,1,12,0,2,,281,6,1,0,0,3,0,7,2,10,2,1,,,,1,2,236,10,24,,21/36 (58%),4/7 (57%),53%,3,12/28 (43%),14/21 (67%),5/8 (63%),67%,6,4,,6,,0,,,,,2
9567608,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2949,De Graafschap,Local,ALL,20/08/2021,3,2,50%,0.00,2,18,3,4,8,454,18,4,2,,6,0,6,6,12,6,1,1,2,,2,1,362,24,62,,36/65 (55%),0/13 (0%),55%,9,29/61 (48%),36/57 (63%),7/10 (70%),61%,18,10,,21,,3,,,,,6
9567608,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2949,De Graafschap,Local,1ST,20/08/2021,3,1,63%,0.00,1,13,1,1,,303,6,3,0,,3,0,4,6,9,4,1,0,2,,2,0,254,13,39,,23/37 (62%),0/5 (0%),57%,4,11/26 (42%),19/27 (70%),2/5 (40%),83%,6,5,,6,,1,,,,,3
9567608,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2949,De Graafschap,Local,2ND,20/08/2021,3,1,36%,0.00,1,5,2,3,,151,12,1,2,,3,0,2,0,3,2,0,1,0,,0,1,108,11,23,,13/28 (46%),0/8 (0%),54%,5,18/35 (51%),17/30 (57%),5/5 (100%),50%,12,5,,15,,2,,,,,3
9567608,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2947,NAC Breda,Visita,ALL,20/08/2021,3,0,50%,0.00,1,14,3,9,4,439,12,8,1,,3,0,5,6,8,6,0,1,0,,0,2,346,19,45,,51/95 (54%),7/25 (28%),45%,8,32/61 (52%),21/57 (37%),12/22 (55%),67%,12,16,,19,,3,,,,,9
9567608,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2947,NAC Breda,Visita,1ST,20/08/2021,3,0,37%,0.00,0,3,2,0,,174,7,3,1,,1,0,1,1,1,2,0,0,0,,0,0,130,8,14,,21/44 (48%),1/7 (14%),43%,3,15/26 (58%),8/27 (30%),5/8 (63%),71%,7,9,,9,,2,,,,,7
9567608,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2947,NAC Breda,Visita,2ND,20/08/2021,3,0,64%,0.00,1,11,1,9,,265,5,5,0,,2,0,4,5,7,4,0,1,0,,0,2,216,11,31,,30/51 (59%),6/18 (33%),46%,5,17/35 (49%),13/30 (43%),7/14 (50%),60%,5,7,,10,,1,,,,,2
9567616,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2965,FC Emmen,Local,ALL,27/08/2021,4,0,61%,0.00,1,9,3,9,6,565,8,8,1,,2,0,6,1,5,4,0,1,,,2,1,472,22,65,,55/93 (59%),5/32 (16%),45%,9,22/45 (49%),12/31 (39%),7/13 (54%),75%,8,16,,13,,3,,,,,7
9567616,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2965,FC Emmen,Local,1ST,27/08/2021,4,0,60%,0.00,1,5,2,2,,293,2,5,0,,2,0,3,0,3,2,0,1,,,2,1,250,9,25,,26/43 (60%),2/13 (15%),43%,4,11/23 (48%),5/14 (36%),4/7 (57%),100%,2,9,,10,,2,,,,,3
9567616,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2965,FC Emmen,Local,2ND,27/08/2021,4,0,61%,0.00,0,4,1,7,,272,6,3,1,,0,0,3,1,2,2,0,0,,,0,0,222,13,40,,29/50 (58%),3/19 (16%),46%,5,11/22 (50%),7/17 (41%),3/6 (50%),67%,6,7,,3,,1,,,,,4
9567616,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2949,De Graafschap,Visita,ALL,27/08/2021,4,2,39%,0.00,2,9,2,4,8,378,15,6,0,,5,0,3,1,5,4,1,1,,,2,1,273,27,62,,30/71 (42%),2/10 (20%),55%,7,23/45 (51%),19/31 (61%),2/3 (67%),80%,15,13,,32,,2,,,,,9
9567616,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2949,De Graafschap,Visita,1ST,27/08/2021,4,0,40%,0.00,1,3,2,2,,195,7,4,0,,2,0,1,0,2,1,0,1,,,2,1,145,18,29,,12/27 (44%),1/7 (14%),57%,2,12/23 (52%),9/14 (64%),1/1 (100%),71%,7,6,,14,,2,,,,,4
9567616,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2949,De Graafschap,Visita,2ND,27/08/2021,4,2,39%,0.00,1,6,0,2,,183,8,2,0,,3,0,2,1,3,3,1,0,,,0,0,128,9,33,,18/44 (41%),1/3 (33%),54%,5,11/22 (50%),10/17 (59%),1/2 (50%),88%,8,7,,18,,0,,,,,5
9567636,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2949,De Graafschap,Local,ALL,10/09/2021,6,0,55%,0.00,2,10,3,7,17,471,22,15,3,,4,0,4,2,7,3,0,2,,,6,2,367,20,65,,26/70 (37%),7/22 (32%),56%,6,46/82 (56%),21/37 (57%),9/11 (82%),45%,22,11,,5,,3,,,,,6
9567636,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2949,De Graafschap,Local,1ST,10/09/2021,6,0,52%,0.00,2,7,2,3,,226,11,6,0,,4,0,2,1,6,1,0,2,,,2,1,178,13,29,,12/35 (34%),4/12 (33%),58%,3,22/39 (56%),10/16 (63%),5/7 (71%),27%,11,5,,4,,2,,,,,3
9567636,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2949,De Graafschap,Local,2ND,10/09/2021,6,0,58%,0.00,0,3,1,4,,245,11,9,3,,0,0,2,1,1,2,0,0,,,4,1,189,7,36,,14/35 (40%),3/10 (30%),55%,3,24/43 (56%),11/21 (52%),4/4 (100%),64%,11,6,,1,,1,,,,,3
9567636,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2968,FC Volendam,Visita,ALL,10/09/2021,6,3,45%,0.00,3,18,4,3,16,398,8,16,3,,6,0,6,6,11,7,2,1,,,3,2,312,22,44,,38/71 (54%),2/5 (40%),44%,10,36/82 (44%),16/37 (43%),12/24 (50%),63%,8,15,,22,,4,,,,,8
9567636,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2968,FC Volendam,Visita,1ST,10/09/2021,6,2,48%,0.00,1,12,4,3,,209,5,6,0,,4,0,3,5,8,4,1,0,,,0,2,169,13,26,,16/31 (52%),2/5 (40%),42%,3,17/39 (44%),6/16 (38%),6/14 (43%),80%,5,7,,9,,4,,,,,2
9567636,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2968,FC Volendam,Visita,2ND,10/09/2021,6,1,42%,0.00,2,6,0,0,,189,3,10,3,,2,0,3,1,3,3,1,1,,,3,0,143,9,18,,22/40 (55%),0/0 (0%),45%,7,19/43 (44%),10/21 (48%),6/10 (60%),33%,3,8,,13,,0,,,,,6
