Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9564516,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2970,SC Cambuur,Local,ALL,15/08/2021,1,1,54%,0.00,1,6,5,2,12,402,16,10,,,3,0,1,2,2,4,1,0,1,,2,2,313,32,61,,33/70 (47%),4/16 (25%),51%,13,34/75 (45%),19/28 (68%),10/16 (63%),50%,16,4,,26,,5,,,,,9
9564516,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2970,SC Cambuur,Local,1ST,15/08/2021,1,0,55%,0.00,0,1,2,1,,203,9,5,,,1,0,0,0,0,1,0,0,0,,0,2,165,15,27,,16/34 (47%),2/7 (29%),57%,8,19/35 (54%),8/12 (67%),7/8 (88%),44%,9,4,,9,,2,,,,,5
9564516,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2970,SC Cambuur,Local,2ND,15/08/2021,1,,53%,0.00,1,5,3,1,,199,7,5,,,2,0,1,2,2,3,1,0,1,,2,0,148,17,34,,17/36 (47%),2/9 (22%),46%,5,15/40 (38%),11/16 (69%),3/8 (38%),57%,7,0,,17,,3,,,,,4
9564516,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2951,FC Groningen,Visita,ALL,15/08/2021,1,2,46%,0.00,1,11,2,8,11,335,19,12,,,7,0,3,1,10,1,0,1,4,,0,3,253,22,49,,34/76 (45%),6/28 (21%),49%,9,41/75 (55%),9/28 (32%),10/17 (59%),79%,19,12,,19,,2,,,,,8
9564516,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2951,FC Groningen,Visita,1ST,15/08/2021,1,1,45%,0.00,0,5,1,3,,164,9,4,,,3,0,1,1,5,0,0,0,1,,0,3,126,15,24,,17/35 (49%),4/11 (36%),43%,5,16/35 (46%),4/12 (33%),3/7 (43%),100%,9,5,,4,,1,,,,,4
9564516,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2951,FC Groningen,Visita,2ND,15/08/2021,1,,47%,0.00,1,6,1,5,,171,10,8,,,4,0,2,0,5,1,0,1,3,,0,0,127,7,25,,17/41 (41%),2/17 (12%),54%,4,25/40 (63%),5/16 (31%),7/10 (70%),60%,10,7,,15,,1,,,,,4
9564524,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2951,FC Groningen,Local,ALL,21/08/2021,2,0,54%,0.00,3,14,0,5,12,400,31,14,3,,3,0,8,3,7,7,,3,1,,3,0,326,23,46,,31/67 (46%),2/20 (10%),55%,8,53/91 (58%),19/40 (48%),9/24 (38%),65%,31,7,,14,,0,,,,,1
9564524,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2951,FC Groningen,Local,1ST,21/08/2021,2,0,58%,0.00,3,10,0,3,,226,14,9,0,,2,0,5,3,7,3,,3,1,,3,0,192,9,20,,16/31 (52%),2/9 (22%),59%,4,25/42 (60%),9/16 (56%),2/7 (29%),64%,14,3,,3,,0,,,,,0
9564524,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2951,FC Groningen,Local,2ND,21/08/2021,2,,48%,0.00,0,4,0,2,,174,17,5,3,,1,0,3,0,0,4,,0,0,,0,0,134,14,26,,15/36 (42%),0/11 (0%),52%,4,28/49 (57%),10/24 (42%),7/17 (41%),65%,17,4,,11,,0,,,,,1
9564524,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2948,FC Utrecht,Visita,ALL,21/08/2021,2,0,46%,0.00,0,5,3,4,15,345,23,11,4,,0,0,1,4,4,1,,0,0,,0,2,269,22,52,,25/52 (48%),2/16 (13%),45%,16,38/91 (42%),21/40 (53%),5/20 (25%),57%,23,8,,22,,3,,,,,12
9564524,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2948,FC Utrecht,Visita,1ST,21/08/2021,2,0,42%,0.00,0,2,2,1,,159,9,3,1,,0,0,1,1,2,0,,0,0,,0,2,125,10,24,,11/22 (50%),0/7 (0%),41%,8,17/42 (40%),7/16 (44%),5/11 (45%),22%,9,3,,11,,2,,,,,6
9564524,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2948,FC Utrecht,Visita,2ND,21/08/2021,2,,52%,0.00,0,3,1,3,,186,14,8,3,,0,0,0,3,2,1,,0,0,,0,0,144,12,28,,14/30 (47%),2/9 (22%),48%,8,21/49 (43%),14/24 (58%),0/9 (0%),79%,14,5,,11,,1,,,,,6
9564390,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2952,PSV Eindhoven,Local,ALL,28/08/2021,3,5,61%,0.00,3,16,2,7,10,568,17,12,1,,8,0,5,3,13,3,1,2,1,,3,1,481,28,56,,17/44 (39%),4/14 (29%),46%,14,34/79 (43%),12/22 (55%),5/14 (36%),59%,17,11,,22,,2,,,,,10
