Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2949,De Graafschap,Local,ALL,07/08/2021,1,0,57%,0.00,0,14,1,8,20,482,17,9,3,,3,1,6,5,11,3,0,0,,,3,0,393,22,68,,38/60 (63%),4/25 (16%),47%,8,29/66 (44%),19/36 (53%),3/7 (43%),47%,17,12,,3,,1,,,,,7
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2949,De Graafschap,Local,1ST,07/08/2021,1,0,56%,0.00,0,5,0,2,,264,9,4,1,,1,1,2,2,4,1,0,0,,,2,0,228,12,36,,16/23 (70%),0/12 (0%),56%,2,16/30 (53%),8/13 (62%),3/5 (60%),56%,9,6,,1,,0,,,,,6
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2949,De Graafschap,Local,2ND,07/08/2021,1,0,58%,0.00,0,9,1,6,,218,8,5,2,,2,0,4,3,7,2,0,0,,,1,0,165,10,32,,22/37 (59%),4/13 (31%),41%,6,13/36 (36%),11/23 (48%),0/2 (0%),38%,8,6,,2,,1,,,,,1
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2954,Roda JC Kerkrade,Visita,ALL,07/08/2021,1,3,43%,0.00,4,9,3,1,10,385,12,17,1,,4,0,4,1,5,4,2,2,,,4,2,290,21,38,,44/88 (50%),1/5 (20%),53%,15,37/66 (56%),17/36 (47%),8/10 (80%),58%,12,14,,30,,3,,,,,5
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2954,Roda JC Kerkrade,Visita,1ST,07/08/2021,1,0,44%,0.00,2,4,1,0,,217,4,8,1,,0,0,3,1,3,1,0,2,,,3,2,179,11,14,,23/44 (52%),1/2 (50%),44%,9,14/30 (47%),5/13 (38%),2/2 (100%),75%,4,4,,14,,1,,,,,3
9567589,131,36893,NORMAL,REGULAR,Round 1,LEAGUE,2954,Roda JC Kerkrade,Visita,2ND,07/08/2021,1,3,42%,0.00,2,5,2,1,,168,8,9,0,,4,0,1,0,2,3,2,0,,,1,0,111,10,24,,21/44 (48%),0/3 (0%),59%,6,23/36 (64%),12/23 (52%),6/8 (75%),50%,8,10,,16,,2,,,,,2
9567600,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2954,Roda JC Kerkrade,Local,ALL,13/08/2021,2,1,73%,0.00,0,21,3,13,6,692,16,8,1,,2,2,10,9,12,9,,0,,,,1,603,27,91,,45/60 (75%),10/51 (20%),53%,6,32/66 (48%),18/29 (62%),8/21 (38%),75%,16,9,,2,,3,,,,,2
9567600,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2954,Roda JC Kerkrade,Local,1ST,13/08/2021,2,0,67%,0.00,0,5,1,3,,339,9,2,0,,0,1,4,1,1,4,,0,,,,1,291,11,44,,19/29 (66%),4/16 (25%),57%,3,15/31 (48%),11/15 (73%),4/8 (50%),67%,9,6,,1,,1,,,,,1
9567600,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2954,Roda JC Kerkrade,Local,2ND,13/08/2021,2,1,81%,0.00,0,16,2,10,,353,7,6,1,,2,1,6,8,11,5,,0,,,,0,312,16,47,,26/31 (84%),6/35 (17%),49%,3,17/35 (49%),7/14 (50%),4/13 (31%),86%,7,3,,1,,2,,,,,1
9567600,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2967,Excelsior,Visita,ALL,13/08/2021,2,2,27%,0.00,1,8,3,3,8,262,19,6,1,,5,0,2,1,8,0,,1,,,,2,171,30,42,,18/65 (28%),4/5 (80%),47%,3,34/66 (52%),11/29 (38%),9/22 (41%),63%,19,22,,44,,3,,,,,10
9567600,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2967,Excelsior,Visita,1ST,13/08/2021,2,2,33%,0.00,1,4,0,3,,171,7,3,0,,3,0,0,1,4,0,,1,,,,1,126,13,20,,15/39 (38%),3/4 (75%),43%,0,16/31 (52%),4/15 (27%),6/15 (40%),71%,7,12,,10,,0,,,,,5
9567600,131,36893,NORMAL,REGULAR,Round 2,LEAGUE,2967,Excelsior,Visita,2ND,13/08/2021,2,0,19%,0.00,0,4,3,0,,91,12,3,1,,2,0,2,0,4,0,,0,,,,1,45,17,22,,3/26 (12%),1/1 (100%),51%,3,18/35 (51%),7/14 (50%),3/7 (43%),58%,12,10,,34,,3,,,,,5
9567610,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2972,SC Telstar,Local,ALL,20/08/2021,3,3,43%,0.00,3,14,4,8,13,345,22,13,1,,6,0,3,5,9,5,3,0,1,,8,2,253,20,61,,40/89 (45%),4/22 (18%),48%,4,46/87 (53%),16/43 (37%),11/22 (50%),82%,22,12,,17,,4,,,,,6
9567610,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2972,SC Telstar,Local,1ST,20/08/2021,3,3,44%,0.00,3,9,3,3,,162,12,6,0,,6,0,1,2,7,2,3,0,1,,3,1,119,12,27,,19/42 (45%),3/9 (33%),51%,2,25/45 (56%),11/25 (44%),7/11 (64%),83%,12,5,,8,,3,,,,,3
9567610,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2972,SC Telstar,Local,2ND,20/08/2021,3,0,42%,0.00,0,5,1,5,,183,10,7,1,,0,0,2,3,2,3,0,0,0,,5,1,134,8,34,,21/47 (45%),1/13 (8%),43%,2,21/42 (50%),5/18 (28%),4/11 (36%),80%,10,7,,9,,1,,,,,3
9567610,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2954,Roda JC Kerkrade,Visita,ALL,20/08/2021,3,4,57%,0.00,3,17,3,8,13,462,15,12,1,,8,1,6,3,12,5,2,1,1,,3,2,363,26,61,,57/85 (67%),7/18 (39%),52%,6,41/87 (47%),27/43 (63%),14/30 (47%),60%,15,7,,16,,3,,,,,7
9567610,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2954,Roda JC Kerkrade,Visita,1ST,20/08/2021,3,1,56%,0.00,1,8,3,8,,205,6,6,1,,4,0,2,2,6,2,1,0,0,,2,0,154,16,24,,27/43 (63%),4/11 (36%),49%,3,20/45 (44%),14/25 (56%),8/17 (47%),33%,6,2,,4,,3,,,,,1
9567610,131,36893,NORMAL,REGULAR,Round 3,LEAGUE,2954,Roda JC Kerkrade,Visita,2ND,20/08/2021,3,3,58%,0.00,2,9,0,0,,257,9,6,0,,4,1,4,1,6,3,1,1,1,,1,2,209,10,37,,30/42 (71%),3/7 (43%),57%,3,21/42 (50%),13/18 (72%),6/13 (46%),78%,9,5,,12,,0,,,,,6
9567618,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2954,Roda JC Kerkrade,Local,ALL,27/08/2021,4,3,56%,0.00,1,21,1,5,12,489,10,12,1,,8,1,10,3,10,11,1,0,2,,6,0,408,16,64,,29/56 (52%),6/19 (32%),51%,8,33/60 (55%),11/26 (42%),11/15 (73%),50%,10,11,,18,,1,,,,,7
9567618,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2954,Roda JC Kerkrade,Local,1ST,27/08/2021,4,1,56%,0.00,0,11,1,4,,276,6,6,0,,3,1,7,1,5,6,0,0,1,,2,0,239,5,37,,20/32 (63%),3/9 (33%),52%,5,17/34 (50%),5/8 (63%),5/8 (63%),33%,6,4,,8,,1,,,,,2
9567618,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2954,Roda JC Kerkrade,Local,2ND,27/08/2021,4,2,54%,0.00,1,10,0,1,,213,4,6,1,,5,0,3,2,5,5,1,0,1,,4,0,169,11,27,,9/24 (38%),3/10 (30%),50%,3,16/26 (62%),6/18 (33%),6/7 (86%),75%,4,7,,10,,0,,,,,5
9567618,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2990,Almere City FC,Visita,ALL,27/08/2021,4,4,44%,0.00,3,21,5,7,15,388,12,10,3,,6,0,8,7,14,7,2,1,1,,1,1,303,28,49,,44/83 (53%),8/21 (38%),49%,7,27/60 (45%),15/26 (58%),5/8 (63%),67%,12,10,,10,,5,,,,,12
9567618,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2990,Almere City FC,Visita,1ST,27/08/2021,4,2,44%,0.00,0,7,2,2,,216,8,5,0,,3,0,1,3,4,3,0,0,0,,0,0,172,12,24,,25/47 (53%),2/5 (40%),48%,4,17/34 (50%),3/8 (38%),4/6 (67%),50%,8,6,,5,,2,,,,,7
9567618,131,36893,NORMAL,REGULAR,Round 4,LEAGUE,2990,Almere City FC,Visita,2ND,27/08/2021,4,2,46%,0.00,3,14,3,5,,172,4,5,3,,3,0,7,4,10,4,2,1,1,,1,1,131,16,25,,19/36 (53%),6/16 (38%),50%,3,10/26 (38%),12/18 (67%),1/2 (50%),100%,4,4,,5,,3,,,,,5
9567638,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2954,Roda JC Kerkrade,Local,ALL,10/09/2021,6,0,55%,0.00,3,14,3,9,6,502,11,4,1,,2,0,7,5,7,7,,3,,,1,1,394,23,81,,43/76 (57%),5/26 (19%),43%,11,24/53 (45%),12/31 (39%),9/16 (56%),55%,11,10,,14,,3,,,,,6
9567638,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2954,Roda JC Kerkrade,Local,1ST,10/09/2021,6,0,53%,0.00,2,5,0,5,,255,6,3,0,,0,0,3,2,3,2,,2,,,0,0,203,14,43,,28/41 (68%),4/17 (24%),38%,6,13/29 (45%),2/10 (20%),4/8 (50%),50%,6,4,,2,,0,,,,,3
9567638,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2954,Roda JC Kerkrade,Local,2ND,10/09/2021,6,0,56%,0.00,1,9,3,4,,247,5,1,1,,2,0,4,3,4,5,,1,,,1,1,191,9,38,,15/35 (43%),1/9 (11%),47%,5,11/24 (46%),10/21 (48%),5/8 (63%),60%,5,6,,12,,3,,,,,3
9567638,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2947,NAC Breda,Visita,ALL,10/09/2021,6,0,45%,0.00,0,8,2,7,4,409,18,5,0,,3,0,3,2,4,4,,0,,,1,0,322,16,58,,25/65 (38%),5/25 (20%),57%,6,29/53 (55%),19/31 (61%),6/11 (55%),33%,18,18,,35,,2,,,,,12
9567638,131,36893,NORMAL,REGULAR,Round 6,LEAGUE,2947,NAC Breda,Visita,1ST,10/09/2021,6,0,47%,0.00,0,0,0,1,,231,10,2,0,,0,0,0,0,0,0,,0,,,0,0,189,8,27,,11/29 (38%),0/4 (0%),62%,2,16/29 (55%),8/10 (80%),4/8 (50%),30%,10,10,,19,,0,,,,,5
