Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9564393,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2956,RKC Waalwijk,Local,ALL,14/08/2021,1,1,28%,0.00,1,7,5,4,12,244,14,7,0,,2,0,2,3,6,1,1,0,,,1,2,159,20,37,,30/66 (45%),3/8 (38%),44%,10,30/69 (43%),13/29 (45%),9/21 (43%),64%,14,11,,26,,5,,,,,15
9564393,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2956,RKC Waalwijk,Local,1ST,14/08/2021,1,1,33%,0.00,1,4,1,3,,150,8,3,0,,2,0,1,1,4,0,1,0,,,0,2,107,10,17,,17/36 (47%),3/6 (50%),56%,6,16/31 (52%),7/10 (70%),5/10 (50%),50%,8,8,,8,,1,,,,,4
9564393,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2956,RKC Waalwijk,Local,2ND,14/08/2021,1,,23%,0.00,0,3,4,1,,94,6,4,0,,0,0,1,2,2,1,0,0,,,1,0,52,10,20,,13/30 (43%),0/2 (0%),35%,4,14/38 (37%),6/19 (32%),4/11 (36%),83%,6,3,,18,,4,,,,,11
9564393,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2950,AZ Alkmaar,Visita,ALL,14/08/2021,1,0,72%,0.00,2,19,0,6,7,628,22,12,2,,5,0,8,6,11,8,0,2,,,3,4,545,23,87,,36/57 (63%),12/34 (35%),56%,10,39/69 (57%),16/29 (55%),5/9 (56%),59%,22,12,,9,,0,,,,,4
9564393,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2950,AZ Alkmaar,Visita,1ST,14/08/2021,1,0,67%,0.00,0,6,0,3,,320,11,3,0,,1,0,2,3,2,4,0,0,,,1,4,280,9,39,,13/23 (57%),2/8 (25%),44%,6,15/31 (48%),3/10 (30%),1/3 (33%),55%,11,6,,5,,0,,,,,1
9564393,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2950,AZ Alkmaar,Visita,2ND,14/08/2021,1,,77%,0.00,2,13,0,3,,308,11,9,2,,4,0,6,3,9,4,0,2,,,2,0,265,14,48,,23/34 (68%),10/26 (38%),65%,4,24/38 (63%),13/19 (68%),4/6 (67%),64%,11,6,,4,,0,,,,,3
9564518,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2964,SC Heerenveen,Local,ALL,21/08/2021,2,3,60%,0.00,4,11,1,2,7,545,32,10,1,,4,0,6,1,7,4,3,1,3,,4,1,470,14,59,,42/64 (66%),3/8 (38%),58%,13,50/86 (58%),9/15 (60%),8/16 (50%),63%,32,7,,22,,1,,,,,11
9564518,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2964,SC Heerenveen,Local,1ST,21/08/2021,2,3,60%,0.00,4,8,1,2,,255,16,6,0,,4,0,3,1,7,1,3,1,2,,3,0,224,6,26,,18/27 (67%),3/5 (60%),59%,8,24/40 (60%),5/9 (56%),2/5 (40%),75%,16,3,,9,,1,,,,,5
9564518,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2964,SC Heerenveen,Local,2ND,21/08/2021,2,,60%,0.00,0,3,0,0,,290,16,4,1,,0,0,3,0,0,3,0,0,1,,1,1,246,8,33,,24/37 (65%),0/3 (0%),58%,5,26/46 (57%),4/6 (67%),6/11 (55%),50%,16,4,,13,,0,,,,,6
9564518,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2956,RKC Waalwijk,Visita,ALL,21/08/2021,2,2,40%,0.00,0,16,1,7,11,347,21,7,3,,3,1,7,6,10,6,0,0,0,,3,2,269,33,53,,18/45 (40%),7/22 (32%),42%,23,36/86 (42%),6/15 (40%),8/17 (47%),62%,21,6,,7,,1,,,,,8
9564518,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2956,RKC Waalwijk,Visita,1ST,21/08/2021,2,0,40%,0.00,0,3,1,4,,167,11,2,2,,1,0,2,0,2,1,0,0,0,,1,1,137,15,17,,8/18 (44%),3/8 (38%),41%,11,16/40 (40%),4/9 (44%),3/8 (38%),55%,11,2,,5,,1,,,,,6
9564518,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2956,RKC Waalwijk,Visita,2ND,21/08/2021,2,,40%,0.00,0,13,0,3,,180,10,5,1,,2,1,5,6,8,5,0,0,0,,2,1,132,18,36,,10/27 (37%),4/14 (29%),42%,12,20/46 (43%),2/6 (33%),5/9 (56%),70%,10,4,,2,,0,,,,,2
9564395,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2957,Fortuna Sittard,Local,ALL,27/08/2021,3,2,50%,0.00,2,11,3,5,10,406,10,10,1,,2,0,8,1,7,4,2,0,2,,1,2,323,19,60,,30/63 (48%),6/20 (30%),53%,4,31/53 (58%),16/36 (44%),10/13 (77%),50%,10,11,,36,,3,,,,,7
9564395,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2957,Fortuna Sittard,Local,1ST,27/08/2021,3,1,44%,0.00,1,5,2,2,,189,4,5,0,,1,0,4,0,4,1,1,0,1,,0,1,147,10,31,,21/42 (50%),2/7 (29%),50%,3,14/24 (58%),10/24 (42%),5/7 (71%),75%,4,7,,19,,2,,,,,4
9564395,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2957,Fortuna Sittard,Local,2ND,27/08/2021,3,,56%,0.00,1,6,1,3,,217,6,5,1,,1,0,4,1,3,3,1,0,1,,1,1,176,9,29,,9/21 (43%),4/13 (31%),56%,1,17/29 (59%),6/12 (50%),5/6 (83%),33%,6,4,,17,,1,,,,,3
9564395,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2956,RKC Waalwijk,Visita,ALL,27/08/2021,3,2,50%,0.00,3,15,0,6,10,401,7,10,1,,5,0,5,5,12,3,2,1,2,,3,1,314,17,60,,35/70 (50%),6/27 (22%),47%,5,22/53 (42%),20/36 (56%),5/11 (45%),86%,7,6,,23,,0,,,,,8
9564395,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2956,RKC Waalwijk,Visita,1ST,27/08/2021,3,1,56%,0.00,1,9,0,3,,231,5,2,1,,3,0,4,2,8,1,1,0,0,,1,1,189,7,25,,21/36 (58%),4/15 (27%),50%,3,10/24 (42%),14/24 (58%),3/4 (75%),100%,5,2,,9,,0,,,,,4
9564395,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2956,RKC Waalwijk,Visita,2ND,27/08/2021,3,,44%,0.00,2,6,0,3,,170,2,8,0,,2,0,1,3,4,2,1,1,2,,2,0,125,10,35,,14/34 (41%),2/12 (17%),44%,2,12/29 (41%),6/12 (50%),2/7 (29%),50%,2,4,,14,,0,,,,,4
9564515,37,36890,NORMAL,REGULAR,Round 4,LEAGUE,2956,RKC Waalwijk,Local,ALL,12/09/2021,4,1,49%,0.00,2,13,2,7,17,383,15,16,4,,6,0,5,2,8,5,0,2,,,3,1,282,13,62,,41/82 (50%),5/30 (17%),46%,7,39/84 (46%),17/37 (46%),8/20 (40%),73%,15,17,,7,,2,,,,,8
9564515,37,36890,NORMAL,REGULAR,Round 4,LEAGUE,2956,RKC Waalwijk,Local,1ST,12/09/2021,4,1,47%,0.00,1,7,0,2,,188,9,10,2,,4,0,2,1,5,2,0,1,,,2,1,133,3,31,,16/38 (42%),2/12 (17%),53%,2,23/47 (49%),11/17 (65%),4/11 (36%),89%,9,9,,3,,0,,,,,4
9564515,37,36890,NORMAL,REGULAR,Round 4,LEAGUE,2956,RKC Waalwijk,Local,2ND,12/09/2021,4,,50%,0.00,1,6,2,5,,195,6,6,2,,2,0,3,1,3,3,0,1,,,1,0,149,10,31,,25/44 (57%),3/18 (17%),39%,5,16/37 (43%),6/20 (30%),4/9 (44%),50%,6,8,,4,,2,,,,,4
9564515,37,36890,NORMAL,REGULAR,Round 4,LEAGUE,2958,Vitesse,Visita,ALL,12/09/2021,4,2,51%,0.00,3,10,5,2,18,427,19,17,1,,4,0,4,2,8,2,1,2,,,3,3,328,18,55,,31/68 (46%),3/10 (30%),54%,7,45/84 (54%),20/37 (54%),9/17 (53%),74%,19,11,,29,,5,,,,,8
9564515,37,36890,NORMAL,REGULAR,Round 4,LEAGUE,2958,Vitesse,Visita,1ST,12/09/2021,4,1,53%,0.00,1,2,3,0,,217,9,10,0,,1,0,1,0,1,1,1,0,,,3,2,166,9,24,,18/35 (51%),1/6 (17%),47%,6,24/47 (51%),6/17 (35%),5/8 (63%),67%,9,7,,8,,3,,,,,4
9564515,37,36890,NORMAL,REGULAR,Round 4,LEAGUE,2958,Vitesse,Visita,2ND,12/09/2021,4,,50%,0.00,2,8,2,2,,210,10,7,1,,3,0,3,2,7,1,0,2,,,0,1,162,9,31,,13/33 (39%),2/4 (50%),61%,1,21/37 (57%),14/20 (70%),4/9 (44%),80%,10,4,,21,,2,,,,,4
9564526,37,36890,NORMAL,REGULAR,Round 5,LEAGUE,2948,FC Utrecht,Local,ALL,18/09/2021,5,2,58%,0.00,3,19,3,10,11,436,10,13,1,,6,2,11,2,15,4,1,2,0,,6,1,344,23,76,,35/62 (56%),10/42 (24%),55%,7,34/59 (58%),19/37 (51%),11/15 (73%),30%,10,10,,13,,3,,,,,8
9564526,37,36890,NORMAL,REGULAR,Round 5,LEAGUE,2948,FC Utrecht,Local,1ST,18/09/2021,5,1,54%,0.00,1,9,2,3,,212,4,6,1,,3,1,5,1,6,3,0,1,0,,3,0,162,7,36,,15/32 (47%),4/16 (25%),52%,4,15/27 (56%),8/17 (47%),5/7 (71%),75%,4,5,,9,,2,,,,,3
