Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9564364,37,36890,NORMAL,REGULAR,Round 29,LEAGUE,2961,Willem II Tilburg,Visita,ALL,08/04/2022,29,0,45%,0.00,3,10,4,9,5,393,16,3,,,5,0,3,2,7,3,0,3,,,0,,309,25,64,,25/57 (44%),8/36 (22%),55%,8,28/55 (51%),13/19 (68%),9/15 (60%),63%,16,3,,12,,4,,,,,5
9564364,37,36890,NORMAL,REGULAR,Round 29,LEAGUE,2961,Willem II Tilburg,Visita,1ST,08/04/2022,29,0,41%,0.00,0,3,3,3,,180,9,1,,,1,0,1,1,1,2,0,0,,,0,,144,12,29,,14/26 (54%),3/15 (20%),47%,8,14/32 (44%),4/6 (67%),4/7 (57%),56%,9,2,,7,,3,,,,,3
9564364,37,36890,NORMAL,REGULAR,Round 29,LEAGUE,2961,Willem II Tilburg,Visita,2ND,08/04/2022,29,,50%,0.00,3,7,1,6,,213,7,2,,,4,0,2,1,6,1,0,3,,,0,,165,13,35,,11/31 (35%),5/21 (24%),64%,0,14/23 (61%),9/13 (69%),5/8 (63%),71%,7,1,,5,,1,,,,,2
9564364,37,36890,NORMAL,REGULAR,Round 29,LEAGUE,2979,Go Ahead Eagles,Local,ALL,08/04/2022,29,4,55%,0.00,4,18,6,4,3,499,14,5,,,10,0,2,6,15,3,3,1,,,1,,398,30,48,,43/74 (58%),2/13 (15%),45%,9,27/55 (49%),6/19 (32%),8/15 (53%),50%,14,8,,23,,6,,,,,10
9564364,37,36890,NORMAL,REGULAR,Round 29,LEAGUE,2979,Go Ahead Eagles,Local,1ST,08/04/2022,29,2,59%,0.00,3,13,1,2,,278,11,4,,,7,0,1,5,11,2,2,1,,,1,,231,16,27,,22/32 (69%),1/6 (17%),53%,6,18/32 (56%),2/6 (33%),3/6 (50%),36%,11,1,,6,,1,,,,,3
9564364,37,36890,NORMAL,REGULAR,Round 29,LEAGUE,2979,Go Ahead Eagles,Local,2ND,08/04/2022,29,,50%,0.00,1,5,5,2,,221,3,1,,,3,0,1,1,4,1,1,0,,,0,,167,14,21,,21/42 (50%),1/7 (14%),36%,3,9/23 (39%),4/13 (31%),5/9 (56%),100%,3,7,,17,,5,,,,,7
9564375,37,36890,NORMAL,REGULAR,Round 34,LEAGUE,2948,FC Utrecht,Visita,ALL,15/05/2022,34,0,56%,0.00,2,8,4,5,8,447,22,8,1,,3,0,3,2,6,2,0,2,1,,2,1,355,21,45,,35/70 (50%),6/18 (33%),54%,10,41/73 (56%),21/41 (51%),11/17 (65%),55%,22,6,,18,,4,,,,,12
9564375,37,36890,NORMAL,REGULAR,Round 34,LEAGUE,2948,FC Utrecht,Visita,1ST,15/05/2022,34,0,63%,0.00,1,6,3,3,,281,15,4,0,,1,0,3,2,4,2,0,1,1,,1,0,236,9,25,,27/44 (61%),2/8 (25%),63%,5,24/35 (69%),13/24 (54%),5/7 (71%),53%,15,2,,10,,3,,,,,9
9564375,37,36890,NORMAL,REGULAR,Round 34,LEAGUE,2948,FC Utrecht,Visita,2ND,15/05/2022,34,0,47%,0.00,1,2,1,2,,166,7,4,1,,2,0,0,0,2,0,0,1,0,,1,1,119,12,20,,8/26 (31%),4/10 (40%),45%,5,17/38 (45%),8/17 (47%),6/10 (60%),57%,7,4,,8,,1,,,,,3
9564375,37,36890,NORMAL,REGULAR,Round 34,LEAGUE,2961,Willem II Tilburg,Local,ALL,15/05/2022,34,3,44%,0.00,2,18,2,2,8,348,16,6,1,,6,0,8,4,9,9,1,1,0,,1,3,260,20,57,,22/66 (33%),4/19 (21%),46%,10,32/73 (44%),20/41 (49%),10/22 (45%),63%,16,11,,15,,2,,,,,4
