Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9564536,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2953,AFC Ajax,Local,ALL,14/08/2021,1,5,72%,0.00,5,25,1,10,6,770,26,6,,,9,0,9,7,18,7,2,3,1,,4,,683,23,77,,34/48 (71%),9/24 (38%),59%,13,45/78 (58%),13/20 (65%),13/20 (65%),65%,26,17,,7,,1,,,,,5
9564536,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2953,AFC Ajax,Local,1ST,14/08/2021,1,5,75%,0.00,5,17,0,7,,369,13,3,,,8,0,5,4,13,4,2,3,1,,3,,324,13,39,,18/27 (67%),8/19 (42%),63%,4,25/37 (68%),5/11 (45%),9/12 (75%),54%,13,9,,2,,0,,,,,3
9564536,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2953,AFC Ajax,Local,2ND,14/08/2021,1,,70%,0.00,0,8,1,3,,401,13,3,,,1,0,4,3,5,3,0,0,0,,1,,359,10,38,,16/21 (76%),1/5 (20%),56%,9,20/41 (49%),8/9 (89%),4/8 (50%),77%,13,8,,5,,1,,,,,2
9564536,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2962,NEC Nijmegen,Visita,ALL,14/08/2021,1,0,28%,0.00,0,7,5,0,6,293,20,6,,,1,0,4,2,4,3,0,0,0,,1,,215,14,22,,13/41 (32%),1/4 (25%),41%,20,33/78 (42%),7/20 (35%),7/13 (54%),50%,20,17,,18,,5,,,,,11
9564536,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2962,NEC Nijmegen,Visita,1ST,14/08/2021,1,0,25%,0.00,0,4,4,0,,127,7,2,,,0,0,2,2,2,2,0,0,0,,1,,86,6,14,,5/25 (20%),1/2 (50%),37%,11,12/37 (32%),6/11 (55%),3/5 (60%),29%,7,7,,10,,4,,,,,5
9564536,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2962,NEC Nijmegen,Visita,2ND,14/08/2021,1,,30%,0.00,0,3,1,0,,166,13,4,,,1,0,2,0,2,1,0,0,0,,0,,129,8,8,,8/16 (50%),0/2 (0%),44%,9,21/41 (51%),1/9 (11%),4/8 (50%),62%,13,10,,8,,1,,,,,6
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2962,NEC Nijmegen,Local,ALL,20/08/2021,2,2,38%,0.00,1,8,1,2,15,320,27,15,4,0,3,0,2,3,6,2,1,,1,,2,4,239,16,34,,21/52 (40%),3/8 (38%),47%,21,49/105 (47%),12/26 (46%),8/13 (62%),56%,27,11,,26,,1,,,,,12
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2962,NEC Nijmegen,Local,1ST,20/08/2021,2,2,42%,0.00,1,3,1,2,,176,14,6,2,0,2,0,0,1,3,0,1,,1,,0,3,142,8,15,,12/23 (52%),2/4 (50%),49%,8,23/46 (50%),4/9 (44%),3/5 (60%),64%,14,7,,10,,1,,,,,4
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2962,NEC Nijmegen,Local,2ND,20/08/2021,2,,34%,0.00,0,5,0,0,,144,13,9,2,0,1,0,2,2,3,2,0,,0,,2,1,97,8,19,,9/29 (31%),1/4 (25%),45%,13,26/59 (44%),8/17 (47%),5/8 (63%),46%,13,4,,16,,0,,,,,8
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2971,PEC Zwolle,Visita,ALL,20/08/2021,2,0,62%,0.00,0,17,1,5,15,521,26,14,3,1,1,1,10,6,13,4,0,,0,,1,2,439,39,94,,29/59 (49%),4/25 (16%),53%,13,56/105 (53%),14/26 (54%),16/30 (53%),50%,26,11,,9,,1,,,,,3
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2971,PEC Zwolle,Visita,1ST,20/08/2021,2,0,58%,0.00,0,8,0,2,,243,10,7,0,0,1,1,3,4,6,2,0,,0,,0,2,211,19,41,,16/27 (59%),3/10 (30%),51%,7,23/46 (50%),5/9 (56%),6/13 (46%),70%,10,6,,5,,0,,,,,1
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2971,PEC Zwolle,Visita,2ND,20/08/2021,2,,66%,0.00,0,9,1,3,,278,16,7,3,1,0,0,7,2,7,2,0,,0,,1,0,228,20,53,,13/32 (41%),1/15 (7%),55%,6,33/59 (56%),9/17 (53%),10/17 (59%),38%,16,5,,4,,1,,,,,2
9564525,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2977,Heracles Almelo,Local,ALL,29/08/2021,3,0,49%,0.00,0,14,3,7,16,485,14,11,6,1,4,1,7,3,5,9,0,0,0,,2,1,418,24,55,,24/46 (52%),4/25 (16%),56%,10,49/83 (59%),8/18 (44%),24/30 (80%),64%,14,8,,10,,3,,,,,3
9564525,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2977,Heracles Almelo,Local,1ST,29/08/2021,3,0,54%,0.00,0,9,1,4,,258,11,6,2,1,3,1,4,2,3,6,0,0,0,,1,1,231,9,24,,17/25 (68%),2/13 (15%),63%,4,36/55 (65%),3/7 (43%),19/25 (76%),73%,11,4,,3,,1,,,,,2
9564525,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2977,Heracles Almelo,Local,2ND,29/08/2021,3,,44%,0.00,0,5,2,3,,227,3,5,4,0,1,0,3,1,2,3,0,0,0,,1,0,187,15,31,,7/21 (33%),2/12 (17%),46%,6,13/28 (46%),5/11 (45%),5/5 (100%),33%,3,4,,7,,2,,,,,1
9564525,37,36890,NORMAL,REGULAR,Round 3,LEAGUE,2962,NEC Nijmegen,Visita,ALL,29/08/2021,3,1,51%,0.00,3,6,4,1,12,520,16,15,2,0,4,1,2,0,5,1,1,2,1,,1,2,460,19,48,,23/41 (56%),2/6 (33%),44%,10,34/83 (41%),10/18 (56%),3/7 (43%),44%,16,7,,27,,4,,,,,8
