Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9564580,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2971,PEC Zwolle,Local,ALL,15/08/2021,1,0,55%,0.00,0,15,5,6,8,407,22,16,0,,5,0,7,3,11,4,,0,,,6,2,309,31,56,,38/70 (54%),7/23 (30%),52%,18,46/93 (49%),19/31 (61%),8/17 (47%),64%,22,15,,11,,5,,,,,6
9564580,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2971,PEC Zwolle,Local,1ST,15/08/2021,1,0,52%,0.00,0,6,3,4,,199,11,8,0,,4,0,1,1,5,1,,0,,,3,1,149,18,24,,23/39 (59%),4/8 (50%),51%,10,25/52 (48%),9/15 (60%),6/10 (60%),82%,11,7,,3,,3,,,,,3
9564580,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2971,PEC Zwolle,Local,2ND,15/08/2021,1,,58%,0.00,0,9,2,2,,208,11,8,0,,1,0,6,2,6,3,,0,,,3,1,160,13,32,,15/31 (48%),3/15 (20%),54%,8,21/41 (51%),10/16 (63%),2/7 (29%),45%,11,8,,8,,2,,,,,3
9564580,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2958,Vitesse,Visita,ALL,15/08/2021,1,1,45%,0.00,1,14,5,2,17,336,27,8,2,,6,0,4,4,6,8,,1,,,0,1,239,23,62,,25/62 (40%),4/11 (36%),48%,13,47/93 (51%),12/31 (39%),12/21 (57%),48%,27,12,,25,,5,,,,,11
9564580,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2958,Vitesse,Visita,1ST,15/08/2021,1,1,48%,0.00,1,6,4,0,,186,14,4,1,,4,0,2,0,1,5,,1,,,0,1,132,10,31,,17/34 (50%),2/3 (67%),49%,7,27/52 (52%),6/15 (40%),9/13 (69%),50%,14,6,,9,,4,,,,,5
9564580,37,36890,NORMAL,REGULAR,Round 1,LEAGUE,2958,Vitesse,Visita,2ND,15/08/2021,1,,42%,0.00,0,8,1,2,,150,13,4,1,,2,0,2,4,5,3,,0,,,0,0,107,13,31,,8/28 (29%),2/8 (25%),46%,6,20/41 (49%),6/16 (38%),3/8 (38%),46%,13,6,,16,,1,,,,,6
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2962,NEC Nijmegen,Local,ALL,20/08/2021,2,2,38%,0.00,1,8,1,2,15,320,27,15,4,0,3,0,2,3,6,2,1,,1,,2,4,239,16,34,,21/52 (40%),3/8 (38%),47%,21,49/105 (47%),12/26 (46%),8/13 (62%),56%,27,11,,26,,1,,,,,12
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2962,NEC Nijmegen,Local,1ST,20/08/2021,2,2,42%,0.00,1,3,1,2,,176,14,6,2,0,2,0,0,1,3,0,1,,1,,0,3,142,8,15,,12/23 (52%),2/4 (50%),49%,8,23/46 (50%),4/9 (44%),3/5 (60%),64%,14,7,,10,,1,,,,,4
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2962,NEC Nijmegen,Local,2ND,20/08/2021,2,,34%,0.00,0,5,0,0,,144,13,9,2,0,1,0,2,2,3,2,0,,0,,2,1,97,8,19,,9/29 (31%),1/4 (25%),45%,13,26/59 (44%),8/17 (47%),5/8 (63%),46%,13,4,,16,,0,,,,,8
9564581,37,36890,NORMAL,REGULAR,Round 2,LEAGUE,2971,PEC Zwolle,Visita,ALL,20/08/2021,2,0,62%,0.00,0,17,1,5,15,521,26,14,3,1,1,1,10,6,13,4,0,,0,,1,2,439,39,94,,29/59 (49%),4/25 (16%),53%,13,56/105 (53%),14/26 (54%),16/30 (53%),50%,26,11,,9,,1,,,,,3
