Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9619752,238,37358,NORMAL,REGULAR,Round 1,LEAGUE,3010,Gil Vicente,Local,ALL,09/08/2021,1,3,60%,0.00,4,9,5,1,21,567,16,10,3,,6,0,3,0,5,4,2,2,2,,0,1,474,21,67,,51/82 (62%),3/8 (38%),44%,10,30/78 (38%),21/39 (54%),6/16 (38%),63%,16,10,,12,,5,,,,,7
9619752,238,37358,NORMAL,REGULAR,Round 1,LEAGUE,3010,Gil Vicente,Local,1ST,09/08/2021,1,2,65%,0.00,1,4,1,0,,321,11,5,0,,3,0,1,0,1,3,1,0,1,,0,1,279,7,33,,31/44 (70%),0/5 (0%),47%,4,18/35 (51%),7/18 (39%),2/6 (33%),73%,11,3,,4,,1,,,,,4
9619752,238,37358,NORMAL,REGULAR,Round 1,LEAGUE,3010,Gil Vicente,Local,2ND,09/08/2021,1,1,55%,0.00,3,5,4,1,,246,5,5,3,,3,0,2,0,4,1,1,2,1,,0,0,195,14,34,,20/38 (53%),3/3 (100%),41%,6,12/43 (28%),14/21 (67%),4/10 (40%),40%,5,7,,8,,4,,,,,3
9619752,238,37358,NORMAL,REGULAR,Round 1,LEAGUE,2995,Boavista,Visita,ALL,09/08/2021,1,0,40%,0.00,1,13,3,5,10,360,20,21,3,,5,0,5,3,5,8,0,1,0,,4,3,267,27,46,,25/61 (41%),4/17 (24%),56%,9,48/78 (62%),18/39 (46%),7/14 (50%),60%,20,14,,6,,3,,,,,7
9619752,238,37358,NORMAL,REGULAR,Round 1,LEAGUE,2995,Boavista,Visita,1ST,09/08/2021,1,0,35%,0.00,0,5,1,4,,166,8,7,0,,1,0,3,1,1,4,0,0,0,,2,2,130,14,19,,12/24 (50%),2/8 (25%),53%,5,17/35 (49%),11/18 (61%),2/8 (25%),50%,8,6,,2,,1,,,,,4
9619752,238,37358,NORMAL,REGULAR,Round 1,LEAGUE,2995,Boavista,Visita,2ND,09/08/2021,1,0,45%,0.00,1,8,2,1,,194,12,14,3,,4,0,2,2,4,4,0,1,0,,2,1,137,13,27,,13/37 (35%),2/9 (22%),59%,4,31/43 (72%),7/21 (33%),5/6 (83%),67%,12,8,,4,,2,,,,,3
9620059,238,37358,NORMAL,REGULAR,Round 2,LEAGUE,2995,Boavista,Local,ALL,16/08/2021,2,3,33%,0.00,2,8,5,2,16,259,18,15,3,,4,0,3,1,6,2,2,0,0,,0,,182,14,31,,24/56 (43%),3/10 (30%),52%,5,42/76 (55%),15/33 (45%),9/17 (53%),67%,18,8,,25,,5,,,,,7
9620059,238,37358,NORMAL,REGULAR,Round 2,LEAGUE,2995,Boavista,Local,1ST,16/08/2021,2,1,34%,0.00,1,4,1,1,,139,11,9,1,,2,0,2,0,3,1,1,0,0,,0,,101,10,13,,14/29 (48%),2/6 (33%),58%,1,24/38 (63%),7/15 (47%),4/10 (40%),55%,11,3,,9,,1,,,,,4
9620059,238,37358,NORMAL,REGULAR,Round 2,LEAGUE,2995,Boavista,Local,2ND,16/08/2021,2,2,31%,0.00,1,4,4,1,,120,7,6,2,,2,0,1,1,3,1,1,0,0,,0,,81,4,18,,10/27 (37%),1/4 (25%),46%,4,18/38 (47%),8/18 (44%),5/7 (71%),86%,7,5,,16,,4,,,,,3
9620059,238,37358,NORMAL,REGULAR,Round 2,LEAGUE,3003,Paços de Ferreira,Visita,ALL,16/08/2021,2,0,67%,0.00,2,17,1,8,15,532,13,14,2,,5,1,6,6,10,7,0,2,1,,7,,449,24,57,,53/77 (69%),9/25 (36%),48%,11,34/76 (45%),18/33 (55%),7/14 (50%),38%,13,8,,3,,1,,,,,7
9620059,238,37358,NORMAL,REGULAR,Round 2,LEAGUE,3003,Paços de Ferreira,Visita,1ST,16/08/2021,2,0,66%,0.00,0,3,1,3,,270,7,6,1,,1,0,1,1,1,2,0,0,0,,3,,224,12,27,,25/40 (63%),3/10 (30%),42%,8,14/38 (37%),8/15 (53%),1/4 (25%),29%,7,7,,2,,1,,,,,3
9620059,238,37358,NORMAL,REGULAR,Round 2,LEAGUE,3003,Paços de Ferreira,Visita,2ND,16/08/2021,2,0,69%,0.00,2,14,0,5,,262,6,8,1,,4,1,5,5,9,5,0,2,1,,4,,225,12,30,,28/37 (76%),6/15 (40%),54%,3,20/38 (53%),10/18 (56%),6/10 (60%),50%,6,1,,1,,0,,,,,4
9620332,238,37358,NORMAL,REGULAR,Round 3,LEAGUE,2995,Boavista,Local,ALL,23/08/2021,3,2,47%,0.00,2,9,2,5,16,375,18,11,3,,4,0,4,1,8,1,2,0,0,,0,1,303,26,42,,22/57 (39%),2/13 (15%),44%,10,40/91 (44%),12/28 (43%),12/23 (52%),56%,18,8,,16,,2,,,,,9
9620332,238,37358,NORMAL,REGULAR,Round 3,LEAGUE,2995,Boavista,Local,1ST,23/08/2021,3,1,47%,0.00,1,4,2,2,,211,10,5,0,,1,0,2,1,4,0,1,0,0,,0,0,177,14,22,,13/28 (46%),0/7 (0%),43%,5,22/48 (46%),3/10 (30%),7/14 (50%),60%,10,2,,6,,2,,,,,2
9620332,238,37358,NORMAL,REGULAR,Round 3,LEAGUE,2995,Boavista,Local,2ND,23/08/2021,3,1,46%,0.00,1,5,0,3,,164,8,6,3,,3,0,2,0,4,1,1,0,0,,0,1,126,12,20,,9/29 (31%),2/6 (33%),44%,5,18/43 (42%),9/18 (50%),5/9 (56%),50%,8,6,,10,,0,,,,,7
9620332,238,37358,NORMAL,REGULAR,Round 3,LEAGUE,3011,Santa Clara,Visita,ALL,23/08/2021,3,0,53%,0.00,1,11,2,5,11,426,21,15,3,,2,0,6,3,10,1,0,1,2,,2,1,355,19,58,,28/50 (56%),3/13 (23%),56%,6,51/91 (56%),16/28 (57%),15/27 (56%),57%,21,12,,6,,2,,,,,4
9620332,238,37358,NORMAL,REGULAR,Round 3,LEAGUE,3011,Santa Clara,Visita,1ST,23/08/2021,3,0,53%,0.00,0,6,0,3,,240,12,3,1,,2,0,1,3,5,1,0,0,2,,0,1,207,8,25,,14/28 (50%),0/5 (0%),57%,3,26/48 (54%),7/10 (70%),11/18 (61%),67%,12,5,,5,,0,,,,,2
9620332,238,37358,NORMAL,REGULAR,Round 3,LEAGUE,3011,Santa Clara,Visita,2ND,23/08/2021,3,0,54%,0.00,1,5,2,2,,186,9,12,2,,0,0,5,0,5,0,0,1,0,,2,0,148,11,33,,14/22 (64%),3/8 (38%),56%,3,25/43 (58%),9/18 (50%),4/9 (44%),44%,9,7,,1,,2,,,,,2
