Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9627262,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3018,Leixões SC,Local,ALL,10/08/2021,1,3,39%,,,6,4,6,16,,,12,3,0,4,,2,,,,,,,,,0,,25,,,,,,,,,,,,,,,,4,,,,,8
9627262,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3018,Leixões SC,Local,1ST,10/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627262,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3018,Leixões SC,Local,2ND,10/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627262,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,2998,SC Farense,Visita,ALL,10/08/2021,1,1,61%,,,10,1,5,11,,,16,4,0,5,,5,,,,,,,,,1,,44,,,,,,,,,,,,,,,,1,,,,,5
9627262,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,2998,SC Farense,Visita,1ST,10/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627262,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,2998,SC Farense,Visita,2ND,10/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627268,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,2998,SC Farense,Local,ALL,15/08/2021,2,1,53%,,,6,4,5,16,,,18,4,0,3,,3,,,,,,,,,3,,26,,,,,,,,,,,,,,,,4,,,,,5
9627268,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,2998,SC Farense,Local,1ST,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627268,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,2998,SC Farense,Local,2ND,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627268,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3036,Rio Ave,Visita,ALL,15/08/2021,2,1,47%,,,6,2,8,17,,,19,3,0,4,,2,,,,,,,,,1,,27,,,,,,,,,,,,,,,,2,,,,,7
9627268,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3036,Rio Ave,Visita,1ST,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
