Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9627261,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,74465,SL Benfica B U21,Local,ALL,09/08/2021,1,5,52%,,,8,,5,16,,,14,2,0,5,,3,,,,,,,,,1,,14,,,,,,,,,,,,,,,,,,,,,5
9627261,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,74465,SL Benfica B U21,Local,1ST,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627261,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,74465,SL Benfica B U21,Local,2ND,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627261,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3013,CD Nacional,Visita,ALL,09/08/2021,1,0,48%,,,3,,5,10,,,17,1,0,0,,3,,,,,,,,,4,,19,,,,,,,,,,,,,,,,,,,,,11
9627261,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3013,CD Nacional,Visita,1ST,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627261,239,37424,NORMAL,REGULAR,Round 1,LEAGUE,3013,CD Nacional,Visita,2ND,09/08/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3013,CD Nacional,Local,ALL,15/08/2021,2,4,60%,,,13,1,10,8,,,10,2,0,7,,6,,,,,,,,,0,,21,,,,,,,,,,,,,,,,1,,,,,5
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3013,CD Nacional,Local,1ST,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,3013,CD Nacional,Local,2ND,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,207129,UD Vilafranquense,Visita,ALL,15/08/2021,2,0,40%,,,2,4,2,9,,,8,1,2,1,,1,,,,,,,,,1,,23,,,,,,,,,,,,,,,,4,,,,,14
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,207129,UD Vilafranquense,Visita,1ST,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627269,239,37424,NORMAL,REGULAR,Round 2,LEAGUE,207129,UD Vilafranquense,Visita,2ND,15/08/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627283,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,74469,FC Porto B,Local,ALL,22/08/2021,3,1,37%,,,9,4,8,21,,,7,3,0,5,,4,,,,,,,,,0,,21,,,,,,,,,,,,,,,,4,,,,,13
9627283,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,74469,FC Porto B,Local,1ST,22/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627283,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,74469,FC Porto B,Local,2ND,22/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627283,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,3013,CD Nacional,Visita,ALL,22/08/2021,3,1,63%,,,10,4,4,6,,,21,1,0,5,,5,,,,,,,,,1,,23,,,,,,,,,,,,,,,,4,,,,,8
9627283,239,37424,NORMAL,REGULAR,Round 3,LEAGUE,3013,CD Nacional,Visita,1ST,22/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
