Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10186873,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,3030,Felgueiras,Local,ALL,20/03/2022,1,1,,,,,,8,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186873,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,3030,Felgueiras,Local,1ST,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186873,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,3030,Felgueiras,Local,2ND,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186873,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Visita,ALL,20/03/2022,1,2,,,,,,7,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186873,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Visita,1ST,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186873,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Visita,2ND,20/03/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186907,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Local,ALL,15/04/2022,4,1,,,,,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186907,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Local,1ST,15/04/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186907,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,74475,Vitória SC B,Local,2ND,15/04/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186907,17101,37745,NORMAL,GROUP,"Liga 3, Championship round, Group 1",LEAGUE,3030,Felgueiras,Visita,ALL,15/04/2022,4,1,,,,,,3,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
