Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9646826,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,3053,Samsunspor,Local,ALL,20/08/2021,2,3,67%,0.00,2,17,0,14,15,556,12,15,0,,6,0,7,4,9,8,2,,3,,1,1,462,20,72,,35/50 (70%),7/35 (20%),52%,8,45/84 (54%),26/52 (50%),18/25 (72%),67%,12,12,,11,,0,,,,,6
9646826,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,3053,Samsunspor,Local,1ST,20/08/2021,2,2,75%,0.00,2,11,0,11,,297,6,8,0,,3,0,6,2,5,6,2,,1,,0,0,253,7,36,,15/19 (79%),4/22 (18%),55%,7,24/45 (53%),16/28 (57%),10/14 (71%),50%,6,5,,3,,0,,,,,0
9646826,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,3053,Samsunspor,Local,2ND,20/08/2021,2,1,59%,0.00,0,6,0,3,,259,6,7,0,,3,0,1,2,4,2,0,,2,,1,1,209,13,36,,20/31 (65%),3/13 (23%),49%,1,21/39 (54%),10/24 (42%),8/11 (73%),83%,6,7,,8,,0,,,,,6
9646826,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,37687,Balıkesirspor,Visita,ALL,20/08/2021,2,1,33%,0.00,1,6,3,2,17,283,15,15,2,,1,0,4,1,4,2,1,,0,,2,0,180,13,34,,18/47 (38%),4/9 (44%),48%,9,39/84 (46%),26/52 (50%),10/13 (77%),53%,15,11,,33,,3,,,,,14
9646826,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,37687,Balıkesirspor,Visita,1ST,20/08/2021,2,1,25%,0.00,1,1,1,0,,105,11,8,1,,1,0,0,0,1,0,1,,0,,0,0,55,5,13,,8/25 (32%),0/0 (0%),45%,4,21/45 (47%),12/28 (43%),3/5 (60%),55%,11,4,,15,,1,,,,,11
9646826,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,37687,Balıkesirspor,Visita,2ND,20/08/2021,2,0,41%,0.00,0,5,2,2,,178,4,7,1,,0,0,4,1,3,2,0,,0,,2,0,125,8,21,,10/22 (45%),4/9 (44%),51%,5,18/39 (46%),14/24 (58%),7/8 (88%),50%,4,7,,18,,2,,,,,3
9647048,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,3065,Kocaelispor,Local,ALL,28/08/2021,3,1,32%,0.00,3,11,4,2,13,251,19,12,3,,6,1,3,2,6,5,1,2,0,,1,,149,19,54,,28/67 (42%),3/12 (25%),52%,5,35/70 (50%),26/48 (54%),5/12 (42%),58%,19,10,,21,,4,,,,,13
9647048,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,3065,Kocaelispor,Local,1ST,28/08/2021,3,1,29%,0.00,2,4,1,2,,104,9,7,1,,4,0,0,0,3,1,1,1,0,,1,,58,13,27,,16/31 (52%),3/8 (38%),58%,2,20/34 (59%),14/25 (56%),5/6 (83%),67%,9,4,,11,,1,,,,,5
9647048,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,3065,Kocaelispor,Local,2ND,28/08/2021,3,0,36%,0.00,1,7,3,0,,147,10,5,2,,2,1,3,2,3,4,0,1,0,,0,,91,6,27,,12/36 (33%),0/4 (0%),46%,3,15/36 (42%),12/23 (52%),0/6 (0%),50%,10,6,,10,,3,,,,,8
9647048,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,3053,Samsunspor,Visita,ALL,28/08/2021,3,0,68%,0.00,2,17,5,8,12,524,12,13,2,,4,0,8,5,10,7,0,2,1,,3,,413,29,94,,17/51 (33%),4/22 (18%),48%,8,35/70 (50%),22/48 (46%),11/22 (50%),58%,12,6,,10,,5,,,,,3
9647048,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,3053,Samsunspor,Visita,1ST,28/08/2021,3,0,71%,0.00,1,7,3,3,,271,3,7,1,,1,0,3,3,3,4,0,1,1,,1,,224,12,40,,10/22 (45%),1/10 (10%),42%,4,14/34 (41%),11/25 (44%),5/10 (50%),67%,3,1,,8,,3,,,,,1
9647048,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,3053,Samsunspor,Visita,2ND,28/08/2021,3,0,64%,0.00,1,10,2,5,,253,9,6,1,,3,0,5,2,7,3,0,1,0,,2,,189,17,54,,7/29 (24%),3/12 (25%),54%,4,21/36 (58%),11/23 (48%),6/12 (50%),56%,9,5,,2,,2,,,,,2
9647272,98,37482,NORMAL,REGULAR,Round 4,LEAGUE,3053,Samsunspor,Local,ALL,12/09/2021,4,2,50%,0.00,3,19,3,5,11,406,19,14,2,,6,2,8,5,16,3,1,2,0,,4,4,328,21,72,,31/55 (56%),3/18 (17%),60%,9,40/68 (59%),17/27 (63%),7/10 (70%),47%,19,13,,14,,3,,,,,6
9647272,98,37482,NORMAL,REGULAR,Round 4,LEAGUE,3053,Samsunspor,Local,1ST,12/09/2021,4,1,51%,0.00,1,5,1,2,,222,8,7,2,,4,1,0,1,4,1,1,0,0,,0,3,184,7,31,,16/29 (55%),0/5 (0%),53%,6,20/40 (50%),9/15 (60%),5/7 (71%),63%,8,7,,4,,1,,,,,2
9647272,98,37482,NORMAL,REGULAR,Round 4,LEAGUE,3053,Samsunspor,Local,2ND,12/09/2021,4,1,49%,0.00,2,14,2,3,,184,11,7,0,,2,1,8,4,12,2,0,2,0,,4,1,144,14,41,,15/26 (58%),3/13 (23%),70%,3,20/28 (71%),8/12 (67%),2/3 (67%),36%,11,6,,10,,2,,,,,4
9647272,98,37482,NORMAL,REGULAR,Round 4,LEAGUE,6366,Keçiörengücü,Visita,ALL,12/09/2021,4,0,50%,0.00,1,9,4,3,15,409,12,10,2,,3,0,3,3,5,4,0,1,1,,0,1,327,12,48,,26/61 (43%),4/12 (33%),40%,6,28/68 (41%),10/27 (37%),6/19 (32%),58%,12,5,,24,,4,,,,,11
9647272,98,37482,NORMAL,REGULAR,Round 4,LEAGUE,6366,Keçiörengücü,Visita,1ST,12/09/2021,4,0,49%,0.00,1,4,3,1,,213,8,7,1,,1,0,2,1,2,2,0,1,1,,0,1,167,6,24,,16/35 (46%),2/5 (40%),47%,2,20/40 (50%),6/15 (40%),5/11 (45%),50%,8,4,,6,,3,,,,,2
9647272,98,37482,NORMAL,REGULAR,Round 4,LEAGUE,6366,Keçiörengücü,Visita,2ND,12/09/2021,4,0,51%,0.00,0,5,1,2,,196,4,3,1,,2,0,1,2,3,2,0,0,0,,0,0,160,6,24,,10/26 (38%),2/7 (29%),30%,4,8/28 (29%),4/12 (33%),1/8 (13%),75%,4,1,,18,,1,,,,,9
9647347,98,37482,NORMAL,REGULAR,Round 5,LEAGUE,3055,Bursaspor,Local,ALL,15/09/2021,5,4,46%,0.00,3,17,3,3,13,360,19,5,5,1,9,0,4,4,8,9,3,,1,,2,1,285,22,47,,25/50 (50%),0/7 (0%),39%,15,30/77 (39%),13/32 (41%),6/11 (55%),58%,19,17,,21,,3,,,,,8
9647347,98,37482,NORMAL,REGULAR,Round 5,LEAGUE,3055,Bursaspor,Local,1ST,15/09/2021,5,1,59%,0.00,1,9,1,1,,230,8,4,1,0,5,0,2,2,4,5,1,,0,,1,1,192,14,25,,15/27 (56%),0/6 (0%),40%,6,15/35 (43%),6/17 (35%),3/6 (50%),75%,8,8,,4,,1,,,,,2
9647347,98,37482,NORMAL,REGULAR,Round 5,LEAGUE,3055,Bursaspor,Local,2ND,15/09/2021,5,3,32%,0.00,2,8,2,2,,130,11,1,4,1,4,0,2,2,4,4,2,,1,,1,0,93,8,22,,10/23 (43%),0/1 (0%),39%,9,15/42 (36%),7/15 (47%),3/5 (60%),45%,11,9,,17,,2,,,,,6
9647347,98,37482,NORMAL,REGULAR,Round 5,LEAGUE,3053,Samsunspor,Visita,ALL,15/09/2021,5,1,54%,0.00,0,13,5,9,7,412,20,13,6,0,3,0,7,3,7,6,0,,0,,3,3,329,19,56,,22/43 (51%),7/27 (26%),61%,6,47/77 (61%),19/32 (59%),14/27 (52%),65%,20,17,,12,,5,,,,,6
9647347,98,37482,NORMAL,REGULAR,Round 5,LEAGUE,3053,Samsunspor,Visita,1ST,15/09/2021,5,1,41%,0.00,0,4,4,2,,161,9,6,3,0,1,0,2,1,1,3,0,,0,,1,3,113,6,19,,12/26 (46%),1/6 (17%),60%,3,20/35 (57%),11/17 (65%),5/10 (50%),56%,9,8,,9,,4,,,,,3
9647347,98,37482,NORMAL,REGULAR,Round 5,LEAGUE,3053,Samsunspor,Visita,2ND,15/09/2021,5,0,68%,0.00,0,9,1,7,,251,11,7,3,0,2,0,5,2,6,3,0,,0,,2,0,216,13,37,,10/17 (59%),6/21 (29%),61%,3,27/42 (64%),8/15 (53%),9/17 (53%),73%,11,9,,3,,1,,,,,3
9647069,98,37482,NORMAL,REGULAR,Round 6,LEAGUE,3053,Samsunspor,Local,ALL,19/09/2021,6,2,62%,0.00,1,19,7,12,11,403,16,9,0,,8,0,6,5,10,9,1,0,1,,3,3,320,27,83,,43/65 (66%),12/45 (27%),56%,5,32/64 (50%),23/35 (66%),7/12 (58%),56%,16,10,,22,,7,,,,,9
9647069,98,37482,NORMAL,REGULAR,Round 6,LEAGUE,3053,Samsunspor,Local,1ST,19/09/2021,6,1,56%,0.00,0,7,4,1,,181,4,4,0,,4,0,3,0,4,3,0,0,1,,2,2,146,11,37,,22/28 (79%),5/15 (33%),66%,3,11/21 (52%),12/14 (86%),3/4 (75%),25%,4,8,,17,,4,,,,,6
9647069,98,37482,NORMAL,REGULAR,Round 6,LEAGUE,3053,Samsunspor,Local,2ND,19/09/2021,6,1,67%,0.00,1,12,3,11,,222,12,5,0,,4,0,3,5,6,6,1,0,0,,1,1,174,16,46,,21/37 (57%),7/30 (23%),50%,2,21/43 (49%),11/21 (52%),4/8 (50%),67%,12,2,,5,,3,,,,,3
9647069,98,37482,NORMAL,REGULAR,Round 6,LEAGUE,7802,Gençlerbirliği,Visita,ALL,19/09/2021,6,2,38%,0.00,6,24,6,7,9,253,10,8,2,,9,1,10,5,15,9,1,5,3,,1,1,184,21,42,,23/56 (41%),6/20 (30%),44%,8,32/64 (50%),12/35 (34%),14/22 (64%),70%,10,14,,37,,6,,,,,10
9647069,98,37482,NORMAL,REGULAR,Round 6,LEAGUE,7802,Gençlerbirliği,Visita,1ST,19/09/2021,6,1,44%,0.00,4,14,3,6,,140,4,3,0,,5,1,7,2,9,5,1,3,2,,0,0,100,14,22,,8/29 (28%),3/13 (23%),34%,3,10/21 (48%),2/14 (14%),3/4 (75%),75%,4,8,,8,,3,,,,,4
9647069,98,37482,NORMAL,REGULAR,Round 6,LEAGUE,7802,Gençlerbirliği,Visita,2ND,19/09/2021,6,1,33%,0.00,2,10,3,1,,113,6,5,2,,4,0,3,3,6,4,0,2,1,,1,1,84,7,20,,15/27 (56%),3/7 (43%),50%,5,22/43 (51%),10/21 (48%),11/18 (61%),67%,6,6,,29,,3,,,,,6
9647035,98,37482,NORMAL,REGULAR,Round 7,LEAGUE,3058,Denizlispor,Local,ALL,27/09/2021,7,2,53%,0.00,2,7,2,5,10,450,11,12,6,,3,0,3,1,4,3,2,,,,2,2,367,27,68,,31/57 (54%),2/14 (14%),48%,10,28/61 (46%),18/34 (53%),6/14 (43%),73%,11,7,,24,,2,,,,,9
9647035,98,37482,NORMAL,REGULAR,Round 7,LEAGUE,3058,Denizlispor,Local,1ST,27/09/2021,7,1,51%,0.00,1,3,1,4,,227,5,8,1,,2,0,1,0,1,2,1,,,,2,1,188,8,22,,17/30 (57%),2/8 (25%),50%,3,14/25 (56%),9/21 (43%),2/8 (25%),80%,5,6,,14,,1,,,,,6
9647035,98,37482,NORMAL,REGULAR,Round 7,LEAGUE,3058,Denizlispor,Local,2ND,27/09/2021,7,1,56%,0.00,1,4,1,1,,223,6,4,5,,1,0,2,1,3,1,1,,,,0,1,179,19,46,,14/27 (52%),0/6 (0%),47%,7,14/36 (39%),9/13 (69%),4/6 (67%),67%,6,1,,10,,1,,,,,3
9647035,98,37482,NORMAL,REGULAR,Round 7,LEAGUE,3053,Samsunspor,Visita,ALL,27/09/2021,7,3,47%,0.00,3,15,1,3,13,386,18,10,3,,5,0,5,5,13,2,3,,,,4,4,303,26,52,,26/49 (53%),8/28 (29%),52%,5,33/61 (54%),16/34 (47%),5/11 (45%),89%,18,15,,21,,1,,,,,4
9647035,98,37482,NORMAL,REGULAR,Round 7,LEAGUE,3053,Samsunspor,Visita,1ST,27/09/2021,7,0,49%,0.00,0,8,1,2,,213,9,1,1,,1,0,5,2,6,2,0,,,,0,2,175,16,21,,10/18 (56%),5/17 (29%),50%,2,11/25 (44%),12/21 (57%),1/4 (25%),89%,9,7,,7,,1,,,,,2
9647035,98,37482,NORMAL,REGULAR,Round 7,LEAGUE,3053,Samsunspor,Visita,2ND,27/09/2021,7,3,44%,0.00,3,7,0,1,,173,9,9,2,,4,0,0,3,7,0,3,,,,4,2,128,10,31,,16/31 (52%),3/11 (27%),53%,3,22/36 (61%),4/13 (31%),4/7 (57%),89%,9,8,,14,,0,,,,,2
9647256,98,37482,NORMAL,REGULAR,Round 8,LEAGUE,3053,Samsunspor,Local,ALL,03/10/2021,8,1,50%,0.00,2,17,3,7,6,354,10,13,2,0,1,0,13,3,13,4,1,1,,,4,2,271,40,68,,28/55 (51%),7/36 (19%),51%,15,29/59 (49%),23/43 (53%),6/10 (60%),50%,10,7,,17,,3,,,,,5
9647256,98,37482,NORMAL,REGULAR,Round 8,LEAGUE,3053,Samsunspor,Local,1ST,03/10/2021,8,0,50%,0.00,0,7,1,2,,223,4,4,1,0,0,0,5,2,5,2,0,0,,,0,2,181,13,38,,16/31 (52%),4/14 (29%),50%,8,12/27 (44%),10/17 (59%),4/5 (80%),75%,4,2,,12,,1,,,,,3
9647256,98,37482,NORMAL,REGULAR,Round 8,LEAGUE,3053,Samsunspor,Local,2ND,03/10/2021,8,1,49%,0.00,2,10,2,5,,131,6,9,1,0,1,0,8,1,8,2,1,1,,,4,0,90,27,30,,12/24 (50%),3/22 (14%),52%,7,17/32 (53%),13/26 (50%),2/5 (40%),33%,6,5,,5,,2,,,,,2
9647256,98,37482,NORMAL,REGULAR,Round 8,LEAGUE,55625,Ümraniyespor,Visita,ALL,03/10/2021,8,1,50%,0.00,2,10,0,3,14,374,19,6,5,1,4,0,4,2,4,6,1,1,,,2,0,279,20,51,,32/65 (49%),2/21 (10%),49%,4,30/59 (51%),20/43 (47%),5/11 (45%),68%,19,8,,41,,0,,,,,18
9647256,98,37482,NORMAL,REGULAR,Round 8,LEAGUE,55625,Ümraniyespor,Visita,1ST,03/10/2021,8,0,50%,0.00,0,4,0,2,,222,9,3,1,0,1,0,2,1,1,3,0,0,,,0,0,174,12,32,,14/31 (45%),2/14 (14%),50%,1,15/27 (56%),7/17 (41%),3/6 (50%),56%,9,5,,14,,0,,,,,7
9647256,98,37482,NORMAL,REGULAR,Round 8,LEAGUE,55625,Ümraniyespor,Visita,2ND,03/10/2021,8,1,51%,0.00,2,6,0,1,,152,10,3,4,1,3,0,2,1,3,3,1,1,,,2,0,105,8,19,,18/34 (53%),0/7 (0%),48%,3,15/32 (47%),13/26 (50%),2/5 (40%),80%,10,3,,27,,0,,,,,11
9647079,98,37482,NORMAL,REGULAR,Round 9,LEAGUE,44355,Menemen FK,Local,ALL,16/10/2021,9,3,37%,0.00,3,15,3,5,8,309,14,12,0,0,7,0,7,1,12,3,2,1,,,2,0,207,30,48,,23/62 (37%),4/13 (31%),50%,6,36/67 (54%),23/50 (46%),11/22 (50%),36%,14,13,,28,,3,,,,,7
9647079,98,37482,NORMAL,REGULAR,Round 9,LEAGUE,44355,Menemen FK,Local,1ST,16/10/2021,9,1,35%,0.00,0,5,1,5,,155,7,5,0,0,3,0,2,0,4,1,0,0,,,0,0,107,17,21,,14/30 (47%),3/11 (27%),49%,4,15/27 (56%),10/24 (42%),4/8 (50%),14%,7,8,,17,,1,,,,,3
9647079,98,37482,NORMAL,REGULAR,Round 9,LEAGUE,44355,Menemen FK,Local,2ND,16/10/2021,9,2,40%,0.00,3,10,2,0,,154,7,7,0,0,4,0,5,1,8,2,2,1,,,2,0,100,13,27,,9/32 (28%),1/2 (50%),52%,2,21/40 (53%),13/26 (50%),7/14 (50%),57%,7,5,,11,,2,,,,,4
