Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9643885,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3076,Sivasspor,Local,ALL,16/08/2021,1,0,51%,0.00,2,14,4,5,13,444,14,9,0,,3,0,8,3,10,4,0,2,,,1,,371,23,57,,34/60 (57%),10/28 (36%),48%,3,29/64 (45%),15/28 (54%),6/15 (40%),57%,14,6,,16,,4,,,,,10
9643885,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3076,Sivasspor,Local,1ST,16/08/2021,1,0,53%,0.00,1,6,2,2,,234,6,4,0,,1,0,4,1,4,2,0,1,,,0,,199,14,29,,25/38 (66%),5/16 (31%),57%,1,15/27 (56%),6/10 (60%),5/9 (56%),67%,6,5,,10,,2,,,,,4
9643885,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3076,Sivasspor,Local,2ND,16/08/2021,1,,50%,0.00,1,8,2,3,,210,8,5,0,,2,0,4,2,6,2,0,1,,,1,,172,9,28,,9/22 (41%),5/12 (42%),42%,2,14/37 (38%),9/18 (50%),1/6 (17%),50%,8,1,,6,,2,,,,,6
9643885,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3085,Konyaspor,Visita,ALL,16/08/2021,1,1,49%,0.00,1,14,3,3,9,442,12,12,2,,5,0,5,4,9,5,1,0,,,0,,371,28,56,,29/62 (47%),3/17 (18%),52%,8,35/64 (55%),13/28 (46%),11/17 (65%),58%,12,11,,25,,3,,,,,7
9643885,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3085,Konyaspor,Visita,1ST,16/08/2021,1,0,47%,0.00,0,4,1,2,,219,5,3,0,,2,0,2,0,2,2,0,0,,,0,,182,13,27,,18/37 (49%),1/9 (11%),43%,5,12/27 (44%),4/10 (40%),4/5 (80%),60%,5,7,,10,,1,,,,,2
9643885,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3085,Konyaspor,Visita,2ND,16/08/2021,1,,50%,0.00,1,10,2,1,,223,7,9,2,,3,0,3,4,7,3,1,0,,,0,,189,15,29,,11/25 (44%),2/8 (25%),58%,3,23/37 (62%),9/18 (50%),7/12 (58%),57%,7,4,,15,,2,,,,,5
9643893,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3051,Trabzonspor,Local,ALL,23/08/2021,2,2,53%,0.00,2,14,3,4,18,475,9,7,4,,6,0,5,3,7,7,1,1,,,3,1,406,16,50,,30/54 (56%),3/12 (25%),36%,8,22/62 (35%),11/29 (38%),6/12 (50%),67%,9,6,,20,,3,,,,,13
9643893,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3051,Trabzonspor,Local,1ST,23/08/2021,2,1,49%,0.00,1,8,1,1,,243,3,2,1,,2,0,3,3,4,4,1,0,,,1,0,204,8,26,,13/26 (50%),1/3 (33%),31%,6,7/29 (24%),6/13 (46%),2/5 (40%),67%,3,2,,11,,1,,,,,9
9643893,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3051,Trabzonspor,Local,2ND,23/08/2021,2,,58%,0.00,1,6,2,3,,232,6,5,3,,4,0,2,0,3,3,0,1,,,2,1,202,8,24,,17/28 (61%),2/9 (22%),41%,2,15/33 (45%),5/16 (31%),4/7 (57%),67%,6,4,,9,,2,,,,,4
9643893,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3076,Sivasspor,Visita,ALL,23/08/2021,2,1,47%,0.00,4,18,4,4,9,406,14,18,2,,4,0,10,4,12,6,0,4,,,3,2,343,14,55,,37/55 (67%),9/29 (31%),64%,6,40/62 (65%),18/29 (62%),8/11 (73%),64%,14,12,,15,,4,,,,,9
