Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3086,Başakşehir FK,Local,ALL,15/08/2021,1,0,58%,0.00,1,17,3,8,17,550,14,9,0,,5,0,7,5,11,6,,1,2,,4,2,477,24,44,,20/37 (54%),6/24 (25%),45%,10,29/66 (44%),16/33 (48%),6/8 (75%),57%,14,10,,13,,3,,,,,1
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3086,Başakşehir FK,Local,1ST,15/08/2021,1,0,47%,0.00,0,4,1,1,,222,5,5,0,,1,0,1,2,2,2,,0,1,,3,0,185,9,19,,9/18 (50%),2/5 (40%),46%,2,14/30 (47%),5/11 (45%),4/6 (67%),40%,5,4,,8,,1,,,,,0
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3086,Başakşehir FK,Local,2ND,15/08/2021,1,,68%,0.00,1,13,2,7,,328,9,4,0,,4,0,6,3,9,4,,1,1,,1,2,292,15,25,,11/19 (58%),4/19 (21%),45%,8,15/36 (42%),11/22 (50%),2/2 (100%),67%,9,6,,5,,2,,,,,1
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,6362,Alanyaspor,Visita,ALL,15/08/2021,1,1,42%,0.00,1,8,4,0,9,403,12,16,2,,4,1,2,2,3,5,,1,1,,3,2,326,18,29,,29/52 (56%),2/13 (15%),55%,6,37/66 (56%),17/33 (52%),9/17 (53%),67%,12,8,,25,,4,,,,,11
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,6362,Alanyaspor,Visita,1ST,15/08/2021,1,1,53%,0.00,1,6,1,0,,244,4,7,1,,2,1,2,2,2,4,,1,1,,2,0,204,14,18,,17/25 (68%),1/8 (13%),54%,2,16/30 (53%),6/11 (55%),5/8 (63%),50%,4,3,,8,,1,,,,,4
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,6362,Alanyaspor,Visita,2ND,15/08/2021,1,,32%,0.00,0,2,3,0,,159,8,9,1,,2,0,0,0,1,1,,0,0,,1,2,122,4,11,,12/27 (44%),1/5 (20%),55%,4,21/36 (58%),11/22 (50%),4/9 (44%),75%,8,5,,17,,3,,,,,7
9643896,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3085,Konyaspor,Local,ALL,22/08/2021,2,2,44%,0.00,1,15,3,4,7,430,9,11,1,,6,0,6,3,8,7,1,0,,,3,2,368,15,55,,38/59 (64%),8/24 (33%),60%,3,25/45 (56%),14/20 (70%),6/12 (50%),89%,9,6,,19,,3,,,,,9
9643896,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3085,Konyaspor,Local,1ST,22/08/2021,2,0,44%,0.00,0,4,1,2,,235,4,6,0,,0,0,3,1,2,2,0,0,,,0,1,204,6,26,,20/29 (69%),3/8 (38%),57%,0,12/19 (63%),4/9 (44%),2/5 (40%),100%,4,1,,5,,1,,,,,3
9643896,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3085,Konyaspor,Local,2ND,22/08/2021,2,,44%,0.00,1,11,2,2,,195,5,5,1,,6,0,3,2,6,5,1,0,,,3,1,164,9,29,,18/30 (60%),5/16 (31%),62%,3,13/26 (50%),10/11 (91%),4/7 (57%),80%,5,5,,14,,2,,,,,6
9643896,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3086,Başakşehir FK,Visita,ALL,22/08/2021,2,1,56%,0.00,1,13,4,5,12,567,9,7,0,,4,1,5,4,5,8,0,1,,,2,2,510,24,48,,20/41 (49%),3/20 (15%),40%,4,20/45 (44%),6/20 (30%),4/9 (44%),33%,9,5,,16,,4,,,,,10
9643896,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3086,Başakşehir FK,Visita,1ST,22/08/2021,2,1,56%,0.00,1,4,0,0,,309,3,3,0,,2,1,2,0,3,1,0,1,,,2,2,285,13,23,,10/20 (50%),1/7 (14%),43%,2,7/19 (37%),5/9 (56%),1/3 (33%),33%,3,4,,5,,0,,,,,4
9643896,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3086,Başakşehir FK,Visita,2ND,22/08/2021,2,,56%,0.00,0,9,4,5,,258,6,4,0,,2,0,3,4,2,7,0,0,,,0,0,225,11,25,,10/21 (48%),2/13 (15%),38%,2,13/26 (50%),1/11 (9%),3/6 (50%),33%,6,1,,11,,4,,,,,6
9643904,52,37466,NORMAL,REGULAR,Round 3,LEAGUE,3086,Başakşehir FK,Local,ALL,28/08/2021,3,0,63%,0.00,1,14,2,11,16,603,15,9,3,,2,1,9,3,8,6,0,1,1,,4,2,514,25,81,,25/43 (58%),9/34 (26%),50%,7,35/66 (53%),15/34 (44%),11/15 (73%),40%,15,5,,9,,2,,,,,1
