Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9764109,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,3248,Panathinaikos FC,Local,ALL,11/09/2021,1,4,65%,,,9,4,1,12,,,20,3,0,6,,3,0,,,,,,,,2,,25,,,,,,,,,,,,,,,,4,,,,,6
9764109,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,3248,Panathinaikos FC,Local,1ST,11/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764109,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,3248,Panathinaikos FC,Local,2ND,11/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764109,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,6988,GS Apollon Smyrnis,Visita,ALL,11/09/2021,1,0,35%,,,12,0,3,20,,,14,5,0,6,,4,2,,,,,,,,0,,14,,,,,,,,,,,,,,,,0,,,,,6
9764109,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,6988,GS Apollon Smyrnis,Visita,1ST,11/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764109,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,6988,GS Apollon Smyrnis,Visita,2ND,11/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790041,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,6349,PAS Giannina,Local,ALL,18/09/2021,2,1,26%,,,3,3,5,18,,,13,4,0,1,,1,1,,,,,,,,0,,17,,,,,,,,,,,,,,,,3,,,,,13
9790041,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,6349,PAS Giannina,Local,1ST,18/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790041,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,6349,PAS Giannina,Local,2ND,18/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790041,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,3248,Panathinaikos FC,Visita,ALL,18/09/2021,2,0,74%,,,14,0,8,13,,,18,2,0,4,,8,2,,,,,,,,0,,19,,,,,,,,,,,,,,,,0,,,,,3
9790041,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,3248,Panathinaikos FC,Visita,1ST,18/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790041,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,3248,Panathinaikos FC,Visita,2ND,18/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712767,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3252,Aris Thessaloniki,Local,ALL,22/09/2021,3,1,49%,,,5,3,4,20,,,12,5,0,2,,3,0,,,,,,,,1,,18,,,,,,,,,,,,,,,,3,,,,,2
9712767,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3252,Aris Thessaloniki,Local,1ST,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712767,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3252,Aris Thessaloniki,Local,2ND,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712767,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3248,Panathinaikos FC,Visita,ALL,22/09/2021,3,0,51%,,,5,1,3,11,,,21,2,0,3,,1,1,,,,,,,,1,,24,,,,,,,,,,,,,,,,1,,,,,6
9712767,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3248,Panathinaikos FC,Visita,1ST,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712767,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,3248,Panathinaikos FC,Visita,2ND,22/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712802,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,3248,Panathinaikos FC,Local,ALL,26/09/2021,4,5,52%,,,12,4,2,12,,,13,1,0,10,,2,0,,,,,,,,0,,9,,,,,,,,,,,,,,,,4,,,,,8
9712802,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,3248,Panathinaikos FC,Local,1ST,26/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
