Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9625784,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,3292,FC Dinamo București,Local,ALL,19/07/2021,1,3,50%,,,10,5,4,10,,,16,3,0,5,,4,1,,,,,,,,0,,28,,,,,,,,,,,,,,,,5,,,,,14
9625784,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,3292,FC Dinamo București,Local,1ST,19/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625784,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,3292,FC Dinamo București,Local,2ND,19/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625784,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,44255,FC Voluntari,Visita,ALL,19/07/2021,1,2,50%,,,15,2,6,14,,,10,4,0,7,,5,3,,,,,,,,2,,23,,,,,,,,,,,,,,,,2,,,,,6
9625784,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,44255,FC Voluntari,Visita,1ST,19/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625784,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,44255,FC Voluntari,Visita,2ND,19/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611973,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,312033,FCU 1948 Craiova,Local,ALL,26/07/2021,2,1,,,,16,2,10,13,,,21,2,0,6,,6,4,,,,,,,,0,,15,,,,,,,,,,,,,,,,2,,,,,5
9611973,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,312033,FCU 1948 Craiova,Local,1ST,26/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611973,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,312033,FCU 1948 Craiova,Local,2ND,26/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611973,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,3292,FC Dinamo București,Visita,ALL,26/07/2021,2,0,,,,6,5,3,21,,,13,4,0,2,,2,2,,,,,,,,0,,20,,,,,,,,,,,,,,,,5,,,,,9
9611973,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,3292,FC Dinamo București,Visita,1ST,26/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611973,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,3292,FC Dinamo București,Visita,2ND,26/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611980,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,3292,FC Dinamo București,Local,ALL,02/08/2021,3,3,54%,,,14,3,2,10,,,10,2,0,6,,7,1,,,,,,,,2,,23,,,,,,,,,,,,,,,,3,,,,,5
9611980,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,3292,FC Dinamo București,Local,1ST,02/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611980,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,3292,FC Dinamo București,Local,2ND,02/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611980,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,448061,ACS Inter Ilfov,Visita,ALL,02/08/2021,3,1,46%,,,9,3,6,9,,,12,2,0,4,,2,3,,,,,,,,1,,21,,,,,,,,,,,,,,,,3,,,,,13
9611980,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,448061,ACS Inter Ilfov,Visita,1ST,02/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611980,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,448061,ACS Inter Ilfov,Visita,2ND,02/08/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
